Date	Route	Type	Plane	Remarks	Cross Country	Actual Instrument	Simulated Instrument	Dual Received	Dual Given	PIC	Total	Approaches	Simulator	TAA	Solo
10/23/2008	korl-korl	8KCAB	79SG	CFI spin training	0	0	0	1	0	0.6	1	0	0	0	0
6/18/2000	MRH-MRH	C150	704UZ	"steep turns, stalls c/d, low slow flight, landings"	0	0	0	0.8	0	0	0.8	0	0	0	0
6/17/2000	MRH-MRH	C150	704UZ	"steep turns, slow flight, stall intro, lndg"	0	0	0	0.7	0	0	0.7	0	0	0	0
6/3/2000	MRH-MRH	C150	704UZ	"Intro, 4 basibc, med turns, lndgs"	0	0	0	1	0	0	1	0	0	0	0
5/20/2000	MRH-MRH	C150	704UZ	"Pre-flight, run up, taxi, straight and level, 360 MT"	0	0	0	1.2	0	0	1.2	0	0	0	0
8/26/2000	MRH-MRH	C152	89764	"stalls clean, no flap lndgs"	0	0	0	0.7	0	0	0.7	0	0	0	0
8/20/2000	MRH-MRH	C152	89764	"1st solo, great job"	0	0	0	0	0	0.4	0.4	0	0	0	0.4
8/20/2000	MRH-MRH	C152	89764	"prep for solo, lndgs"	0	0	0	1	0	0	1	0	0	0	0
8/6/2000	MRH-MRH	C152	89764	"lndgs, forced lndgs"	0	0	0	0.7	0	0	0.7	0	0	0	0
7/30/2000	MRH-MRH	C152	89764	"lndgs, eng. outs"	0	0	0	0.7	0	0	0.7	0	0	0	0
7/29/2000	MRH-MRH	C152	89764	"slow flight, stalls, x-wind lndgs, turns about a point"	0	0	0	0.9	0	0	0.9	0	0	0	0
7/16/2000	MRH-MRH	C152	89764	"slow flight c/d, stalls c/d, steep turns, lndgs"	0	0	0	0.8	0	0	0.8	0	0	0	0
7/15/2000	MRH-MRH	C152	89764	lndgs	0	0	0	0.4	0	0	0.4	0	0	0	0
7/8/2000	MRH-MRH	C152	89764	"s-turns, turns about point, x-wind lndgs, go arounds"	0	0	0	1.2	0	0	1.2	0	0	0	0
7/2/2000	MRH-MRH	C152	89764	"stalls c/d, steep turns, slow flight, landings"	0	0	0	1.1	0	0	1.1	0	0	0	0
7/1/2000	MRH-MRH	C152	89764	"steep turns, slow flight, stalls, landings"	0	0	0	1.1	0	0	1.1	0	0	0	0
2/8/2009	orl-orl	C172	440FA	will massey	0	0	0	0	1.3	1.3	1.3	0	0	0	0
2/8/2009	orl-orl	C172	440FA	brian morris	0	0	0	0	1.6	1.6	1.6	0	0	0	0
2/5/2009	ORL-cty-orl	C172	440FA	"caleb hull, night x-c"	2.5	0	0	0	2.5	2.5	2.5	0	0	0	0
1/31/2009	orl-ocf-orl	C172	826SP	"BFR- Scott Clark, x-c, steep turn, slow flt, stalls, 6 lndgs, engine out"	2.7	0	0	0	2.7	2.7	2.7	0	0	0	0
1/30/2009	korl-orl	C172	62875	"ils 7 korl, gps 27r ksfb, hold mambo, partial pnl, circle to land, compass turns, timed turns, steep turns"	0	0	1.5	1.7	0	1.7	1.7	2	0	1.7	0
1/30/2009	korl-korl	C172	440FA	"w/ Brian Morris, 4 fundamentals"	0	0	0	0	1.3	1.3	1.3	0	0	0	0
1/28/2009	KORL-korl	C172	440FA	x-wind landings with Ernest Ciuro	0				0.9	0.9	0.9	0			
1/27/2009	korl	C172	440FA	Ernest Ciuro	0	0	0	0	1.4	1.4	1.4	0	0	0	0
1/27/2009	korl-korl	C172	440FA	Ernest Ciuro	0	0	0	0	1.2	1.2	1.2	0	0	0	0
1/25/2009	korl-x21-korl	C172	62875	Will Braswell	0	0	0	0	1.4	1.4	1.4	0	0	1.4	0
1/24/2009	korl-korl	C172	62875	Intro - Brian Morris	0	0	0	0	1.1	1.1	1.1	0	0	1.1	0
1/24/2009	korl-korl	C172	60603	Intro -Michael Morehead	0	0	0	0	1.1	1.1	1.1	0	0	1.1	0
1/23/2009	KORL-KPHK-KORL	C172	826SP	x-c w/ Lutz Reichel	3.2	0	0	0	3.2	3.2	3.2	0	0	0	0
1/23/2009	KORL-KORL	C172	826SP	landings - Lutz Reichel	0	0	0	0	0.3	0.3	0.3	0	0	0	0
1/23/2009	KORL-korl	C172	440FA	Will Massey	0	0	0	0	1.4	1.4	1.4	0	0	0	0
1/22/2009	KORL-KORL	C172	62875	"intercept, track, hold mambo, dme arc, ils partial panel, gps korl, unusual attitudes, steep turns"	0	0	1.4	1.6	0	1.6	1.6	3	0	1.6	0
1/10/2009	korl-korl	C172	6197T	discovery flight - Steven Kimmel	0	0	0	0	0.4	0.4	0.4	0	0	0.4	0
1/9/2009	korl-korl	C172	777HE	Cessna lesson 3 w/ Matt Matisak	0	0	0	0	1.6	1.6	1.6	0	0	0	0
1/5/2009	KORL-korl	C172	777HE	Cessna lesson 1 - Matt Matisak	0	0	0	0	1.3	1.3	1.3	0	0	0	0
1/2/2009	KORL-kocf-korl	C172	6197T	x-c w/ Will Braswell	2.3	0	0	0	2.3	2.3	2.3	0	0	2.3	0
12/31/2008	KORL-korl	C172	777HE	intro flight - Deron Brown	0	0	0	0	1.1	1.1	1.1	0	0	0	0
10/7/2008	ksfb-keyw-ksfb	C172	6013E	"IFR, GP6 9 into KEYW, safety pilot = Carlos Alphonso"	6.1	0.5	5.1	0	0	6.1	6.1	1	0	0	0
7/15/2008	KSFB-KCRG-KBNL-KEVB-KSFB	C172	6013E	"long solo x-c requirement for commercial, IFR, diverted to EVB because of T-Storms"	6.9	0.8	0	0	0	6.9	6.9	0	0	0	6.9
7/15/2008	Ksfb-40j-kcgc-ksfb	C172	6013E	VFR	4.5	0	0	0	0	4.5	4.5	0	0	0	4.5
6/21/2008	ksfb-ksfb	C172	6013E		0	0	0	1.2	0	1.2	1.2	0	0	0	0
6/12/2008	KSFB-KSFB	C172	883AV	"hold, 1 ILS, short/soft, sim. engine failure"	0	0	0.5	1.9	0	1.9	1.9	1	0	0	0
6/19/2008	KSFB-KCTY-KSFB	C172	882AV		2.9	0	0	0	0	2.9	2.9	0	0	0	2.9
6/14/2008	KSFB-KSFB	C172	884AV	aircraft checkout at Avion	0	0	0	0.7	0	0.7	0.7	0	0	0	0
1/17/2009	KORL-KORL	C172	777HE	flight review - Janos Novak	0	0	0	0	1.4	1.4	1.4	0	0	0	0
12/30/2008	korl-korl	C172	826SP	discovery flight w/ Everett Kombrek	0	0	0	0	0.5	0.5	0.5	0	0	0	0
12/8/2008	KORL-KORL	C172	440FA	"landings, x-wind landings w/ Kevin Degeus"	0	0	0	0	1.1	1.1	1.1	0	0	0	0
12/5/2008	korl-korl	C172	777HE	intro flight w/ Bart Van Bavel	0	0	0	0	1.8	1.8	1.8	0	0	0	0
12/3/2008	korl-korl	C172	62875	intro flight w/ Brian Coffin and Pat backseat	0	0	0	0	0.9	0.9	0.9	0	0	0.9	0
12/3/2008	korl-korl	C172	777HE	landings with Sander Djinkman	0	0	0	0	1.7	1.7	1.4	0	0	0	0
11/24/2008	KORL-korl	C172	62875	CFI and part 141 check flight - Richard Gender	0	0	0	0	0	1.4	1.4	0	0	1.4	0
7/30/2008	x26-korl	C172	826SP		0.9	0	0	0	0	0.9	0.9	0	0	0	0.9
7/30/2008	KORL-x26	C172	826SP	w/ Larry	0.9	0	0	0	0	0.9	0.9	0	0	0	0
7/28/2008	x26-korl	C172	826SP	pick up Larry	0.9	0	0	0	0	0.9	0.9	0	0	0	0
7/28/2008	korl-x26	C172	826SP		0.9	0	0	0	0	0.9	0.9	0	0	0	0.9
7/12/2008	kbow-korl	C172	777HE	VFR	0	0	0	0	0	0.7	0.7	0	0	0	0.7
7/12/2008	KORL-kvrb-kbow	C172	777HE	VFR w/ Larry	2	0	0	0	0	2	2	0	0	0	0
7/6/2008	khxd-korl	C172	61681	IFR w/ Jenn	2.5	0.1	0	0	0	2.5	2.5	0	0	2.5	0
7/6/2008	ksut-khxd	C172	61681	VFR along coast w/ Jenn	2.4	0	0	0	0	2.4	2.4	0	0	2.4	0
7/5/2008	kavl-ksut	C172	61681	IFR w/ Jenn	2.7	0.6	0	0	0	2.7	2.7	0	0	2.7	0
7/4/2008	kavl-kavl	C172	61681	VFR w/ Mom and Dad	0	0	0	0	0	1.5	1.5	0	0	1.5	0
7/3/2008	klou-kavl	C172	61681	IFR w/ Jenn	2.3	1	0	0	0	2.3	2.3	0	0	2.3	0
7/3/2008	kryv-klou	C172	61681	IFR w/ Jenn	3	0.9	0	0	0	3	3	0	0	3	0
7/2/2008	kfsd-kryv	C172	61681	IFR w/ Jenn	3.1	0.8	0	0	0	3.1	3.1	0	0	3.1	0
7/2/2008	k6v4-kfsd	C172	61681	IFR w/ Jenn	2.5	1.3	0	0	0	2.5	2.5	0	0	2.5	0
7/1/2008	k6v4-k6v4	C172	61681	VFR w/ Aaron - Badlands Trip	0	0	0	0	0	2.1	2.1	0	0	2.1	0
6/30/2008	kgbd-k6v4	C172	61681	IFR w/ Jenn	3.5	0	0	0	0	3.5	3.5	0	0	3.5	0
6/30/2008	krbd-kgbd	C172	61681	IFR w/ Jenn	3.8	0	0	0	0	3.8	3.8	0	0	3.8	0
6/29/2008	krbd-krbd	C172	61681	Discovery flight w/ Joel	0	0	0	0	0	0.7	0.7	0	0	0.7	0
6/29/2008	knew-krbd	C172	61681	IFR w/ Jenn	4.5	0.4	0	0	0	4.5	4.5	0	0	4.5	0
6/28/2008	kmai-knew	C172	61681	IFR w/ Jenn	3.1	0.2	0	0	0	3.1	3.1	0	0	3.1	0
6/28/2008	KORL-kmai	C172	61681	IFR w/ Jenn	2.9	0.2	0	0	0	2.9	2.9	0	0	2.9	0
6/27/2008	KORL-kapf-korl	C172	61681	VFR there/ IFR back	4	0.2	0	0	0	4	4	0	0	4	0
6/24/2008	KORL-kmth-korl	C172	61681	"IFR, few clouds"	5	0.7	0	0	0	5	5	0	0	5	5
6/21/2008	KORL-ksfb-korl	C172	61681	"1 ils ksfb, 1 gps korl, ifr/vfr checkout"	0	0	0.8	1.6	0	1.6	1.6	2	0	1.6	0
6/18/2008	kbow-korl	C172	777HE	"IFR, picked up Larry"	0	0	0	0	0	0.9	0.9	0	0	0	0
6/18/2008	KORL-kbow	C172	777HE	"IFR, picked up Larry"	0	0.2	0	0	0	0.8	0.8	0	0	0	0.8
6/17/2008	KORL-ksfb-korl	C172	440FA	"approaches: 1 ILS KSFB, 1 BC 1 GPS KORL, safety pilot = Chad Stanley"	0	0	1.2	0	0	2.5	2.5	3	0	0	0
6/17/2008	KORL-KORL	C172	60603	"5 landings night VFR w/ control tower, night VFR"	0	0	0	0	0	1.7	1.7	0	0	1.7	1.7
6/15/2008	korl-kcty-korl	C172	684JB	VFR night x-c	2.4	0	0	0	0	2.4	2.4	0	0	2.4	2.4
6/15/2008	KORL-korl	C172	684JB	"5 landings, night VFR w/ control tower"	0	0	0	0	0	1	1	0	0	1	1
6/12/2008	korl-kcrg-korl	C172	440FA		2	0	0	2	0	2	2	0	0	0	0
6/12/2008	KORL-KORL	C172	440FA	night ops	0	0	0	0.7	0	0.7	0.7	0	0	0	0
6/8/2008	KORL-KCTY-KORL	C172	60603	day dual vfr x-country	2.7	0	0	2.7	0	2.7	2.7	0	0	2.7	0
6/6/2008	kxfl-korl	C172	60603	IFR	0.9	0.1	0	0	0	0.9	0.9	0	0	0.9	0.9
6/6/2008	ksav-kxfl	C172	60603	safety pilot for Ryan Fishel	1.9	0	0	0	0	1.9	1.9	0	0	1.9	0
6/6/2008	KXFL-ksav	C172	60603	"1 ILS, safety pilot = Ryan Fishel"	1.8	0	1.6	0	0	1.8	1.8	1	0	1.8	0
6/6/2008	KORL-KXFL	C172	60603	IFR	0.9	0.1	0	0	0	0.9	0.9	0	0	0.9	0.9
6/5/2008	KVNC-KORL	C172	684JB	safety pilot for Fabio da Silva	1.4	0	0	0	0	1.4	1.4	0	0	1.4	0
6/5/2008	KFXE-KVNC	C172	684JB	safety pilot = Fabio da Silva	1.4	0	1.1	0	0	1.4	1.4	0	0	1.4	0
