"date","from","to","route","aircraft","tailnumber","remarks","SEL","MEL","SES","MES","singleengine","multiengine","xcountry","xcountrydistance","day","night","actualInstrument","simInstrument","ground","dualreceived","dualgiven","PIC","SIC","total","landingsday","landingsnight","precisionapproaches","nonprecisionapproaches","simulator","seaplane","highperformance","tailwheel","complex"
"1/31/2009","KS43","KS43","KS43-","Aeronca Champ","N84842","",1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,7,0,0,0,0.0,0.0,0.0,1.1,0.0
"1/24/2009","KS43","KS43","KS43","Aeronca Champ","N84842","",0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,3,0,0,0,0.0,0.0,0.0,0.6,0.0
"1/20/2009","KS43","KS43","KS43-","Aeronca Champ","N84842","first flight in champ.",1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,2,0,0,0,0.0,0.0,0.0,1.1,0.0
"10/29/2008","KPAE","KPAE","KPAE","Piper Cub","N48612","",2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.1,1,0,0,0,0.0,0.0,0.0,2.1,0.0
"10/27/2008","KPAE","KPAE","KPAE","Piper Cub","N48612","",0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,1,0,0,0,0.0,0.0,0.0,0.8,0.0
"10/21/2008","KPAE","KPAE","KPAE","Piper Cub","N48612","",1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,1,0,0,0,0.0,0.0,0.0,1.4,0.0
"10/8/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","",1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,1,0,0,0,0.0,0.0,0.0,1.3,0.0
"9/30/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","4.42 GPH",1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.7,6,0,0,0,0.0,0.0,0.0,1.7,0.0
"9/26/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,0.0
"9/24/2008","KPAE","KPAE","KPAE","Piper Cub","N48612","",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5,0,0,0,0.0,0.0,0.0,1.0,0.0
"9/18/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","",0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,1,0,0,0,0.0,0.0,0.0,0.8,0.0
"8/23/2008","KPAE","KPAE","KPAE-KPAE","Piper Cub","N48612","",1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,6,0,0,0,0.0,0.0,0.0,1.5,0.0
"8/12/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","first unassisted landing!",1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,10,0,0,0,0.0,0.0,0.0,1.2,0.0
"8/6/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","",1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,6,0,0,0,0.0,0.0,0.0,1.2,0.0
"7/28/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","",1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,1,0,0,0,0.0,0.0,0.0,1.1,0.0
"7/15/2008","KPAE","KPAE","KPAE-","Piper Cub","N48612","first time in the cub. tight fit",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,0.0
"6/24/2008","KPAE","KPAE","KPAE-","Sportstar","N918LA","",1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,2,0,0,0,0.0,0.0,0.0,0.0,0.0
"6/20/2008","KPAE","KPAE","KPAE-","Sportstar","N918LA","",1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,2,0,0,0,0.0,0.0,0.0,0.0,0.0
"6/17/2008","KPAE","KPAE","KPAE-","Sportstar","N918LA","",1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,3,0,0,0,0.0,0.0,0.0,0.0,0.0
"6/2/2008","KPAE","KPAE","KPAE-","Sportstar","N918LA","",1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,1,0,0,0,0.0,0.0,0.0,0.0,0.0
"5/26/2008","KPAE","KPAE","KPAE","Sportstar","N918LA","",1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.3,1,0,0,0,0.0,0.0,0.0,0.0,0.0
"5/21/2008","KPAE","KPAE","KPAE","Sportstar","N918LA","",1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
