Date	Plane	Remarks	Dual Received	Total	Day Land.
1/31/09	N84842		1.1	1.1	7
1/24/09	N84842		0.6	0.6	3
1/20/09	N84842	first flight in champ.	1.1	1.1	2
10/29/08	N48612		2.1	2.1	1
10/27/08	N48612		0.8	0.8	1
10/21/08	N48612		1.4	1.4	1
10/8/08	N48612		1.3	1.3	1
9/30/08	N48612	4.42 GPH	1.7	1.7	6
9/26/08	N48612		1	1	1
9/24/08	N48612		1	1	5
9/18/08	N48612		0.8	0.8	1
8/23/08	N48612		1.5	1.5	6
8/12/08	N48612	first unassisted landing!	1.2	1.2	10
8/6/08	N48612		1.2	1.2	6
7/28/08	N48612		1.1	1.1	1
7/15/08	N48612	first time in the cub. tight fit	1	1	1
6/24/08	N918LA		1.4	1.4	2
6/20/08	N918LA		1.3	1.3	2
6/17/08	N918LA		1.3	1.3	3
6/2/08	N918LA		1.4	1.4	1
5/26/08	N918LA		1.3	1.3	1
5/21/08	N918LA		1.1	1.1	1
