Date	Type	Plane	Route	Remarks	Flying	Approaches	Day Landings	Night Landings	Cross Country	Night	Actual Instrument	Simulated Instrument	Dual Given	Dual Received	PIC	Total
2/3/2004	C-172	N7589D	KPSC - KPSC	"Preflight Checklist, Taxi, Climbs and Descents, Straight and Level +Turns, Altitude Control"			1							1.1		1.1
2/5/2004	C-172	N7589D	KPSC - KPSC	"VOR GPS NAV. Heading, Altitude, Std. Rate 360s A/S Control, Slow Flight Stall Recognition"			1							1.1		1.1
2/9/2004	C-172	N7589D	KPSC - KPSC	"VOR GPS NAV. Heading, Alt. Std Rate Turns (IR), Steep 360s, Slow Flt. Stalls "			1					0.2		1.1		1.1
2/10/2004	C-172	N7589D	KPSC - KPSC	"VOR GPS, Slow Flt. Emerg. Proc. Fires, Engine Failure, Emerg. Descent, Slips, Forced Ldg."			1							1.1		1.1
2/18/2004	C-172	N7589D	KPSC - KPSC	"Slow Flt. Stall Series, Sim. Forced Ldg. Turns Pt. S-turns, VOR  GPS NAV."			1							1.3		1.3
2/19/2004	C-172	N7589D	KPSC - KPSC	"Climbs & Descents, Std. Rate 360s (IR), Sim. Forced Ldg. Turns Pt. S-Turns, VOR GPS NAV."			1					0.3		1.1		1.1
2/23/2004	C-172	N7589D	KPSC - KPSC	"Pattern Procedures, TaLs, Short App. Traffic Avoidance"			10							1.0		1.0
2/25/2004	C-172	N7589D	KPSC - KPSC	"X-Wind TaLs, Wake Turb. Avoidance"			10							1.0		1.0
2/27/2004	C-172	N7589D	KPSC - KPSC	"TaLs, Softfield"			11							1.1		1.1
3/1/2004	C-172	N7589D	KPSC - KPSC	"TaLs, Short/Softfield"			10							1.1		1.1
3/2/2004	C-172	N7589D	KPSC - KPSC	"TaLs, X-Wind, Wake Turb. Avoidance"			12							1.2		1.2
3/8/2004	C-172	N7589D	KPSC - KPSC	"TaLs, X-Wind, Softfield"			14							1.6		1.6
3/10/2004	C-172	N7589D	KPSC - KPSC	"Short/Soft Field TaLs, Ballooning Recovery"			10							1.1		1.1
3/11/2004	C-172	N7589D	KPSC - KPSC	Short/Soft Field TaLs			12							1.3		1.3
3/15/2004	C-172	N7589D	KPSC - KPSC	Short/Soft Field TaLs			12							1.2		1.2
3/16/2004	C-172	N7589D	KPSC - KPSC	"X-Wind Landings, Go Around, Slips"			11							1.1		1.1
3/19/2004	C-172	N7589D	KPSC - KPSC	"X-Wind Landings, Slips"			12							1.0		1.0
3/25/2004	C-172	N2383Q	KPSC - KPSC	"Short/Soft Field Max. Perf. TaLs, X-Wind"			12							1.3		1.3
3/29/2004	C-172	N7589D	KPSC - KPSC	"Short/Soft TaLs, Slips, No Flap Ldgs. Engine Failures, Go Around"			11							1.2		1.2
4/2/2004	C-172	N7589D	KPSC - KPSC	"Soft Field, X-Wind TaLs, Go Around"			11							1.3		1.3
4/5/2004	C-172	N7589D	KPSC - KPSC	"TaLs, Go Around"			6							0.8		0.8
4/5/2004	C-172	N7589D	KPSC - KPSC	"First Solo, 3 TaLs"			3								0.5	0.5
4/7/2004	C-172	N426SK	KPSC - KPSC	"TaLs, Second Solo"			5							0.7		0.7
4/7/2004	C-172	N426SK	KPSC - KPSC	"TaLs, Slight X-Wind, Second Solo"			4								0.5	0.5
4/8/2004	C-172	N2383Q	KPSC - KPSC	"VOR GPS NAV. Slow Flt. Power Off Stalls, Sim. Forced Ldg. TaLs"			2							0.9		0.9
4/8/2004	C-172	N2383Q	KPSC - KPSC	"GPS NAV. Normal Turns, TaLs, Go Around"			5								0.9	0.9
4/9/2004	C-172	N7589D	KPSC - KPSC	"GPS VOR NAV. Standard Rate Turns, TaLs"			7								1.0	1.0
4/12/2004	C-172	N7589D	KPSC - KPSC	"TaLs, Slight X-Wind"			4								0.6	0.6
4/13/2004	C-172	N7589D	KPSC - KPSC	"TaLs, X-Wind"			10							1.0		1.0
4/21/2004	C-172	N7589D	KPSC - KPSC	"X-Wind TaLs, Go Arounds, Normal TaLs"			9								0.9	0.9
4/22/2004	C-172	N7589D	KPSC - KPSC	"X-Wind TaLs + Tailwind, Go Around, Normal & Soft field TaLs"			9								0.9	0.9
4/23/2004	C-172	N7589D	KPSC - KPSC	"X-Winds, Tailwind, Normal TaLs"			6								0.6	0.6
4/25/2004	C-172	N7589D	KPSC - KPSC	"Turns Pt. S-turns, TaLs"			2								0.8	0.8
4/29/2004	C-172	N7589D	KPSC - KPSC	"Climbs & Descents, Str. & Lvl. Heading & Alt. VOR GPS NAV. Unusual Att. (IR)"			1					1.0		1.4		1.4
5/6/2004	C-172	N7589D	KPSC - KPSC	Soft Field TaLs			12							1.1		1.1
5/12/2004	C-172	N426SK	KPSC - KMWH - KPSC	"X-Country Planning, Radio Nav. Dead Rec. & Pilotage, VOR GPS"			2		1.9					1.9		1.9
5/13/2004	C-172	N7589D	KPSC - KPSC	"TaLs, Softfield & Normal"			7								0.7	0.7
