Date	Type	Plane	Route	Remarks	Flying	Approaches	Day Landings	Night Landings	Cross Country	Night	Actual Instrument	Simulated Instrument	Dual Given	Solo	Dual Received	PIC	Total						
10/7/2005	C-152	N95606	KELN - KPSC - KYKM - KELN	"Jepp. Comm. Syl. Flt #39 Incomplete, Dead Reckoning, VOR NAV, Landings"				8	2.8	2.8				2.8		2.8	2.8						
10/10/2005	C-152	N95606	KELN - KPSC - KMWH - KELN	"Jepp. Comm. Syl. Flt #39 Complete, XC Planning, VOR NAV, Landings"			4		2.5					2.5		2.5	2.5						
10/12/2005	PA28-161	N513MS	KELN - KPUW - KELN	"Jepp. Comm. Syl. Flt #40 Complete, Night XC & Landings, GPS NAV"				3	3.7	3.7				3.7		3.7	3.7						
10/14/2005	C-152	N5366M	KELN - KSFF - KELN	"Jepp. Comm. Syl. Flt #41 Complete, Pilotage, Dead Reckoning, VOR NAV, Radio Communication"			2		3.6					3.6		3.6	3.6						
10/15/2005	PA28-161	N512MS	KELN - KYKM -KELN	"Jepp. Comm. Syl. Flt #34 Complete, Landings, Short / Soft field, Basic NAV"				10		1.7				1.7		1.7	1.7						
10/23/2005	C-152	N95539	KELN - KRDM - KLMT - KRDM - KELN	"Jepp. Comm. Syl. Flt #43 Complete, Long XC, 608 N.M. Total; VOR NAV, Pilotage"			3	1	7.7	0.7				7.7		7.7	7.7						
10/27/2005	C-152	N5366M	KELN - KMWH - KELN	"Jepp. Comm. Syl. Flt #42 Complete, Pilotage, Diversion, G/S Check, Pirep, Spin Awareness Training, Engine Fire, Failure, Emergency Descent"			5		2.0						2.0	1.8	2.0						
11/2/2005	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #44 Complete, Stage IV Check Satisfactory"			1								0.9	0.9	0.9						
11/8/2005	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #51 Complete, Chandelles, Stalls, SL Flt, Short Lndg, Soft Lndg"			3								1.5	1.2	1.5						
11/9/2005	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #52 Incomplete, Steep Turns, Stalls, SL Flt, Unusual Att. Recovery, VOR B @ ELN, Circle to Land"	H T	1		1		1.3		0.3			1.3	1.1	1.3						
11/11/2005	C-152	N95429	KELN - KELN	"Jepp. Comm. Syl. Flt #52 Complete, Steep turns, Chandelles, Engine Out Proc, Go Around, Short Field T/O & LNDGS, Soft Field T/O & LNDGS"			6								1.1	1.0	1.1						
11/14/2005	C-152	N5499Q	KELN - KELN	"Jepp. Comm. Syl. Flt #53 Complete, Lazy 8s, Chandelles, Steep Turns, Engine Out Proc Short/Soft T/O, Soft Lndg"			3								1.5	1.3	1.5						
11/15/2005	C-152	N95539	KELN - KELN	"Jepp. Comm. Syl. Flt #57 Incomplete, Lazy 8s, 8s on Pylons, Steep Turns, Soft T/O & Lndgs"			3								1.1	1.0	1.1						
11/16/2005	C-152	N95539	KELN - KELN	"Jepp. Comm. Syl. Flt #45 Complete, Slow Flt, Chandelles, Steep Turns, Lazy 8s, Soft field TaLs, Short Field Takeoffs"			3							1.1		1.1	1.1						
11/28/2005	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #57 Complete, 8s on Pylons, Steep Spiral, Soft T/O & Lndg, Power Off 180"			3								1.0	0.9	1.0						
11/30/2005	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #54 Complete, Chandelles, 8s on Pylons, Lazy 8s, Soft Field T/O and Lndg, Short Field T/O and Lndg"			4							1.1		1.1	1.1						
12/2/2005	C-152	N5366M	KELN - KELN	"Jepp. Comm. Syl. Flt #55 Complete, Chandelles, Normal T/O & Lndg, Soft Field T/O & Lndg"			5							1.1		1.1	1.1						
12/3/2005	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #56 Complete, Power On Stalls, X-Wind Landings, Short Field T/O & Lndgs, Normal T/Os"			12							1.1		1.1	1.1						
12/22/2005	C-172	N2383Q	KPSC - KPSC	"Short / Soft Field TaLs, Sim. Forced Ldg."			8								0.9	0.9	0.9						
12/23/2005	C-182	N1090M	KPSC - KPSC	"Normal Proc. Prop & Throttle Cont. Cowl Flaps, Slow Flt. Stalls, Climbs & Descents, TaLs"			4								1.3	1.3	1.3						
12/26/2005	C-182	N1090M	KPSC - KPSC	"Slow Flt. Steep 360s, Stalls, Sim. Forced Ldg. Climbs & Descents, TaLs"			2								1.1	1.1	1.1						
12/27/2005	C-182	N1090M	KPSC - KPSC	"Short / Soft Max Perf. TaLs, Short Approaches, Go Around. High Performance Endorsement"			10								1.1	1.1	1.1						
12/29/2005	C-172	N2383Q	KPSC - KELN - KPSC	"XC Planning, Pilotage, GPS Nav, TaLs. Scenic Flight"			2		2.4					2.4		2.4	2.4						
1/11/2006	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #58 Incomplete, Stalls, SL Flt, Short / Soft T/O & Lndg"			5								1.4	1.2	1.4						
1/21/2006	C-152	N5499Q	KELN - KELN	"Jepp. Comm. Syl. Flt #58 Complete, Lazy 8s, 8s on Pylons, Chandelles, Short T/O & Lndg, Soft T/O & Lndg, Pwr off 180s, Go Around"			5								1.3	1.1	1.3						
1/23/2006	C-152	N95606	KELN - KELN	"Jepp. Comm. Syl. Flt #59 Complete, Chandelles, Lazy 8s, Soft Field T/O & Lndg, Normal T/O & Lndg, Go-Around"			3							1.1		1.1	1.1						
1/25/2006	C-152	N5499Q	KELN - KELN	"Jepp. Comm. Syl. Flt #64 Complete, Short T/O, Soft T/O & Lndgs, Power Off 180, Go Around"			7								1.0	0.9	1.0						
1/27/2006	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #60 Complete, Short T/O & Lndgs, Soft T/O & Lndgs, 8s on Pylons, Chandelles"			6							1.2		1.2	1.2						
2/1/2006	C-152	N95995	KELN - KELN	"Jepp. Comm. Syl. Flt #61 Complete, Normal T/O & Lndg, Soft Field Lndg, Chandelles, Lazy 8s, Go Around"			6							1.3		1.3	1.3						
2/2/2006	PA28-161	N512MS	KELN - KELN	"Jepp. Comm. Syl. Flt #62 Complete, Normal T/O & Lndg, Steep Turns"			5							1.1		1.1	1.1						
2/4/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #46A Complete, Preflight, Taxi, Runup, Normal T/O & Lndgs, Stalls"			2								1.2	1.0	1.2						
2/5/2006	PA28R-201	N514MS	KELN - KELN	"Jepp. Comm. Syl. Flt #46B Complete, SL Flt, Stalls, Landings, Pattern Ops, Radio Comm."			3								1.2	1.2	1.2						
2/7/2006	PA28R-201	N518MW	KELN - KELN	"Jepp. Comm. Syl. Flt #47A Complete, SL Flt, Stalls, Engine Out Proc. Emergency Descent, Go Arounds"			3								1.5	1.3	1.5						
2/10/2006	PA28R-201	N807MS	KELN - KELN	"Jepp. Comm. Syl. Flt #47B Complete, Shorts / Softs T/O & Lndgs, Engine Out Procedure, Go Around"			8								1.2	1.0	1.2						
