Date	Time	Airplane	Tail#	Custom	Route	SEL	Act. Inst.	Sim. Inst.	Inst. App.	FTD	Day LDG	Night LDG	Ground Training	Dual Rcvd	Cross Country	Day	Night	Solo	Pilot in Cmd	pic x_Country	SES	MES	G1000	Complex	High Perf.	Tail Dragger	Dual Given	Total	Notes	Passengers
5/1/2005		A150K	N8310M			1.6					11			1.6		1.6				0.0								1.6		
5/4/2005		A150K	N8310M			1.6					6			1.6		1.6				0.0								1.6		
5/7/2005		A150K	N8310M			2.0					10			2.0		2.0				0.0								2.0		
5/12/2005		A150K	N8310M			1.5					10			1.5		1.5				0.0								1.5		
5/15/2005		A150K	N8310M			1.3					6			1.0		1.3		0.3	0.3	0.0								1.3		
5/17/2005		A150K	N8310M			1.5					5					1.5		1.5	1.5	0.0								1.5		
6/4/2005		A150K	N8310M			1.4					11			1.4		1.4				0.0								1.4		
6/7/2005		A150K	N8310M			1.4					8					1.4		1.4	1.4	0.0								1.4		
6/26/2005		A150K	N8310M			2.0					8			2.0		2.0				0.0								2.0		
7/1/2005		A150K	N8310M			1.9					6					1.9		1.9	1.9	0.0								1.9		
7/6/2005		A150K	N8310M			1.0					6					1.0		1.0	1.0	0.0								1.0	5.2	
7/8/2005		A150K	N8310M			1.6					3					1.6		1.6	1.6	0.0								1.6		
7/10/2005		A150K	N8310M			2.9					3			2.9	2.9	2.9				0.0								2.9		
7/20/2005		A150K	N8310M			3.3					3				3.3	3.3		3.3	3.3	3.3								3.3		
8/3/2005		A150K	N8310M			1.1					7					1.1		1.1	1.1	0.0								1.1		
8/7/2005		A150K	N8310M			2.2					6			2.2		2.2				0.0								2.2		
8/13/2005		A150K	N8310M			1.4					4			1.4		1.4				0.0								1.4		
8/21/2005		A150K	N8310M			2.0		0.5			2			2.0		2.0				0.0								2.0		
8/24/2005		A150K	N8310M			1.2		0.5			1			1.2		1.2				0.0								1.2		
8/31/2005		A150K	N8310M			1.4		0.5			1			1.4		1.4				0.0								1.4		
9/4/2005		A150K	N8310M			1.8		1.5			1			1.8		1.8				0.0								1.8		
9/7/2005		A150K	N8310M			1.4					2	2		1.4		0.0	0.4			0.0								1.4		
9/11/2005		A150K	N8310M			2.3					8			2.3		2.3				0.0								2.3		
9/17/2005		A150K	N8310M			1.9					6			1.9		1.9				0.0								1.9		
9/18/2005		A150K	N8310M			2.2					8			1.4		2.2		0.8	0.8	0.0								2.2		
9/21/2005		A150K	N8310M			1.6					6			1.6		1.6				0.0								1.6		
10/8/2005		A150K	N8310M			1.3					10			1.3		1.3				0.0								1.3		
10/8/2005		A150K	N8310M			0.2					3					0.2		0.2	0.2	0.0								0.2		
10/13/2005		A150K	N8310M			2.3						2		2.3	2.3	0.0	2.3			0.0								2.3		
10/15/2005		A150K	N8310M			2.8					4				2.8	2.8		2.8	2.8	2.8								2.8	"Error in X-country hours in log, shows .4 too little."	
