Date	Aircraft Type	Plane	Route	Duration	ASEL	AMEL	Complex	Hi Perform	SOLO	PIC	PIC AMEL	Flight Training Device	Actual Instrument	Simulated Instrument	Simulated Instrument	Approaches	Landings Day	Landings Night	Landings Night PIC	Dual Rec.	Cross Country	Cross County Instruction	Cross County Solo	Cross County PIC	Night	Night Instruction	Night Solo	Night PIC	Ground Given	Dual Given	Remarks
2/27/2005	B33	N34JD	BIB GON	0.7	0.7	0			0	0		0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	0			
3/7/2005	DA-20	N969PA	SSF SSF	1.1	1.1	0			0	0		0	0	0	0	0	1	0	0	1.1	0	0	0	0	0	0	0	0			
3/8/2005	DA-20	N969PA	SSF SSF	1.4	1.4	0			0	0		0	0	0	0	0	4	0	0	1.4	0	0	0	0	0	0	0	0			
3/10/2005	DA-20	N969PA	SSF SSF	1.3	1.3	0			0	0		0	0	0	0	0	2	0	0	1.3	0	0	0	0	0	0	0	0			
3/17/2005	PA28-140	N507FL	GON BID WST GON	1.4	1.4	0			0	0		0	0	0	0	0	6	0	0	1.4	0	0	0	0	0	0	0	0			
3/19/2005	PA28-140	N507FL	GON BID GON	1.8	1.8	0			0	0		0	0	0	0	0	6	0	0	1.8	0	0	0	0	0	0	0	0			
3/26/2005	PA28-140	N5991U	GON WST GON	1.7	1.7	0			0	0		0	0	0	0	0	8	0	0	1.7	0	0	0	0	0	0	0	0			
3/27/2005	PA28-140	N5991U	GON GON	1.3	1.3	0			0	0		0	0	0	0	0	5	0	0	1.3	0	0	0	0	0	0	0	0			
3/31/2005	PA28-140	N5991U	GON WST GON	1.8	1.8	0			0	0		0	0	0	0	0	6	0	0	1.8	0	0	0	0	0	0	0	0			
4/3/2005	PA28-140	N98190	GON WST GON	1.3	1.3	0			0	0		0	0	0	0	0	3	0	0	1.3	0	0	0	0	0	0	0	0			
4/9/2005	PA28-140	N507FL	GON WST GON	1.7	1.7	0			0	0		0	0	0	0	0	8	0	0	1.7	0	0	0	0	0	0	0	0			
4/10/2005	PA28-140	N507FL	GON WST GON	1.3	1.3	0			0	0		0	0	0	0	0	5	0	0	1.3	0	0	0	0	0	0	0	0			
4/16/2005	PA28-140	N5991U	GON WST GON	1.6	1.6	0			0	0		0	0	0	0	0	13	0	0	1.6	0	0	0	0	0	0	0	0			
4/17/2005	PA28-140	N5991U	GON WST GON	1.7	1.7	0			0	0		0	0	0	0	0	12	0	0	1.7	0	0	0	0	0	0	0	0			
4/21/2005	PA28-140	N507FL	GON SNL GON	1.6	1.6	0			0	0		0	0	0	0	0	9	0	0	1.6	0	0	0	0	0	0	0	0			
4/24/2005	PA28-140	N507FL	GON GON	1.9	1.9	0			0	0		0	0	0	0	0	13	0	0	1.9	0	0	0	0	0	0	0	0			
4/28/2005	PA28-140	N507FL	GON WST GON	1.8	1.8	0			0	0		0	0	0	0	0	16	0	0	1.8	0	0	0	0	0	0	0	0			
5/1/2005	PA28-140	N507FL	GON WST GON	1.8	1.8	0			0	0		0	0	0	0	0	15	0	0	1.8	0	0	0	0	0	0	0	0			
5/3/2005	PA28-140	N507FL	GON GON	1.4	1.4	0			0.4	0.4		0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0			FIRST SOLO
5/6/2005	PA28-140	N5991U	GON WST GON	1.9	1.9	0			0	0		0	0	0	0	0	9	0	0	1.9	0	0	0	0	0	0	0	0			
6/15/2005	C172	N738MW	JZI JZI	0.5	0.5	0			0	0		0	0	0	0	0	1	0	0	0.5	0	0	0	0	0	0	0	0			
6/17/2005	PA28-180	N5256L	JZI JZI	1	1	0			0	0		0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0			
6/20/2005	PA28-180	N5256L	JZI JZI	1.3	1.3	0			0	0		0	0	0	0	0	1	0	0	1.3	0	0	0	0	0	0	0	0			
6/23/2005	PA28-180	N5256L	JZI JZI	1	1	0			0	0		0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0			
6/29/2005	PA28-180	N5256L	JZI JZI	1	1	0			0	0		0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0			
7/25/2005	C172	N739MY	T89 T89	1.3	1.3	0			0	0		0	0	0	0	0	3	0	0	1.3	0	0	0	0	0	0	0	0			
8/2/2005	C172	N777BZ	SSF SSF	1.5	1.5	0			0	0		0	0	1.3	0	0	1	0	0	1.5	0	0	0	0	0	0	0	0			
8/4/2005	C172	N777BZ	SSF SSF	1.7	1.7	0			0	0		0	0	1.3	0	0	3	0	0	1.7	0	0	0	0	0	0	0	0			
8/5/2005	C172	N777BZ	SSF PEZ SSF	1.8	1.8	0			0	0		0	0	0	0	0	0	8	0	1.8	0	0	0	0	1.8	1.8	0	0			
8/6/2005	PA28-140	N5444F	T89 T82 ERV T89	1.8	1.8	0			0	0		0	0	0	0	0	3	0	0	1.8	1.8	1.8	0	0	0	0	0	0			
8/11/2005	C172	N75950	SSF PEZ COT 23R SSF	2.7	2.7	0			0	0		0	0.3	0.3	0	0	0	4	0	2.7	2.7	2.7	0	0	2.7	2.7	0	0			NIGHT X-CTY 141 NM
8/20/2005	PA28-140	N5991U	GON GON	1.3	1.3	0			0	0		0	0	0	0	0	7	0	0	1.3	0	0	0	0	0	0	0	0			
