Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	G1000 Glass	Dynon Glass	Remarks
"11/20/05"	"C172N"	"N737YW"	"KUSE-KUSE"	1.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Climbs & Decents"
"12/12/05"	"C172N"	"N737YW"	"KUSE-KUSE"	0.7	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0			"Constant speed climbs + decents"
"12/19/05"	"C172N"	"N737YW"	"KUSE-KUSE"	1.1	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Steep turns + Slow flight"
"02/18/06"	"C172S"	"N65329"	"KDUH-KDUH"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Climbs / Decents, leveoffs, trimming, turning climbs / decents, slow flight, power off stalls, power on stalls, collision avoidance"
"03/07/06"	"C172S"	"N65329"	"KDUH-KDUH"	1.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Medium bank turns, slow flight, power-off stall, traffic pattern, takeoffs + landings"
"03/17/06"	"C172S"	"N1655H"	"KDUH-KDUH"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	1.1		"Intro to Garmin G1000 glass panel, intro to all gnd ref. maneuvers."
"03/24/06"	"C172S"	"N65329"	"KDUH-KDUH"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Reviewd S-turns, turns around a point, emergency procedures (engine out), traffic patterns, takeoffs + landings - collision avoidance"
"04/01/06"	"C172S"	"N937SA"	"KDUH-KTDZ-KDUH"	1.4	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0			"Traffic Pattern work @ TDZ, x-wind TO's + LDG's, Airspeed Mgmt"
"04/08/06"	"C172S"	"N65329"	"KDUH-KDUH"	1.1	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Pattern work, steep turns, x-wind to's & ldgs..."
"04/14/06"	"C172S"	"N65329"	"KDUH-1G0-KDUH"	1.2	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"Crosswinds takeoffs + landings"
"04/19/06"	"C172S"	"N943SA"	"KDUH-KDUH"	1.2	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"Normal Takeoffs + Landings"
"04/29/06"	"C172S"	"N1655H"	"KDUH-KTOL-KDUH"	1.1	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	1.1		"Crosswind takeoffs and landings, controlled field ops"
"05/06/06"	"C172S"	"N1655H"	"KDUH-KDUH"	1.0	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		"Crosswind takeoffs + landings, emergency approaches + landings"
"05/13/06"	"C172S"	"N1655H"	"KDUH-KDUH"	1.3	1	0	0.5	0.4	1	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	1.3		"Hood Work: straight + level, standard rate turns, I-VOR-A approach @ KDUH, GPS holding procedures"
"05/20/06"	"C172S"	"N65329"	"KDUH-1G0-KDUH"	1.3	3	0	0.0	0.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"Hood work GPS orientation + tracking, crosswind t/o's and landings"
"05/27/06"	"C172S"	"N1655H"	"KDUH-KTOL-KDUH"	1.3	3	0	0.0	0.8	3	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	1.3		"Hood: 2 ILS @ TOL, I-VOR-A @ DUH. Controlled field communications"
"06/03/06"	"C172S"	"N65329"	"KDUH-KDUH"	0.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0			"Takeoff/Landing Clogged. Pitot tube."
"06/03/06"	"C172S"	"N1655H"	"KDUH-KDUH"	0.4	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4		"Takeoffs & landings, emerg apprch and landing"
"06/03/06"	"C172S"	"N1655H"	"KDUH-KDUH"	0.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.4	0.4	0.0	0.0	0.0	0.4		"FIRST SOLO!!! WOOHOO!!!"
"06/10/06"	"C172S"	"N1655H"	"KDUH-KDUH"	1.1	2	0	0.0	0.0	0	0.0	0.0	0.0	0.5	0.5	0.0	0.6	0.0	1.1		"Dual: Review practice area landmarks...Solo: Pilotage to practice area + return"
"06/14/06"	"C172S"	"N1655H"	"KDUH-5A1-KDUH"	1.6	2	0	0.0	0.0	0	0.0	0.0	1.6	0.0	0.0	0.0	1.6	0.0	1.6		"1st Dual cross country...dead reckoning to Norkwalk, OH"
"06/24/06"	"C172S"	"N1655H"	"KDUH-KMFD-KDUH"	1.9	2	0	0.0	0.0	0	0.0	0.0	1.9	0.0	0.0	0.0	1.9	0.0	1.9		"Dead Reckoning, VOR/GPS navigation...2nd Dual Cross-Country"
"07/06/06"	"C172S"	"N1655H"	"KDUH-5A1-KDUH"	1.6	2	0	0.0	0.0	0	0.0	0.0	1.6	1.6	1.6	0.0	0.0	0.0	1.6		"Solo Cross country to Norwalk...flight following on the way there from TOL..."
"07/08/06"	"C172S"	"N1655H"	"KDUH-5A1-KMFD-KDUH"	2.8	9	0	0.0	0.0	0	0.0	0.0	2.8	2.8	2.8	0.0	0.0	0.0	2.8		"Long Solo X-country....3 t/o's/ldg's @ 5A1, 4 at MFD, 2 at DUH...flight following to 5A1 with TOL APP"
"07/13/06"	"C172S"	"N1655H"	"KDUH-KRNP-KDUH"	2.1	3	0	0.0	0.0	0	0.0	0.0	2.1	2.1	2.1	0.0	0.0	0.0	2.1		"Solo X-country to Owosso"
