Date	Plane	Type	Route	From	Via	To	Day Landings	Night Landings	Approaches	Day	Night	SEL	MEL	SES	MES	Hooded	Custom	Complex	High Perf.	Tail Dragger	Simulated Instrument	Actual Instrument	Cross Country	Dual Given	Dual Received	PIC	Total	Remarks
9/30/2008	N28012	17-30A	KPVW-KPVW	KPVW	LCL	KPVW	 1 	 -   	 -   	 0.5 	 -   	 0.5 	 -   	 -   	 -   	 -   	 -   	 0.5 	 0.5 	 -   	 -   	 -   	 -   	 -   	 0.5 	 0.5 	 0.5 	 1st flight in my plane, Auto Axtion, gear horn 
9/30/2008	N28012	17-30A	KPVW-KPVW	KPVW	48F - LBB	KPVW	 -   	 10 	 -   	 -   	 2.0 	 2.0 	 -   	 -   	 -   	 -   	 -   	 2.0 	 2.0 	 -   	 -   	 -   	 2.0 	 -   	 2.0 	 2.0 	 2.0 	 Nght ops, full stop landings, emergencies, Floydada, Lubbock 
10/1/2008	N28012	17-30A	KPVW-KROW	KPVW	1/0/00	KROW	 1 	 -   	 1 	 1.8 	 -   	 1.8 	 -   	 -   	 -   	 -   	 -   	 1.8 	 1.8 	 -   	 -   	 -   	 1.8 	 -   	 1.8 	 1.8 	 1.8 	 X/C to Roswell - ILS 21 
10/1/2008	N28012	17-30A	KROW-KSRR	KROW	1/0/00	KSRR	 1 	 -   	 1 	 1.2 	 -   	 1.2 	 -   	 -   	 -   	 -   	 -   	 1.2 	 1.2 	 -   	 -   	 -   	 1.2 	 -   	 1.2 	 1.2 	 1.2 	 Ruidoso - ILS 24, VOR Tracking, Mountains 
10/1/2008	N28012	17-30A	KSRR-KPVW	KSRR	KROW	KPVW	 1 	 -   	 -   	 2.0 	 -   	 2.0 	 -   	 -   	 -   	 -   	 -   	 2.0 	 2.0 	 -   	 -   	 -   	 2.0 	 -   	 2.0 	 2.0 	 2.0 	 VOR Tracking, Roswell, PVW - checkout complete 
10/1/2008	N28012	17-30A	KPVW-52F	KPVW	1/0/00	52F	 -   	 1 	 -   	 1.3 	 0.4 	 1.7 	 -   	 -   	 -   	 -   	 -   	 1.7 	 1.7 	 -   	 -   	 -   	 1.7 	 -   	 -   	 1.7 	 1.7 	 1st solo X/C in my Bellanca - Nice! 
10/7/2008	N28012	17-30A	52F-KPVW	52F	1/0/00	KPVW	 1 	 -   	 -   	 2.3 	 -   	 2.3 	 -   	 -   	 -   	 -   	 -   	 2.3 	 2.3 	 -   	 -   	 -   	 2.3 	 -   	 -   	 2.3 	 2.3 	 Gear down all the way - slow flyingÉ 
10/7/2008	N28012	17-30A	KPVW-KPVW	KPVW	LBB	KPVW	 4 	 -   	 7 	 2.5 	 -   	 2.5 	 -   	 -   	 -   	 -   	 -   	 2.5 	 2.5 	 -   	 1.8 	 -   	 -   	 -   	 2.5 	 2.5 	 2.5 	 Instr work, LBB: ILS26, ILS 17R, LOC 25L, PVW:VOR 4 
10/7/2008	N28012	17-30A	KPVW-KPVW	KPVW	LCL	KPVW	 3 	 -   	 3 	 1.5 	 -   	 1.5 	 -   	 -   	 -   	 -   	 -   	 1.5 	 1.5 	 -   	 -   	 -   	 -   	 -   	 1.5 	 1.5 	 1.5 	 Holds, Direct/Parallel/Teardrop entry 
10/7/2008	N28012	17-30A	KPVW-52F	KPVW	1/0/00	52F	 1 	 -   	 -   	 1.4 	 -   	 1.4 	 -   	 -   	 -   	 -   	 -   	 1.4 	 1.4 	 -   	 -   	 -   	 1.4 	 -   	 -   	 1.4 	 1.4 	 Home from PVW w/ gear fixed 
10/8/2008	N28012	17-30A	52F-52F	52F	LCL	52F	 1 	 -   	 -   	 0.7 	 -   	 0.7 	 -   	 -   	 -   	 -   	 -   	 0.7 	 0.7 	 -   	 -   	 -   	 -   	 -   	 -   	 0.7 	 0.7 	 1st flight w/ psgr in SV:Kate, Dan, Corbin 
10/8/2008	N28012	17-30A	52F-1K4	52F	1/0/00	1K4	 1 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 1.0 	 -   	 -   	 -   	 1.0 	 -   	 -   	 1.0 	 1.0 	 Took Seth to OU 
10/8/2008	N28012	17-30A	1K4-52F	1K4	1/0/00	52F	 -   	 1 	 -   	 0.9 	 0.3 	 1.2 	 -   	 -   	 -   	 -   	 -   	 1.2 	 1.2 	 -   	 -   	 -   	 1.2 	 -   	 -   	 1.2 	 1.2 	 Return from OU  w/ strong headwind 
10/9/2008	N28012	17-30A	52F-KJWY	52F	1/0/00	KJWY	 1 	 -   	 -   	 0.5 	 -   	 0.5 	 -   	 -   	 -   	 -   	 -   	 0.5 	 0.5 	 -   	 -   	 -   	 0.5 	 -   	 -   	 0.5 	 0.5 	 Dropped off insurance papers to underwriter 
10/9/2008	N28012	17-30A	KJWY-52F	KJWY	1/0/00	52F	 1 	 -   	 -   	 0.5 	 -   	 0.5 	 -   	 -   	 -   	 -   	 -   	 0.5 	 0.5 	 -   	 -   	 -   	 0.5 	 -   	 -   	 0.5 	 0.5 	 Very busy Bravo airspace. Controller didn't have time for VFR guy.   
10/10/2008	N28012	17-30A	52F-KOUN	52F	1/0/00	KOUN	 1 	 -   	 -   	 0.9 	 -   	 0.9 	 -   	 -   	 -   	 -   	 -   	 0.9 	 0.9 	 -   	 -   	 -   	 0.9 	 -   	 -   	 0.9 	 0.9 	 Up to OU to pick up Seth, Destin, Chase, 15kt crosswind due to RWY 17 closed 
10/10/2002	N28012	17-30A	KOUN-52F	KOUN	1/0/00	52F	 1 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 1.0 	 -   	 -   	 -   	 1.0 	 -   	 -   	 1.0 	 1.0 	 Brought kids home from OU 
10/11/2008	N28012	17-30A	52F-52F	52F	37K	52F	 1 	 -   	 -   	 1.2 	 -   	 1.2 	 -   	 -   	 -   	 -   	 -   	 1.2 	 1.2 	 -   	 -   	 -   	 1.2 	 -   	 -   	 1.2 	 1.2 	 Up to St. Jo area & back 
10/11/2008	N28012	17-30A	52F-52F	52F	LCL	52F	 1 	 -   	 -   	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 1.0 	 -   	 -   	 -   	 -   	 -   	 -   	 1.0 	 1.0 	 Tested intercom system w/ Kate 
10/11/2008	N28012	17-30A	52F-52F	52F	GYI	52F	 1 	 -   	 1 	 1.1 	 -   	 1.1 	 -   	 -   	 -   	 -   	 -   	 1.1 	 1.1 	 -   	 -   	 -   	 1.1 	 -   	 -   	 1.1 	 1.1 	 Took Joon Na up to GYI, shot NDB 17L appr 
10/18/2008	N28012	17-30A	52F-3T0	52F	GYI	3T0	 2 	 -   	 1 	 1.0 	 -   	 1.0 	 -   	 -   	 -   	 -   	 -   	 1.0 	 1.0 	 -   	 -   	 -   	 1.0 	 -   	 -   	 1.0 	 1.0 	 James Swan up to Cedar Mills fly-in, saw BL Cruiseair & gorgeous DeHaviland Beaver 
10/18/2008	N28012	17-30A	3T0-52F	3T0	1/0/00	52F	 1 	 -   	 -   	 0.6 	 -   	 0.6 	 -   	 -   	 -   	 -   	 -   	 0.6 	 0.6 	 -   	 -   	 -   	 0.6 	 -   	 -   	 0.6 	 0.6 	 Back from Cedar Mills 
10/23/2008	N28012	17-30A	52F-52F	52F	LCL	52F	 2 	 -   	 -   	 0.3 	 -   	 0.3 	 -   	 -   	 -   	 -   	 -   	 0.3 	 0.3 	 -   	 -   	 -   	 -   	 -   	 -   	 0.3 	 0.3 	 Installed XM Weather, Rough rt Mag - fouled plugs 
