Date	Type	Plane	Custom	Route	Day Landings	Night Landings	Approaches	Day	Night	SEL	MEL	SES	MES	Experimental A/C	Complex	High Performance	PIC	Simulated Instrument	Actual Instrument	Cross Country	Dual Received	Solo	Total	Remarks	Passengers
5/12/2005	C172	7746T	Flight Training	8NC8-LCL	1			1.9		1.9							0.0				1.9		1.9	1st Flight with Brant Howell	
5/13/2005	C152	48244	Flight Training	8NC8-LCL	2			1.5		1.5							0.0				1.5		1.5	2nd flight with Brant Howell	
5/14/2005	C152	48244	Flight Training	8NC8-LCL	4			1.7		1.7							0.0				1.7		1.7	3rd flight with brant Howell	
5/16/2005	C152	48244	Flight Training	8NC8-LCL	3			2.1		2.1							0.0				2.1		2.1	4th flight with Brant Howell	
5/16/2005	C152	5144L	Flight Training	8NC8-HNZ-8NC8	5			1.5		1.5							0.0				1.5		1.5	"5th flight with Brant Howell, x-c, weather briefings, touch-n-gos"	
5/24/2005	C152	5144L	Flight Training	8NC8-LCL	1			0.9		0.9							0.0	0.5			0.9		0.9	"straight and level, go arounds, primary instruments, hood work, traffic pattern, Anker Bell"	
5/26/2005	C152	48244	Flight Training	8NC8-LCL	3			1.3		1.3							0.0				1.3		1.3	6th flight with Brant Howell	
6/4/2005	C152	5144L	Flight Training	8NC8-LCL	4			1.1		1.1							0.0				1.1		1.1	"Circuits, soft takeoffs and landings"	
6/8/2005	C152	5144L	Flight Training	8NC8-LCL	5			0.9		0.9							0.0				0.9		0.9	"Takeoff, landings, circuits, simulated engine out"	
6/15/2005	C172	7746T	Flight Training	8NC8-HNZ-8NC8	4			1.1		1.1							0.0				1.1		1.1	"steep turns, touch-n-gos"	
6/18/2005	C172	7746T	Flight Training	8NC8-TDF-8NC8	4			1.3		1.3							0.0				1.3		1.3	"power on stalls, slips, touch-n-gos, slow flight"	
6/22/2005	C172	7746T	Flight Training	8NC8-LCL	7			1.2		1.2							0.5				0.7	0.5	1.2	"simulate engine out, baulked landings, SOLO"	
6/25/2005	C172	7746T	Flight Training	8NC8-LCL	4			1.3		1.3							0.0				1.3		1.3	"S turns, turns about a point, simulated engine out, soft field landings"	
6/30/2005	C172	7746T	Flight Training	8NC8-LCL	2			0.9		0.9							0.0				0.9		0.9	"S turns, turns about a point, simulated engine out"	
7/2/2005	C152	5144L	Flight Training	8NC8-AVC-DAN-8NC8	3			2.5		2.5							0.0			2.5	2.5		2.5	"VOR Tracking, GPS Intro, flight service"	
7/4/2005	C152	48244	Flight Training	8NC8-AVC-W65-8NC8	4			2.3		2.3							0.0			2.3	2.3		2.3	"VOR, Flight following, pilotage"	
7/5/2005	C152	48244	Flight Training	8NC8-HNZ-8NC8	6			1.6		1.6							0.0				1.6		1.6	"Landings, pilotage to HNZ"	
7/6/2005	C172	7746T	Flight Training	8NC8-LCL	12			2.0		2.0							1.0				1.0	1.0	2.0	"landings, solo"	
7/9/2005	C152	48244	Flight Training	8NC8-LCL	4			0.6		0.6							0.0				0.6		0.6	"Balked landings, forward slip, engine out landings, Paul Williams"	
7/9/2005	C152	48244	Flight Training	8NC8-HNZ-8NC8	3			1.2		1.2							1.2					1.2	1.2	"touch-n-go, flight following, ADF, pilotage, solo"	
7/13/2005	C152	48244	Flight Training	8NC8-LCL	1			1.3		1.3							0.0	1.0			1.3		1.3	"under the hood, unusual attitude recovery, power off stalls, VOR tracking"	
7/15/2005	C172	7746T	Flight Training	8NC8-HNZ-8NC8	5			1.8		1.8							0.5	0.6			1.3	0.5	1.8	"under the food, forward slip, solo"	
7/16/2005	C152	48244	Flight Training	8NC8-HNZ-8NC8	4			1.2		1.2							1.2					1.2	1.2	"solo, touch n go, flight following, pilotage, circuits"	
7/20/2005	C172	7746T	Flight Training	8NC8-AVC-8NC8	2			1.7		1.7							0.0	0.9		1.7	1.7		1.7	"Simulated instruments, VOR tracking, pilotage, flight following"	
7/23/2005	C172	7746T	Flight Training	8NC8-AVC-8NC8	2			1.7		1.7							0.0			1.7	1.7		1.7	"flight following, pilotage, XC planning"	
7/23/2005	C172	7746T	Flight Training	8NC8-AVC-8NC8	4			1.8		1.8							1.8			1.8		1.8	1.8	"flight following, flight plan, reported pirep, diversion to HNZ, solo short XC"	
7/26/2005	C172	7746T	Flight Training	8NC8-ISO-8NC8	5			2.7		2.7							0.7			2.7	2.0	0.7	2.7	"solo takeoff landings @ towered airport, ground ATC, XC planning, pilotage, flight following"	
7/30/2005	PA28-181	80926	Flight Training	INT-LCL	4		3	1.5		1.5							0.0		0.6		1.5		1.5	"GSO:ILS 5, INT:GPS 33, ILS 33, takeoff and landings, Espin Moa"	
8/1/2005	C172	7746T	Flight Training	8NC8-LCL	2			0.4		0.4							0.4					0.4	0.4	"solo, takeoff and landings, circuits, heavy crosswind"	
8/3/2005	C172	7746T	Flight Training	8NC8-TDF-8NC8	9			1.7		1.7							0.7				1.0	0.7	1.7	"touch-n-go, simulated engine out, forward slips"	
