DATE	TYPE	PLANE	ROUTE	DURATION	DAY LANDINGS	NIGHT LANDNG	ACTUAL INSTRUMENT	NIGHT	"CROSS COUNTRY
COUNTRY"	SIC
7/20/2008	CRJ200	N8800G	MEM-OMA	1.7	0	0	0	0	1.7	1.7
7/20/2008	CRJ200	N8800G	OMA-MEM	1.7	1	0	0	0	1.7	1.7
7/20/2008	CRJ200	N8541D	MEM-EVV	1.2	0	0	0	0	1.2	1.2
7/20/2008	CRJ200	N8541D	EVV-MEM	1.1	1	0	0	0	1.1	1.1
7/20/2008	CRJ200	N8932C	MEM-RDU	2	0	0	0	0.7	2	2
7/21/2008	CRJ200	N8964E	RDU-IND	1.7	1	0	0	0	1.7	1.7
7/21/2008	CRJ200	N800AY	IND-PHL	1.9	1	0	0	0	1.9	1.9
7/21/2008	CRJ200	N800AY	PHL-MEM	2.5	0	0	0	0	2.5	2.5
7/22/2008	CRJ200	N8884E	MEM-CHA	1.2	0	1	0	0.6	1.2	1.2
7/22/2008	CRJ200	N8970D	CHA-MEM	1.6	1	0	0	0	1.6	1.6
7/22/2008	CRJ200	N8869A	MEM-SDF	1.2	1	0	0	0	1.2	1.2
7/22/2008	CRJ200	N8869A	SDF-MEM	1.9	0	0	0	0	1.9	1.9
7/22/2008	CRJ200	N8828D	MEM-PIT	1.9	1	0	0	0	1.9	1.9
7/22/2008	CRJ200	N8828D	PIT-MEM	1.9	0	0	0	0	1.9	1.9
7/28/2008	CRJ200	N8577D	MEM-DEN	2.6	0	1	0	1.6	2.6	2.6
7/28/2008	CRJ200	N821AY	DEN-MEM	2.4	1	0	0	0	2.4	2.4
7/29/2008	CRJ200	N821AY	MEM-HSV	0.9	0	0	0	0.3	0.9	0.9
7/29/2008	CRJ200	N826AY	HSV-MEM	0.9	1	0	0	0	0.9	0.9
7/29/2008	CRJ200	N8751D	MEM-MEM	0.8	0	0	0	0	0.8	0.8
7/29/2008	CRJ200	N8751D	MEM-IND	1.4	0	0	0	0	1.4	1.4
7/30/2008	CRJ200	N8495B	IND-PHL	1.7	1	0	0	0	1.7	1.7
7/30/2008	CRJ200	N8495B	PHL-MEM	3.1	0	0	0	0	3.1	3.1
7/30/2008	CRJ200	N8977A	MEM-CAE	1.7	1	0	0	0	1.7	1.7
7/30/2008	CRJ200	N8977A	CAE-MEM	1.6	0	0	0	0	1.6	1.6
7/31/2008	CRJ200	N8505Q	MEM-SAV	2	1	0	0	0	2	2
7/31/2008	CRJ200	N8505Q	SAV-MEM	1.6	0	0	0	0	1.6	1.6
7/31/2008	CRJ200	N8543F	MEM-XNA	1.2	1	0	0	0	1.2	1.2
7/31/2008	CRJ200	N8543F	XNA-MEM	1.2	0	0	0	0	1.2	1.2
8/4/2008	CRJ200	N8790A	MEM-RDU	2	1	0	0	0	2	2
8/4/2008	CRJ200	N8790A	RDU-MEM	2.1	0	0	0	0	2.1	2.1
8/17/2008	CRJ200	N8696C	MEM-IAH	1.5	0	0	0	0	1.5	1.5
8/17/2008	CRJ200	N8696C	IAH-MEM	1.5	1	0	0	0	1.5	1.5
8/18/2008	CRJ200	N8488D	MEM-YYZ	2.5	0	0	0	0	2.5	2.5
8/18/2008	CRJ200	N8488D	YYZ-MSP	2.1	1	0	0	0	2.1	2.1
8/18/2008	CRJ200	N8683B	MSP-AVL	2.1	0	0	0	1	2.1	2.1
8/19/2008	CRJ200	N8924B	AVL-DTW	1.8	1	0	0	0	1.8	1.8
8/19/2008	CRJ200	N8936A	DTW-TYS	1.3	0	0	0	0	1.3	1.3
8/19/2008	CRJ200	N8936A	TYS-MEM	1.4	1	0	0	0	1.4	1.4
9/5/2008	CRJ200	N8631E	MCI-MEM	1.8	0	0	0	0	1.8	1.8
9/8/2008	CRJ200	N8501F	MEM-MLI	1.5	0	0	0	0	1.5	1.5
9/8/2008	CRJ200	N8501F	MLI-MEM	1.5	0	0	0	0	1.5	1.5
9/12/2008	CRJ200	N824AY	MEM-MSP	2	0	0	0	0	2	2
9/12/2008	CRJ200	N8970D	MSP-YYZ	1.9	1	0	0	0	1.9	1.9
9/12/2008	CRJ200	N8907D	YYZ-MEM	2.4	0	0	0	0	2.4	2.4
9/14/2008	CRJ200	N839AY	MEM-YYZ	2.1	0	0	0	0	2.1	2.1
9/15/2008	CRJ200	N8751D	YYZ-MEM	2.5	1	0	0	0	2.5	2.5
9/19/2008	CRJ200	N8903A	IND-MEM	1.6	0	0	0	1.6	1.6	1.6
9/19/2008	CRJ200	N8888D	MEM-CLE	1.9	0	0	0	0	1.9	1.9
9/19/2008	CRJ200	N8888D	CLE-MEM	2	1	0	0	0	2	2
9/21/2008	CRJ200	N839AY	MEM-PNS	1.2	0	0	0	0	1.2	1.2
9/21/2008	CRJ200	N839AY	PNS-MEM	1.5	1	0	0	0	1.5	1.5
9/21/2008	CRJ200	N8891A	MEM-MOB	1.3	0	0	0	0	1.3	1.3
9/21/2008	CRJ200	N8891A	MOB-MEM	1.6	1	0	0	0	1.6	1.6
9/27/2008	CRJ200	N8905F	MEM-GSP	1.9	0	0	0	1.9	1.9	1.9
9/27/2008	CRJ200	N8665A	GSP-DTW	1.8	0	0	0	0	1.8	1.8
10/16/2008	CRJ200	N8907A	MSP-IND	1.9	0	0	0	0	1.9	1.9
10/16/2008	CRJ200	N8907A	IND-DTW	1.6	1	0	0	0	1.6	1.6
10/17/2008	CRJ200	N8891A	MSP-CMH	1.8	0	0	0	0	1.8	1.8
10/17/2008	CRJ200	N8891A	CMH-MEM	1.9	1	0	0	0	1.9	1.9
10/26/2008	CRJ200	N800AY	DTW-BGR	1.7	0	0	0	1.7	1.7	1.7
10/26/2008	CRJ200	N829AY	BGR-DTW	2.3	1	0	0	0	2.3	2.3
10/27/2008	CRJ200	N824AY	DTW-AVP	1.4	0	0	0	1.4	1.4	1.4
10/27/2008	CRJ200	N8921B	AVP-DTW	1.5	1	0	0	0	1.5	1.5
10/27/2008	CRJ200	N8646A	DTW-OKC	2.6	0	0	0	2.6	2.6	2.6
10/28/2008	CRJ200	N8646A	OKC-MSP	2.2	1	0	0	0	2.2	2.2
10/28/2008	CRJ200	N8964E	MSP-GRR	1.4	0	0	0	0	1.4	1.4
10/28/2008	CRJ200	N8964E	GRR-MSP	1.5	1	0	0	0	1.5	1.5
10/28/2008	CRJ200	N8696C	MSP-RHI	0.9	0	0	0	0	0.9	0.9
10/28/2008	CRJ200	N8696C	RHI-MSP	1	1	0	0	0	1	1
11/3/2008	CRJ200	N8896A	XNA-MEM	1.1	0	0	0	0	1.1	1.1
11/4/2008	CRJ200	N8423C	MEM-ORF	2.1	0	0	0	2.1	2.1	2.1
11/4/2008	CRJ200	N8475B	DTW-MBS	0.7	1	0	0	0	0.7	0.7
11/4/2008	CRJ200	N8475B	MBS-DTW	0.7	0	0	0	0	0.7	0.7
11/8/2008	CRJ200	N8928A	MSP-FNT	1.5	0	0	0	0.6	1.5	1.5
11/9/2008	CRJ200	N8928A	FNT-MSP	1.6	0	1	0	1.6	1.6	1.6
11/9/2008	CRJ200	N8928A	MSP-OKC	2.3	0	0	0	2.3	2.3	2.3
11/9/2008	CRJ200	N826AY	OKC-DTW	2.5	0	1	0	1.2	2.5	2.5
11/10/2008	CRJ200	N8409N	DTW-BNA	1.7	0	0	0	1.7	1.7	1.7
11/10/2008	CRJ200	N8674A	BNA-MSP	2.2	1	0	0	0	2.2	2.2
11/10/2008	CRJ200	N8409N	MSP-STL	1.6	0	0	0	1.3	1.6	1.6
11/11/2008	CRJ200	N8409N	STL-MSP	1.5	0	1	0	1.5	1.5	1.5
11/23/2008	CRJ200	N8751D	MSP-DSM	1.3	0	0	0	0	1.3	1.3
11/23/2008	CRJ200	N8751D	DSM-LGA	2.7	0	0	0	1.3	2.7	2.7
11/24/2008	CRJ200	N8751D	LGA-FNT	1.8	0	1	0	1.8	1.8	1.8
11/25/2008	CRJ200	N8554A	FNT-MSP	1.8	0	1	0	1.8	1.8	1.8
11/25/2008	CRJ200	N8390A	DTW-TYS	1.2	0	0	0	0	1.2	1.2
11/26/2008	CRJ200	N8837B	TYS-MEM	1.5	1	0	0	0	1.5	1.5
11/26/2008	CRJ200	N8838B	MEM-JAX	1.5	0	0	0	0	1.5	1.5
11/26/2008	CRJ200	N8837B	JAX-MEM	2.1	1	0	0	0	2.1	2.1
11/26/2008	CRJ200	N8837B	MEM-STL	1.2	1	0	0	0	1.2	1.2
11/26/2008	CRJ200	N8837B	STL-MSP	1.7	0	0	0	0.8	1.7	1.7
12/1/2008	CRJ200	N8896A	MEM-MGM	1	0	0	0	1	1	1
12/1/2008	CRJ200	N8896A	MGM-MEM	1.2	1	0	0	0	1.2	1.2
12/1/2008	CRJ200	N8855A	MEM-MSP	2.3	0	0	0	0	2.3	2.3
12/2/2008	CRJ200	N8964E	MSP-BNA	2	1	0	0	0	2	2
12/2/2008	CRJ200	N8964E	BNA-DTW	1.7	0	0	0	0	1.7	1.7
12/2/2008	CRJ200	N8747B	DTW-DTW	0.9	1	0	0	0	0.9	0.9
12/2/2008	CRJ200	N8747B	DTW-YOW	1.6	0	1	0	1.6	1.6	1.6
12/3/2008	CRJ200	N8747B	YOW-DTW	1.8	0	0	0	1.8	1.8	1.8
12/3/2008	CRJ200	N8837B	MSP-SDF	1.9	1	0	0	0	1.9	1.9
