Date	Flight Num 	Tail Number	Route		Dep Time 	Arr Time 	
1/13/2005	0	N673UA	SBGR	KORD	118	1204	
1/14/2005	0	N826UA	KORD	KLAX	1157	1617	
1/18/2005	0	N213UA	KSFO	EGLL	207	1208	
1/19/2005	0	N213UA	EGLL	KLAX	1114	2309	
1/21/2005	0	N197UA	KLAX	YSSY	626	2022	
1/22/2005	0	N197UA	YSSY	KSFO	516	1823	
1/23/2005	0	N188UA	KSFO	EDDF	2212	904	
1/24/2005	0	N188UA	EDDF	KSFO	1253	57	
1/25/2005	0	N176UA	KSFO	YSSY	507	1943	
1/26/2005	0	N176UA	YSSY	KSFO	314	1636	
1/27/2005	0	N229UA	KSFO	RKSI	1953	740	
1/28/2005	0	N229UA	RKSI	RJAA	253	453	
1/29/2005	0	N229UA	RJAA	WSSS	819	1852	
1/29/2005	0	N229UA	WSSS	RJAA	115	722	
2/2/2005	800	N229UA	RJAA	KJFK	811	2037	
2/3/2005	5405	N442SW	KJFK	KIAD	1521	1636	
2/6/2005	7126	N442AW	KIAD	KCAE	1228	1345	
2/7/2005	7105	N442AW	KCAE	KORD	1734	1957	
2/8/2005	444	N444UA	KORD	TNCA	1356	1844	
2/8/2005	463	N444UA	TNCA	KORD	347	851	
2/11/2005	1526	N463UA	KORD	KTPA	1915	2156	
2/12/2005	1411	N463UA	KTPA	KDEN	1739	2146	
2/12/2005	1178	N344UA	KDEN	KIAH	2026	2244	
2/12/2005	329	N344UA	KIAH	KDEN	1816	2050	
2/13/2005	361	N820UA	KDEN	KJAC	1818	1930	
2/13/2005	448	N820UA	KJAC	KDEN	2028	2156	
2/14/2005	5087	N251GL	KDEN	KTEX	1558	1706	
2/14/2005	5088	N220GL	KTEX	KDEN	1726	1833	
2/14/2005	1445	N463UA	KDEN	KPHX	2158	2351	
2/14/2005	1543	N463UA	KPHX	KSFO	46	243	
2/14/2005	1089	N561UA	KSFO	KLAX	1543	1649	
2/14/2005	986	N561UA	KLAX	KSFO	1829	1931	
2/14/2005	870	N777UA	KSFO	KORD	1954	2323	
2/16/2005	1	N207UA	KORD	PHNL	1619	216	
2/17/2005	62	N207UA	PHNL	KSFO	827	1259	
2/17/2005	869	N189UA	KSFO	VHHH	2003	1118	
2/17/2005	895	N176UA	VHHH	WSSS	1308	1743	
2/18/2005	896	N176UA	WSSS	VHHH	42	351	
2/18/2005	896	N176UA	VHHH	KORD	1140	139	
2/19/2005	881	N176UA	KORD	RJAA	1812	800	
2/20/2005	881	N176UA	RJAA	VTBD	927	1725	
2/20/2005	882	N176UA	VTBD	RJAA	54	644	
2/20/2005	852	N176UA	RJAA	KSFO	804	1910	
2/21/2005	926	N617UA	KSFO	LFPG	2209	851	
2/21/2005	927	N604UA	LFPG	KSFO	1006	2203	
2/23/2005	857	N176UA	KSFO	ZSPD	2208	1045	
