Date	Tail Number	Route	Duration		
1/13/2005	N673UA	SBGR-KORD	1.5		
1/14/2005	N826UA	KORD-KLAX	1.5		
1/18/2005	N213UA	KSFO-EGLL	1.5		
1/19/2005	N213UA	EGLL-KLAX	1.5		
1/21/2005	N197UA	KLAX-YSSY	1.5		
1/22/2005	N197UA	YSSY-KSFO	1.5		
1/23/2005	N188UA	KSFO-EDDF	1.5		
1/24/2005	N188UA	EDDF-KSFO	1.5		
1/25/2005	N176UA	KSFO-YSSY	1.5		
1/26/2005	N176UA	YSSY-KSFO	1.5		
1/27/2005	N229UA	KSFO-RKSI	1.5		
1/28/2005	N229UA	RKSI-RJAA	1.5		
1/29/2005	N229UA	RJAA-WSSS	1.5		
1/29/2005	N229UA	WSSS-RJAA	1.5		
2/2/2005	N229UA	RJAA-KJFK	1.5		
2/3/2005	N442SW	KJFK-KIAD	1.5		
2/6/2005	N442AW	KIAD-KCAE	1.5		
2/7/2005	N442AW	KCAE-KORD	1.5		
2/8/2005	N444UA	KORD-TNCA	1.5		
2/8/2005	N444UA	TNCA-KORD	1.5		
2/11/2005	N463UA	KORD-KTPA	1.5		
2/12/2005	N463UA	KTPA-KDEN	1.5		
2/12/2005	N344UA	KDEN-KIAH	1.5		
2/12/2005	N344UA	KIAH-KDEN	1.5		
2/13/2005	N820UA	KDEN-KJAC	1.5		
2/13/2005	N820UA	KJAC-KDEN	1.5		
2/14/2005	N251GL	KDEN-KTEX	1.5		
2/14/2005	N220GL	KTEX-KDEN	1.5		
2/14/2005	N463UA	KDEN-KPHX	1.5		
2/14/2005	N463UA	KPHX-KSFO	1.5		
2/14/2005	N561UA	KSFO-KLAX	1.5		
2/14/2005	N561UA	KLAX-KSFO	1.5		
2/14/2005	N777UA	KSFO-KORD	1.5		
2/16/2005	N207UA	KORD-PHNL	1.5		
2/17/2005	N207UA	PHNL-KSFO	1.5		
2/17/2005	N189UA	KSFO-VHHH	1.5		
2/17/2005	N176UA	VHHH-WSSS	1.5		
2/18/2005	N176UA	WSSS-VHHH	1.5		
2/18/2005	N176UA	VHHH-KORD	1.5		
2/19/2005	N176UA	KORD-RJAA	1.5		
2/20/2005	N176UA	RJAA-VTBD	1.5		
2/20/2005	N176UA	VTBD-RJAA	1.5		
2/20/2005	N176UA	RJAA-KSFO	1.5		
2/21/2005	N617UA	KSFO-LFPG	1.5		
2/21/2005	N604UA	LFPG-KSFO	1.5		
2/23/2005	N176UA	KSFO-ZSPD	1.5		
2/23/2005	N176UA	ZSPD-KSFO	1.5		
2/24/2005	N176UA	KSFO-ZBAA	1.5		
2/24/2005	N176UA	ZBAA-KSFO	1.5		
2/25/2005	N572UA	KSFO-KORD	1.5		
2/26/2005	N549UA	KORD-KLAX	1.5		
2/26/2005	N187UA	KLAX-YSSY	1.5		
