Date	Tail Number	Route	Duration	LANDINGS DAY
1/13/2005	B744	SBGR-KORD	1.5	1
1/14/2005	B744	KORD-KLAX	1.5	1
1/18/2005	B744	KSFO-EGLL	1.5	1
1/19/2005	B744	EGLL-KLAX	1.5	1
1/21/2005	B744	KLAX-YSSY	1.5	1
1/22/2005	B744	YSSY-KSFO	1.5	1
1/23/2005	B744	KSFO-EDDF	1.5	1
1/24/2005	B744	EDDF-KSFO	1.5	1
1/25/2005	B744	KSFO-YSSY	1.5	1
1/26/2005	B744	YSSY-KSFO	1.5	1
1/27/2005	B744	KSFO-RKSI	1.5	1
1/28/2005	B744	RKSI-RJAA	1.5	1
1/29/2005	B744	RJAA-WSSS	1.5	1
1/29/2005	B744	WSSS-RJAA	1.5	1
2/2/2005	B744	RJAA-KJFK	1.5	1
2/3/2005	B744	KJFK-KIAD	1.5	1
2/6/2005	B744	KIAD-KCAE	1.5	1
2/7/2005	B744	KCAE-KORD	1.5	1
2/8/2005	B744	KORD-TNCA	1.5	1
2/8/2005	B744	TNCA-KORD	1.5	1
2/11/2005	B744	KORD-KTPA	1.5	1
2/12/2005	B744	KTPA-KDEN	1.5	1
2/12/2005	B744	KDEN-KIAH	1.5	1
2/12/2005	B744	KIAH-KDEN	1.5	1
2/13/2005	B744	KDEN-KJAC	1.5	1
2/13/2005	B744	KJAC-KDEN	1.5	1
2/14/2005	B744	KDEN-KTEX	1.5	1
2/14/2005	B744	KTEX-KDEN	1.5	1
2/14/2005	B744	KDEN-KPHX	1.5	1
2/14/2005	B744	KPHX-KSFO	1.5	1
2/14/2005	B744	KSFO-KLAX	1.5	1
2/14/2005	B744	KLAX-KSFO	1.5	1
2/14/2005	B744	KSFO-KORD	1.5	1
2/16/2005	B744	KORD-PHNL	1.5	1
2/17/2005	B744	PHNL-KSFO	1.5	1
2/17/2005	B744	KSFO-VHHH	1.5	1
2/17/2005	B744	VHHH-WSSS	1.5	1
2/18/2005	B744	WSSS-VHHH	1.5	1
2/18/2005	B744	VHHH-KORD	1.5	1
2/19/2005	B744	KORD-RJAA	1.5	1
2/20/2005	B744	RJAA-VTBD	1.5	1
2/20/2005	B744	VTBD-RJAA	1.5	1
2/20/2005	B744	RJAA-KSFO	1.5	1
2/21/2005	B744	KSFO-LFPG	1.5	1
2/21/2005	B744	LFPG-KSFO	1.5	1
2/23/2005	B744	KSFO-ZSPD	1.5	1
2/23/2005	B744	ZSPD-KSFO	1.5	1
2/24/2005	B744	KSFO-ZBAA	1.5	1
2/24/2005	B744	ZBAA-KSFO	1.5	1
2/25/2005	B744	KSFO-KORD	1.5	1
2/26/2005	B744	KORD-KLAX	1.5	1
2/26/2005	B744	KLAX-YSSY	1.5	1
2/26/2005	B744	YSSY-YMML	1.5	1
2/26/2005	B744	YMML-YSSY	1.5	1
2/27/2005	B744	YSSY-KSFO	1.5	1
3/1/2005	B744	KSFO-PHOG	1.5	1
3/2/2005	B744	PHOG-KLAX	1.5	1
3/2/2005	B744	KLAX-KIAD	1.5	1
3/30/2005	B744	KIAD-KLAX	1.5	1
3/30/2005	B744	KLAX-KDEN	1.5	1
3/30/2005	B744	KDEN-PHNL	1.5	1
3/30/2005	B744	PHNL-KSFO	1.5	1
3/30/2005	B744	KSFO-PHNL	1.5	1
3/30/2005	B744	PHNL-KDEN	1.5	1
3/30/2005	B744	KDEN-KIAD	1.5	1
3/30/2005	B744	KIAD-EGLL	1.5	1
3/30/2005	B744	EGLL-KIAD	1.5	1
3/30/2005	B744	KIAD-KBOS	1.5	1
3/30/2005	B744	KBOS-KORD	1.5	1
3/30/2005	B744	KORD-KLAX	1.5	1
3/30/2005	B744	KLAX-KJFK	1.5	1
3/30/2005	B744	KJFK-KIAD	1.5	1
3/30/2005	B744	KIAD-KORD	1.5	1
3/30/2005	B744	KORD-LFPG	1.5	1
3/30/2005	B744	LFPG-KORD	1.5	1
3/30/2005	B744	KORD-KDEN	1.5	1
3/30/2005	B744	KDEN-KSFO	1.5	1
3/30/2005	B744	KSFO-PHNL	1.5	1
3/30/2005	B744	PHNL-KSFO	1.5	1
3/30/2005	B744	KSFO-VHHH	1.5	1
3/31/2005	B744	VHHH-KORD	1.5	1
3/31/2005	B744	KORD-KDEN	1.5	1
3/31/2005	B744	KDEN-KMIA	1.5	1
4/1/2005	B744	KMIA-KIAD	1.5	1
4/1/2005	B744	KIAD-KLAX	1.5	1
4/3/2005	B744	KLAX-KLAS	1.5	1
4/3/2005	B744	KLAS-KSFO	1.5	1
4/3/2005	B744	KSFO-KSAN	1.5	1
4/3/2005	B744	KSAN-KSFO	1.5	1
4/3/2005	B744	KSFO-KSBA	1.5	1
4/3/2005	B744	KSBA-KLAX	1.5	1
4/3/2005	B744	KLAX-PHNL	1.5	1
4/3/2005	B744	PHNL-KSFO	1.5	1
4/13/2005	B744	KSFO-KSAN	1.5	1
4/13/2005	B744	KSAN-KSFO	1.5	1
4/13/2005	B744	KSFO-PHNL	1.5	1
4/13/2005	B744	PHNL-KORD	1.5	1
4/13/2005	B744	KORD-ZSSS	1.5	1
4/13/2005	B744	ZSSS-KORD	1.5	1
4/13/2005	B744	KORD-KATL	1.5	1
4/16/2005	B744	KATL-KORD	1.5	1
4/16/2005	B744	KORD-KDTW	1.5	1
4/16/2005	B744	KDTW-KORD	1.5	1
4/17/2005	B744	KORD-RJAA	1.5	1
4/17/2005	B744	RJAA-RCTP	1.5	1
4/17/2005	B744	RCTP-RJAA	1.5	1
4/20/2005	B744	RJAA-VHHH	1.5	1
4/20/2005	B744	VHHH-WSSS	1.5	1
4/20/2005	B744	WSSS-RJAA	1.5	1
4/22/2005	B744	RJAA-KSFO	1.5	1
4/24/2005	B744	KSFO-KLAX	1.5	1
4/24/2005	B744	KLAX-KMRY	1.5	1
4/24/2005	B744	KMRY-KSFO	1.5	1
4/24/2005	B744	KSFO-PHNL	1.5	1
4/26/2005	B744	PHNL-KLAX	1.5	1
4/27/2005	B744	KLAX-KORD	1.5	1
5/1/2005	B744	KORD-KLAX	1.5	1
5/2/2005	B744	KLAX-KIAD	1.5	1
5/5/2005	B744	KIAD-EDDM	1.5	1
5/5/2005	B744	EDDM-KIAD	1.5	1
5/6/2005	B744	KIAD-KLAX	1.5	1
5/6/2005	B744	KLAX-KSFO	1.5	1
5/8/2005	B744	KSFO-KDEN	1.5	1
5/8/2005	B744	KDEN-KDFW	1.5	1
5/8/2005	B744	KDFW-KDEN	1.5	1
5/8/2005	B744	KDEN-KSTL	1.5	1
5/8/2005	B744	KSTL-KIAD	1.5	1
5/9/2005	B744	KIAD-EHAM	1.5	1
5/11/2005	B744	EHAM-KIAD	1.5	1
5/12/2005	B744	KIAD-KSFO	1.5	1
5/14/2005	B744	KSFO-KSEA	1.5	1
5/14/2005	B744	KSEA-KSFO	1.5	1
5/14/2005	B744	KSFO-KORD	1.5	1
5/15/2005	B744	KORD-CYYZ	1.5	1
5/15/2005	B744	CYYZ-KORD	1.5	1
5/15/2005	B744	KORD-KEWR	1.5	1
5/15/2005	B744	KEWR-KORD	1.5	1
5/16/2005	B744	KORD-KSNA	1.5	1
5/16/2005	B744	KSNA-KLAX	1.5	1
5/22/2005	B744	KLAX-YSSY	1.5	1
5/22/2005	B744	YSSY-KLAX	1.5	1
5/26/2005	B744	KLAX-KDEN	1.5	1
5/27/2005	B744	KDEN-PHNL	1.5	1
5/29/2005	B744	PHNL-KLAX	1.5	1
5/29/2005	B744	KLAX-KIAD	1.5	1
5/29/2005	B744	VHHH-KORD	1.5	1
6/2/2005	B744	KIAD-EGLL	1.5	1
6/4/2005	B744	EGLL-KSFO	1.5	1
6/9/2005	B744	KSFO-EGLL	1.5	1
6/10/2005	B744	EGLL-KIAD	1.5	1
6/10/2005	B744	KIAD-KDEN	1.5	1
6/10/2005	B744	KDEN-KCYS	1.5	1
6/10/2005	B744	KCYS-KDEN	1.5	1
6/10/2005	B744	KDEN-KLAX	1.5	1
6/17/2005	B744	KLAX-KMSY	1.5	1
6/17/2005	B744	KMSY-KSFO	1.5	1
6/19/2005	B744	KSFO-RJNN	1.5	1
6/20/2005	B744	RJNN-KSFO	1.5	1
6/28/2005	B744	KSFO-EGLL	1.5	1
6/28/2005	B744	EGLL-KORD	1.5	1
7/6/2005	B744	KORD-KPHX	1.5	1
7/6/2005	B744	KPHX-KLAX	1.5	1
7/6/2005	B744	KLAX-KDEN	1.5	1
7/6/2005	B744	KDEN-KHDN	1.5	1
7/6/2005	B744	KHDN-KDEN	1.5	1
7/6/2005	B744	KDEN-KCOS	1.5	1
7/6/2005	B744	KCOS-KDEN	1.5	1
7/6/2005	B744	KDEN-KEGE	1.5	1
7/6/2005	B744	KEGE-KDEN	1.5	1
7/6/2005	B744	KDEN-KSFO	1.5	1
7/11/2005	B744	KSFO-KATL	1.5	1
7/11/2005	B744	KATL-KORD	1.5	1
7/11/2005	B744	KORD-EHAM	1.5	1
7/17/2005	B744	EHAM-KORD	1.5	1
7/17/2005	B744	KORD-KIAD	1.5	1
7/30/2005	B744	KIAD-KSFO	1.5	1
8/19/2005	B744	KSFO-VHHH	1.5	1
8/21/2005	B744	VHHH-KORD	1.5	1
8/21/2005	B744	KORD-RJAA	1.5	1
8/22/2005	B744	RJAA-WSSS	1.5	1
8/22/2005	B744	WSSS-VHHH	1.5	1
8/26/2005	B744	VHHH-KSFO	1.5	1
