Date	"Aircraft Make & Model"	"aircraft ident"	Route	Duration	Dual	"LANDINGS DAY"
1/13/2005	C172	N575ND	SBGR-KORD	1.5	1.5	1
1/14/2005	C172	N575ND	KORD-KLAX	1.5	1.5	1
1/18/2005	C172	N575ND	KSFO-EGLL	1.5	1.5	1
1/19/2005	C172	N575ND	EGLL-KLAX	1.5	1.5	1
1/21/2005	C172	N575ND	KLAX-YSSY	1.5	1.5	1
1/22/2005	C172	N575ND	YSSY-KSFO	1.5	1.5	1
1/23/2005	C172	N575ND	KSFO-EDDF	1.5	1.5	1
1/24/2005	C172	N575ND	EDDF-KSFO	1.5	1.5	1
1/25/2005	C172	N575ND	KSFO-YSSY	1.5	1.5	1
1/26/2005	C172	N575ND	YSSY-KSFO	1.5	1.5	1
1/27/2005	C172	N575ND	KSFO-RKSI	1.5	1.5	1
1/28/2005	C172	N575ND	RKSI-RJAA	1.5	1.5	1
1/29/2005	C172	N575ND	RJAA-WSSS	1.5	1.5	1
1/29/2005	C172	N575ND	WSSS-RJAA	1.5	1.5	1
2/2/2005	C172	N575ND	RJAA-KJFK	1.5	1.5	1
2/3/2005	C172	N575ND	KJFK-KIAD	1.5	1.5	1
2/6/2005	C172	N575ND	KIAD-KCAE	1.5	1.5	1
2/7/2005	C172	N575ND	KCAE-KORD	1.5	1.5	1
2/8/2005	C172	N575ND	KORD-TNCA	1.5	1.5	1
2/8/2005	C172	N575ND	TNCA-KORD	1.5	1.5	1
2/11/2005	C172	N575ND	KORD-KTPA	1.5	1.5	1
2/12/2005	C172	N575ND	KTPA-KDEN	1.5	1.5	1
2/12/2005	C172	N575ND	KDEN-KIAH	1.5	1.5	1
2/12/2005	C172	N575ND	KIAH-KDEN	1.5	1.5	1
2/13/2005	C172	N575ND	KDEN-KJAC	1.5	1.5	1
2/13/2005	C172	N575ND	KJAC-KDEN	1.5	1.5	1
2/14/2005	C172	N575ND	KDEN-KTEX	1.5	1.5	1
2/14/2005	C172	N575ND	KTEX-KDEN	1.5	1.5	1
2/14/2005	C172	N575ND	KDEN-KPHX	1.5	1.5	1
2/14/2005	C172	N575ND	KPHX-KSFO	1.5	1.5	1
2/14/2005	C172	N575ND	KSFO-KLAX	1.5	1.5	1
