Date	Time	Airplane	Tail#	Custom	Route	Day LDG	Night LDG	Inst. App.	Day	Night	SEL	MEL	SES	MES	Ground Trainer	Complex	High Perf.	Tail Dragger	Sim. Inst.	Act. Inst.	Cross Country	Part 135 XC	Dual Given	Dual Rcvd	Pilot in Cmd	Total	Notes	Passengers
8/23/2006		Frasca 241	SF4001		UND-UND										1.1													
8/25/2006		PA28-161	N230ND		GFK-4V4-GFK	2			1.5		1.5											1.5		1.5		1.5		
8/26/2006		PA28-161	N229ND		GFK-GAF-GFK	3			1.4		1.4											1.4		1.4		1.4		
8/28/2006		PA28-161	N355ND		GFK-GFK	1			1.3		1.3													1.3		1.3		
9/1/2006		PA28-161	N277ND		GFK-4V4	1			0.7		0.7											0.7		0.7		0.7		
9/1/2006		PA28-161	N277ND		4V4-GFK	2			0.6		0.6											0.6		0.6		0.6		
9/2/2006		Frasca 241	SF4002		UND-UND										1.0													
9/4/2006		PA28-161	N274ND		GFK-D56-GFK	4			1.7		1.7											1.7		1.7		1.7		
9/6/2006		PA28-161	N436ND		GFK-2L1-GFK	7			1.4		1.4											1.4		1.4		1.4		
9/7/2006		PA28-161	N222ND		GFK-GFK	7			1.0		1.0													1.0		1.0		
9/9/2006		PA28-161	N359ND		GFK-GFK	1			0.5		0.5													0.5		0.5		
9/11/2006		PA28-161	N230ND		GFK-GFK	12			1.3		1.3													1.3		1.3		
9/11/2006		PA28-161	N230ND		GFK-GFK	3			0.5		0.5														0.5	0.5		
9/16/2006		PA28-161	N369ND		GFK-D37-GFK	3			1.4		1.4											1.4		1.4		1.4		
9/20/2006		PA28-161	N222ND		GFK-4V4-GFK	3			1.7		1.7											1.7		1.7		1.7		
9/25/2006		PA28-161	N355ND		GFK-Y37-GFK	4			1.6		1.6											1.6		1.6		1.6		
9/27/2006		Frasca 241	SF4003		UND-UND										1.1													
9/28/2006		PA28-161	N229ND		GFK-Y37-GFK	4			1.6		1.6								0.9			1.6		1.6		1.6		
10/1/2006		PA28-161	N357ND		GFK-D37-GFK	4			1.4		1.4								0.6			1.4		1.4		1.4		
10/2/2006		PA28-161	N356ND		GFK-GFK	1			1.3		1.3														1.3	1.3		
10/9/2006		PA28-161	N350ND		GFK-CKN-GFK		7			1.9	1.9											1.9		1.9		1.9		
10/14/2006		PA28-161	N350ND		GFK-BJI-DTL-GFK		3			3.1	3.1								0.6		3.1	3.1		3.1		3.1		
10/19/2006		PA28-161	N356ND		GFK-DVL-FAR-GFK	3			3.0		3.0								0.5		3.0	3.0		3.0		3.0		
10/21/2006		PA28-161	N356ND		GFK-4V4-GFK	4			1.8		1.8								0.1			1.8		1.8		1.8		
10/24/2006		PA28-161	N357ND		GFK-Y37-GFK	3			1.8		1.8								0.2			1.8		1.8		1.8		
11/1/2006		PA28-161	N238ND		GFK-GFK	1			1.4		1.4								0.2					1.4		1.4		
11/2/2006		PA28-161	N263ND		GFK-GFK	3			1.7		1.7													1.7		1.7		
11/11/2006		PA28-161	N350ND		GFK-GFK	4			1.9		1.9													1.9		1.9		
11/18/2006		PA28-161	N355ND		GFK-BWP-JMS-GFK	3			3.3		3.3										3.3	3.3			3.3	3.3		
11/30/2006		PA28-161	N274ND		GFK-GFK	1			1.7		1.7								0.2					1.7		1.7		
12/3/2006		PA28-161	N359ND		GFK-GFK	7			1.5		1.5								0.3					1.5		1.5		
12/13/2006		PA28-161	N358ND		GFK-CKN-GFK	3			1.6		1.6								0.1			1.6		1.6		1.6		
1/12/2007		PA28-161	N245ND		GFK-GFK	3			1.1		1.1													1.1		1.1		
1/14/2007		PA28-161	N263ND		GFK-FFM-FAR-GFK	3			2.7		2.7										2.7	2.7		2.7		2.7		
1/17/2007		PA28-161	N222ND		GFK-JMS-BIS-GFK		5			4.3	4.3										4.3	4.3		4.3		4.3		
1/18/2007		PA28-161	N437ND		GFK-GFK		8			1.0	1.0														1.0	1.0		
1/29/2007		PA28-161	N274ND		GFK-PKD-BJI-GFK		3			2.8	2.8										2.8	2.8			2.8	2.8		
1/20/2007		PA28-161	N238ND		GFK-ATY-FSD-GFK		3		4.8	0.6	5.4										5.4	5.4			5.4	5.4		
1/22/2007		PA28-161	N276ND		GFK-BJI-TVF-GFK		3			3.0	3.0										3.0	3.0			3.0	3.0		
1/29/2007		Frasca 241	SF4001		UND-UND										1.1													
1/31/2007		Frasca 241	SF4001		UND-UND										1.1													
2/5/2007		PA28-161	N263ND		GFK-GFK	1			1.2		1.2								1.0					1.2		1.2		
2/9/2007		PA28-161	N238ND		GFK-GFK	1			1.4		1.4								1.2					1.4		1.4		
2/12/2007		Frasca 241	SF4001		UND-UND										1.1													
2/14/2007		PA28-161	N276ND		GFK-D37-GFK	5			1.4		1.4								0.5			1.4		1.4		1.4		
2/16/2007		Frasca 241	SF4004		UND-UND										1.0													
2/19/2007		PA28-161	N239ND		GFK-GFK	1			1.4		1.4								1.1					1.4		1.4		
3/4/2007		PA28-161	N275ND		GFK-AXN-D56-FAR	3			3.8		3.8										3.8	3.8			3.8	3.8		
3/5/2007		PA28-161	N275ND		FAR-GFK	1			0.9		0.9										0.9	0.9			0.9	0.9		
3/21/2007		PA28-161	N238ND		GFK-D37-GFK	6			1.6		1.6								0.7			0.7		1.6		1.6		
3/23/2007		PA28-161	N436ND		GFK-Y37-GFK	3			1.6		1.6								0.3			1.6		1.6		1.6		
4/7/2007		PA28-161	N274ND		GFK-3H4-GFK	2			1.5		1.5											1.5		1.5		1.5		
4/9/2007		PA28-161	N369ND		GFK-3H4-GFK	2			1.6		1.6								0.4			1.6		1.6		1.6		
4/11/2007		PA28-161	N224ND		GFK-GFK	9			1.1		1.1													1.1		1.1		
4/14/2007		PA28-161	N350ND		GFK-GFK	3			0.5		0.5													0.5		0.5		
4/16/2007		Frasca 241	SF4001		UND-UND										1.3													
4/18/2007		Frasca 241	SF4004		UND-UND										1.2													
4/19/2007		Frasca 241	SF4003		UND-UND										1.0													
4/20/2007		Frasca 241	SF4001		UND-UND										1.0													
4/21/2007		PA28-161	N358ND		GFK-GFK	1			0.9		0.9														0.9	0.9		
4/23/2007		Frasca 241	SF4001		UND-UND										1.4													
4/25/2007		Frasca 241	SF4001		UND-UND										1.3													
