Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Tailwheel	Remarks
"03/21/02"	"C172P"	"N6472K"	"F46-BAZ-T86-BAZ-F46"	8.9	4	0	0.0	0.0	0	0.0	3.0	8.9	0.0	0.0	0.0	8.9	0.0		"First flight.  Rockwall to New Braunfels to Zapata, TX and back. Zapata County"
"03/22/02"	"C172N"	"N6572D"	"F46-F46"	1.1	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Preflight checks.  Taxiing in strong headwinds, turns to headings.  10-30% banks"
"03/29/02"	"C172P"	"N6472K"	"F46-F46"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Slow flight w-w/o flaps, scanning and landing approaches"
"04/08/02"	"C172P"	"N6472K"	"F46-F46"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Straight & Level flying, turns to hdg., simulated engine failure, emergency descents"
"04/09/02"	"C172P"	"N6472K"	"F46-F46"	0.9	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		"St.&Level flight, slow flight, emergency descents, sim. engine failure, pattern work, landings"
"04/10/02"	"C172N"	"N6572D"	"F46-F46"	1.2	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		"Slow flight, steep turns, power off stall, landings (2 unassisted landings)"
"04/17/02"	"C172N"	"N6572D"	"F46-F46"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Slow flight, steep turns, power stalls, 1 unassisted landing"
"04/19/02"	"C172P"	"N6472K"	"F46-HQZ-TRL-F46"	1.4	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Normal and crosswind t/o and landings. Landings at Mesquite and Terrell."
"04/22/02"	"C172P"	"N6472K"	"F46-F46"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Steep turns, p/off stalls, p/on stalls, sim. engine failure, crosswind t/o and landings."
"04/24/02"	"C172P"	"N6472K"	"F46-7F3-F46"	1.0	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Steep turns, sim. engine failure, forward slips, landings."
"05/07/02"	"C172P"	"N6472K"	"F46-ADS-F46"	1.0	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Class D Operations (Addison), Reg. Appch., landings.  Met George Seaburg. Walt Lawhead in back."
"05/09/02"	"C172P"	"N6472K"	"F46-F46"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Takeoffs and landings.  Crosswind techniques."
"05/10/02"	"C172N"	"N6572D"	"F46-TRL-F46"	0.9	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		"Takeoffs and landings."
"05/12/02"	"C172P"	"N6472K"	"F46-7F3-F46"	1.1	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		"Takeoffs and landings."
