	   FLIGHTS   	   HOURS   	   ASEL   	   ASES   	   AMEL   	   AMES   	   HELO   	   GLIDER   	   GYROPLANE   	   BALLOON   	   AIRSHIP   	  NIGHT  	  INSTRUMENT  	  SIMULATED INSTRUMENT  	  SIMULATOR  	  CROSS COUNTRY  	  SOLO  	  PILOT IN COMMAND  	  SECOND IN COMMAND  	  DUAL  	  INSTRUCTOR  	  EVALUATOR  	  LANDINGS DAY  	  LANDINGS NIGHT  	   TOTAL LANDINGS   	  FLIGHT COST  	   EXPENSES   	  PER DIEM  	  APPROACHES & TYPE  	   ILS   	   PAR   	   TACAN   	   ASR   	   LOC   	   VOR   	   NDB   	   GPS   	   MLS   	   BC   	   RNAV   	   SDF   	   LDA   	   HOLDING   
8KCAB	2	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BE-76	1	1.399999976	0	0	1.399999976	0	0	0	0	0	0	0	0	0.899999976	0	0	0	1.399999976	0	1.399999976	0	0	3	0	3	0	0	0	3	1	0	0	0	1	0	0	1	0	0	0	0	0	1
C150	3	3.700000048	3.700000048	0	0	0	0	0	0	0	0	0	0	0	0	1.100000024	0	3.100000024	0	1.100000024	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C152	88	114.1000001	114.1000001	0	0	0	0	0	0	0	0	5.50000006	0	2.400000036	0	32.20000017	66.59999999	70.50000003	0	44.39999995	0	0	373	10	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C172	107	138.4	138.4	0	0	0	0	0	0	0	0	7.199999928	7.900000013	1.200000018	0	61.90000015	24.40000027	135.9	0	9.700000048	87.89999968	7.099999905	107	8	115	0	0	0	8	3	0	0	0	0	3	1	0	0	1	0	0	0	2
C182	26	43.49999994	43.49999994	0	0	0	0	0	0	0	0	2.900000036	0.600000016	4.200000055	0	23.70000017	7.299999952	43.49999994	0	7.600000083	9.499999881	6.299999952	64	5	69	0	0	0	5	3	0	0	0	0	2	0	0	0	0	0	0	0	1
CL-65	1389	2356.099994	0	0	2356.099994	0	0	0	0	0	0	366	80.30000128	0	0	2356.099994	0	691.1999974	1664.899996	0	0	0	518	171	689	0	0	0	87	82	0	0	0	0	1	1	1	0	1	1	0	0	2
CL-65S	16	0	0	0	0	0	0	0	0	0	0	0	0	20	64	0	0	0	0	0	0	0	37	0	37	0	0	0	16	12	0	0	0	1	2	1	0	0	0	0	0	0	2
Frasca241	19	0	0	0	0	0	0	0	0	0	0	0	0	17.30000013	19.90000015	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	2	2	2	3	0	0	0	0	0	0
Frasca242	16	0	0	0	0	0	0	0	0	0	0	0	0	0	18.60000018	0	0	0	0	0	0	0	0	0	0	0	0	0	22	14	0	0	0	1	4	1	1	0	1	0	0	0	2
PA18-150	7	8.100000024	8.100000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.100000024	0	8.100000024	0	0	52	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA28-140	5	4.50000003	4.50000003	0	0	0	0	0	0	0	0	0	0	0	0	1.600000024	3.00000003	4.50000003	0	1.5	0	0	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA28-161	100	151.799999	151.799999	0	0	0	0	0	0	0	0	16.59999973	4.999999933	41.60000031	0	48.09999967	29.09999967	148.7999991	0	112.3999994	0	0	302	40	342	0	0	0	63	18	0	0	1	4	12	10	13	0	5	0	0	0	9
PA28-180	7	10.59999982	10.59999982	0	0	0	0	0	0	0	0	2.700000003	0	0.200000003	0	7.899999857	5.299999833	10.59999982	0	1	0	0	22	4	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA28-181	1	0.800000012	0.800000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.800000012	0	0.800000012	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PA28R-201	41	55.29999977	55.29999977	0	0	0	0	0	0	0	0	0	1	0.200000003	0	0	19.5	46.40000004	0	34.39999974	0	0	163	0	163	0	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0
PA44-180	26	49.30000037	0	0	49.30000037	0	0	0	0	0	0	13.30000022	0	7.800000101	0	29.30000007	0	24.60000026	0	48.10000032	1.200000048	0	60	28	88	0	0	0	20	11	0	0	0	1	4	0	3	0	1	0	0	0	2
PCATD	1	0	0	0	0	0	0	0	0	0	0	0	0	1.299999952	1.299999952	0	0	0	0	1.299999952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SR20	1	0.600000024	0.600000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600000024	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VV1	1	0	0	0	0	0	0	0	0	0	0	0	0	1.100000024	1.100000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total	1857	2939.699993	532.8999988	0	2406.799994	0	0	0	0	0	0	414.1999999	94.80000124	98.20000061	104.9000003	2561.899994	155.1999997	1189.999997	1664.899996	273.2999995	99.59999961	13.39999986	1722	266	1988	0	0	0	238	147	0	0	1	10	31	17	22	0	9	1	0	0	21
