Date	A/C Type	A/C Ident	Route of Flight	# App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Inst	Sim Inst	Flight Sim	XC	Dual	PIC	Solo	Total Time of Flight		yr/mo	year	Instrument currency stuff			daily count stuff	
8/19/93	C172	N78512	AFF		"preflight,taxi,runup,t/o,climbs,descents"	1			1.2								1.2			1.2		199308	1993				08/19	
8/23/93	C172	N9621V	AFF--local		"med turns,climb/desc turns,go around"	1			1.3								1.3			1.3		199308	1993				08/23	
9/7/93	C172	N78512	AFF--local		Cancelled--weather after takeoff	1			0.5								0.5			0.5		199309	1993				09/07	
9/15/93	C172	N1370U	AFF--local		"Inst,MCA,power off stall"	1			1.2								1.2			1.2		199309	1993				09/15	
9/17/93	C172	N1370U	AFF--local		"MCA,p on/off stall,steep turns,T+G's"	4			1.2								1.2			1.2		199309	1993				09/17	
10/1/93	C172	N9621V	AFF--local		"slowflight,tracking,nearstall,hidrag"	1			1.3								1.3			1.3		199310	1993				10/01	
10/5/93	C172	N1401E	AFF--COS--AFF		"COS ARSA proc,Various flap landings"	6			1.2								1.2			1.2		199310	1993				10/05	
10/7/93	C172	N1401E	AFF--local		Cancelled due to weather	0			0.2								0.2			0.2		199310	1993				10/07	
10/11/93	C172	N9621V	AFF--00V--AFF		"traffic pattern, 20 deg flap landings"	8			1.2								1.2			1.2		199310	1993				10/11	
10/19/93	C172	N97LP	AFF--00V--AFF		"MCA,st turns,p on/off stall,emerg,20/30"	7			1.9								1.9			1.9		199310	1993				10/19	
10/21/93	C172	N9582V	AFF--00V--AFF		"MCA,st turns,p/po stall,0/20/30"	8			1.8								1.8			1.8		199310	1993				10/21	
11/2/93	C172	N9582V	AFF--00V--AFF		presolo check	6			1.8								1.8			1.8		199311	1993				11/02	
11/16/93	C172	N9582V	AFF--00V--AFF		1st Solo! 3 full stop landings	17			2.2								1.7	0.5	0.5	2.2		199311	1993				11/16	
12/10/93	C172	N9582V	AFF--00V--AFF		2nd solo  20/40 landings	8			1.5								1.0	0.5	0.5	1.5		199312	1993				12/10	
1/12/94	C172	N9582V	AFF-IOC-00V-AFF		"VOR nav,pilotage,0/20/40 landings"	6			1.8								1.8			1.8		199401	1994				01/12	
1/15/94	C172	N9582V	AFF--AKO--AFF		"fltplan,deadreck,pilotage,diversion"	2			3.1							3.1	3.1			3.1		199401	1994				01/15	
1/19/94	C172	N1401E	AFF--LHX--AFF		"VOR,X-wind landings,pilotage,ARSA"	2			2.0							2.0	2.0			2.0		199401	1994				01/19	
1/25/94	C172	N1401E	AFF--PUB-AFF		Nav Check	3			1.5								1.5			1.5		199401	1994				01/25	
2/2/94	C172	N78512	AFF--local		"p/po stall,imm stall,steep turns,MCA"	1			1.3									1.3	1.3	1.3		199402	1994				02/02	
2/4/94	C172	N52298	AFF--00V--AFF		"same,0/20/30 landings"	5			1.5									1.5	1.5	1.5		199402	1994				02/04	
2/10/94	C172	N97LP	AFF-AKO-LHX-AFF		1st solo X-country	3			3.6							3.6		3.6	3.6	3.6		199402	1994				02/10	
2/16/94	C172	N52298	AFF--COS--AFF		ARSA Class C procedures	5			0.9								0.9			0.9		199402	1994				02/16	
2/27/94	C172	N1370U	AFF-TAD-LAA-AFF		Solo X-C	3			4.1							4.1		4.1	4.1	4.1		199402	1994				02/27	
3/1/94	C172	N1370U	AFF--00V--AFF		"MCA,st turns,p/po stall,turning stall"	3			1.5								1.5			1.5		199403	1994				03/01	
3/3/94	C172	N1401E	AFF--00V--AFF		"short/soft field, X-winds"	11			1.3								1.3			1.3		199403	1994				03/03	
3/11/94	C172	N1401E	AFF-3V4-AFF		Solo X-C	2			2.3							2.3		2.3	2.3	2.3		199403	1994				03/11	
3/15/94	C172	N1401E	AFF--00V--AFF		Pvt Pilot Test standards maneuvers	9			1.9								1.9			1.9		199403	1994				03/15	
3/21/94	C152	N49100	GEU-C2G-GYR-GEU		"night nav,DR,VOR,emerg"		14	14	3.0			3.0		0.6			3.0			3.0		199403	1994				03/21	
3/28/94	C172	N1401E	AFF--00V--AFF		"stturns,MCA,stalls,grd ref,0/20/40sh/so"	9			2.2									2.2	2.2	2.2		199403	1994				03/28	
3/30/94	C172	N9582V	AFF-COS-00V-AFF		"stalls,st turns,MCA,Class C"	11			2.3									2.3	2.3	2.3		199403	1994				03/30	
4/7/94	C172	N1401E	AFF-COS-00V-AFF		"stalls,x-wind,stturns,MCA"	8			1.8									1.8	1.8	1.8		199404	1994				04/07	
4/19/94	C172	N6601K	AFF--00V--AFF		Pvt Pilot Test standards maneuvers	5			1.4								1.4			1.4		199404	1994				04/19	
4/21/94	C172	N97LP	AFF--00V--AFF		Pre-FAA check	5			1.4					0.3			1.4			1.4		199404	1994				04/21	
5/4/94	C172	N1401E	AFF--00V--AFF		short/soft field	7			1.0								1.0			1.0		199405	1994				05/04	
5/8/94	C172	N1401E	AFF--local		PP flight test-unsat hood and x-wind	4			2.0					0.2				2.0		2.0		199405	1994				05/08	
5/10/94	T-41B	N3043F	AFF--00V--AFF		LANDINGS!	15			1.5								1.5			1.5		199405	1994				05/10	
5/11/94	C172	N6601K	AFF--00V--AFF		"hood work, landings"	11			1.8					1.0			1.8			1.8		199405	1994				05/11	
5/12/94	C172	N6601K	AFF--local		PP flight test-passed!	2			0.6					0.2				0.6		0.6		199405	1994				05/12	
5/20/94	T-41B	N3043F	AFF-ASE-LXV-AFF		Mountain flying training	3			2.8							2.8	2.8	2.8		2.8		199405	1994				05/20	
5/23/94	T-41B	N3043F	AFF-7V1-0V2-AFF		Mountain flight with Jack	1			1.7									1.7		1.7		199405	1994				05/23	
6/9/94	C152	N67739	SDL--local		VFR check out	3			0.9								0.9	0.9		0.9		199406	1994				06/09	
6/11/94	C152	N67739	SDL--local		"Flight with Mom, Dad, and Randy"	3			2.1									2.1		2.1		199406	1994				06/11	
7/7/94	KC-135T	80060	SKA--SKA		Aerial Refueling flight at Fairchild	0				0.3 hours removed from total 1/27/09										0.3		199407	1994				07/07	
8/1/94	C172	N6601K	AFF--00V--AFF		Recurrency	5			1.1								1.1	1.1		1.1		199408	1994				08/01	
9/2/94	C172	N97LP	AFF--00V--AFF		Flight with Mom and Dad	3			1.6									1.6		1.6		199409	1994				09/02	
10/24/94	C172	N1401E	AFF--00V--AFF		"Practice-st turns, stalls, landing"	5			1.2									1.2	1.2	1.2		199410	1994				10/24	
12/20/94	DV-20	N27DV	FFZ--local		checkout in Katana	5			0.9								0.9	0.9		0.9		199412	1994				12/20	
3/29/95	7ECA	N5199T	FFZ-IWA-PIO-FFZ		"3-point,wheel landings"	23			3.1								3.1	3.1		3.1		199503	1995				03/29	
3/30/95	7ECA	N5199T	FFZ--local		"3-point,x-wind,wheel landings"	17			1.9								1.9	1.9		1.9		199503	1995				03/30	
3/31/95	DV-20	N18DV	FFZ-E69-FFZ		Flight with Mom	2			1.8							1.8		1.8		1.8		199503	1995				03/31	
5/21/95	T-41B	N146AC	AFF--LHX		First leg of balloon recovery flight	1			1.3							1.3		1.3		1.3		199505	1995				05/21	
10/27/02	C172	N5269F	8Q0-2Q3-VCB-8Q0		"stall, steep turns, t/o, landing, slow flt"	4			1.1								1.1	1.1		1.1		200210	2002				10/27	
11/2/02	C172	N5269F	8Q0-APC-8Q0		"Emergencies, go around, BFR"	7			1.2								1.2	1.2		1.2		200211	2002				11/02	
11/3/02	C172	N5243F	8Q0-PAO-HAF-SUU-8Q0		Bay tour	3			2.7							2.7		2.7	2.7	2.7		200211	2002				11/03	
