Date	AC Type	Plane	Route of Flight	App	Remarks	day ldg	nt ldg	nt t/o	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
8/19/93	C172	N78512	AFF		"preflight,taxi,runup,t/o,climbs,descents"	1			1.2								1.2			1.2		
8/23/93	C172	N9621V	AFF--local		"med turns,climb/desc turns,go around"	1			1.3								1.3			1.3		
9/7/93	C172	N78512	AFF--local		Cancelled--weather after takeoff	1			0.5								0.5			0.5		
9/15/93	C172	N1370U	AFF--local		"Inst,MCA,power off stall"	1			1.2								1.2			1.2		
9/17/93	C172	N1370U	AFF--local		"MCA,p on/off stall,steep turns,T+G's"	4			1.2								1.2			1.2		
10/1/93	C172	N9621V	AFF--local		"slowflight,tracking,nearstall,hidrag"	1			1.3								1.3			1.3		
10/5/93	C172	N1401E	AFF--COS--AFF		"COS ARSA proc,Various flap landings"	6			1.2								1.2			1.2		
10/7/93	C172	N1401E	AFF--local		Cancelled due to weather	0			0.2								0.2			0.2		
10/11/93	C172	N9621V	AFF--00V--AFF		"traffic pattern, 20 deg flap landings"	8			1.2								1.2			1.2		
10/19/93	C172	N97LP	AFF--00V--AFF		"MCA,st turns,p on/off stall,emerg,20/30"	7			1.9								1.9			1.9		
10/21/93	C172	N9582V	AFF--00V--AFF		"MCA,st turns,p/po stall,0/20/30"	8			1.8								1.8			1.8		
11/2/93	C172	N9582V	AFF--00V--AFF		presolo check	6			1.8								1.8			1.8		
11/16/93	C172	N9582V	AFF--00V--AFF		1st Solo! 3 full stop landings	17			2.2								1.7	0.5	0.5	2.2		
12/10/93	C172	N9582V	AFF--00V--AFF		2nd solo  20/40 landings	8			1.5								1.0	0.5	0.5	1.5		
1/12/94	C172	N9582V	AFF-IOC-00V-AFF		"VOR nav,pilotage,0/20/40 landings"	6			1.8								1.8			1.8		
1/15/94	C172	N9582V	AFF--AKO--AFF		"fltplan,deadreck,pilotage,diversion"	2			3.1							3.1	3.1			3.1		
1/19/94	C172	N1401E	AFF--LHX--AFF		"VOR,X-wind landings,pilotage,ARSA"	2			2.0							2.0	2.0			2.0		
1/25/94	C172	N1401E	AFF--PUB-AFF		Nav Check	3			1.5								1.5			1.5		
2/2/94	C172	N78512	AFF--local		"p/po stall,imm stall,steep turns,MCA"	1			1.3									1.3	1.3	1.3		
2/4/94	C172	N52298	AFF--00V--AFF		"same,0/20/30 landings"	5			1.5									1.5	1.5	1.5		
2/10/94	C172	N97LP	AFF-AKO-LHX-AFF		1st solo X-country	3			3.6							3.6		3.6	3.6	3.6		
2/16/94	C172	N52298	AFF--COS--AFF		ARSA Class C procedures	5			0.9								0.9			0.9		
2/27/94	C172	N1370U	AFF-TAD-LAA-AFF		Solo X-C	3			4.1							4.1		4.1	4.1	4.1		
3/1/94	C172	N1370U	AFF--00V--AFF		"MCA,st turns,p/po stall,turning stall"	3			1.5								1.5			1.5		
3/3/94	C172	N1401E	AFF--00V--AFF		"short/soft field, X-winds"	11			1.3								1.3			1.3		
3/11/94	C172	N1401E	AFF-3V4-AFF		Solo X-C	2			2.3							2.3		2.3	2.3	2.3		
3/15/94	C172	N1401E	AFF--00V--AFF		Pvt Pilot Test standards maneuvers	9			1.9								1.9			1.9		
3/21/94	C152	N49100	GEU-C2G-GYR-GEU		"night nav,DR,VOR,emerg"		14	14	3.0			3.0		0.6			3.0			3.0		
3/28/94	C172	N1401E	AFF--00V--AFF		"stturns,MCA,stalls,grd ref,0/20/40sh/so"	9			2.2									2.2	2.2	2.2		
3/30/94	C172	N9582V	AFF-COS-00V-AFF		"stalls,st turns,MCA,Class C"	11			2.3									2.3	2.3	2.3		
4/7/94	C172	N1401E	AFF-COS-00V-AFF		"stalls,x-wind,stturns,MCA"	8			1.8									1.8	1.8	1.8		
4/19/94	C172	N6601K	AFF--00V--AFF		Pvt Pilot Test standards maneuvers	5			1.4								1.4			1.4		
4/21/94	C172	N97LP	AFF--00V--AFF		Pre-FAA check	5			1.4					0.3			1.4			1.4		
5/4/94	C172	N1401E	AFF--00V--AFF		short/soft field	7			1.0								1.0			1.0		
5/8/94	C172	N1401E	AFF--local		PP flight test-unsat hood and x-wind	4			2.0					0.2				2.0		2.0		
5/10/94	T-41B	N3043F	AFF--00V--AFF		LANDINGS!	15			1.5								1.5			1.5		
5/11/94	C172	N6601K	AFF--00V--AFF		"hood work, landings"	11			1.8					1.0			1.8			1.8		
5/12/94	C172	N6601K	AFF--local		PP flight test-passed!	2			0.6					0.2				0.6		0.6		
5/20/94	T-41B	N3043F	AFF-ASE-LXV-AFF		Mountain flying training	3			2.8							2.8	2.8	2.8		2.8		
5/23/94	T-41B	N3043F	AFF-7V1-0V2-AFF		Mountain flight with Jack	1			1.7									1.7		1.7		
6/9/94	C152	N67739	SDL--local		VFR check out	3			0.9								0.9	0.9		0.9		
6/11/94	C152	N67739	SDL--local		"Flight with Mom, Dad, and Randy"	3			2.1									2.1		2.1		
8/1/94	C172	N6601K	AFF--00V--AFF		Recurrency	5			1.1								1.1	1.1		1.1		
9/2/94	C172	N97LP	AFF--00V--AFF		Flight with Mom and Dad	3			1.6									1.6		1.6		
10/24/94	C172	N1401E	AFF--00V--AFF		"Practice-st turns, stalls, landing"	5			1.2									1.2	1.2	1.2		
12/20/94	DV-20	N27DV	FFZ--local		checkout in Katana	5			0.9								0.9	0.9		0.9		
3/29/95	7ECA	N5199T	FFZ-IWA-PIO-FFZ		"3-point,wheel landings"	23			3.1								3.1	3.1		3.1		
