Date	AC Type	Plane	Route of Flight	Approaches	day landing	night landing	ASEL	AMEL	Heli	Night	Actual	Hood	Flight Sim	XC	Dual	PIC	Solo	Total		
8/19/93	C172	N78512	AFF		1		1.2								1.2			1.2		
8/23/93	C172	N9621V	AFF--local		1		1.3								1.3			1.3		
9/7/93	C172	N78512	AFF--local		1		0.5								0.5			0.5		
9/15/93	C172	N1370U	AFF--local		1		1.2								1.2			1.2		
9/17/93	C172	N1370U	AFF--local		4		1.2								1.2			1.2		
10/1/93	C172	N9621V	AFF--local		1		1.3								1.3			1.3		
10/5/93	C172	N1401E	AFF--COS--AFF		6		1.2								1.2			1.2		
10/7/93	C172	N1401E	AFF--local		0		0.2								0.2			0.2		
10/11/93	C172	N9621V	AFF--00V--AFF		8		1.2								1.2			1.2		
10/19/93	C172	N97LP	AFF--00V--AFF		7		1.9								1.9			1.9		
10/21/93	C172	N9582V	AFF--00V--AFF		8		1.8								1.8			1.8		
11/2/93	C172	N9582V	AFF--00V--AFF		6		1.8								1.8			1.8		
11/16/93	C172	N9582V	AFF--00V--AFF		17		2.2								1.7	0.5	0.5	2.2		
12/10/93	C172	N9582V	AFF--00V--AFF		8		1.5								1.0	0.5	0.5	1.5		
1/12/94	C172	N9582V	AFF-IOC-00V-AFF		6		1.8								1.8			1.8		
1/15/94	C172	N9582V	AFF--AKO--AFF		2		3.1							3.1	3.1			3.1		
1/19/94	C172	N1401E	AFF--LHX--AFF		2		2.0							2.0	2.0			2.0		
1/25/94	C172	N1401E	AFF--PUB-AFF		3		1.5								1.5			1.5		
2/2/94	C172	N78512	AFF--local		1		1.3									1.3	1.3	1.3		
2/4/94	C172	N52298	AFF--00V--AFF		5		1.5									1.5	1.5	1.5		
2/10/94	C172	N97LP	AFF-AKO-LHX-AFF		3		3.6							3.6		3.6	3.6	3.6		
2/16/94	C172	N52298	AFF--COS--AFF		5		0.9								0.9			0.9		
2/27/94	C172	N1370U	AFF-TAD-LAA-AFF		3		4.1							4.1		4.1	4.1	4.1		
3/1/94	C172	N1370U	AFF--00V--AFF		3		1.5								1.5			1.5		
3/3/94	C172	N1401E	AFF--00V--AFF		11		1.3								1.3			1.3		
