Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Complex/Hi-Perf	Remarks
"02/21/05"	"C172"	"N6685P"	"GPU Local"	0.5	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0		"Discovery Flight"
"10/28/06"	"PA28-140"	"N4998L"	"HVA - Local"	1.5	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Familiarization-Pre-Flt, Check Lists, Taxi, Turns, Climbs, Dscnts, Stalls, Co-ord"
"10/30/06"	"PA28-140"	"N4998L"	"HVA - Local"	1.5	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Trns, Climbs, Dscnts, Stalls, Co-ord exrcse, Rec crse, S-turns"
"11/14/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.4	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Turns, Coordination Exc., Stalls, Traffic Pattern Fam."
"11/18/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.5	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Take offs, Landings"
"11/19/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.5	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Take offs, Landings"
"11/24/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.6	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Take offs, Landings"
"12/01/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.4	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Take offs, Landings"
"12/06/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.5	10	0	0.0	0.0	0	0.0	0.0	0.0	0.3	0.3	0.0	1.2	0.0		"1st Solo -- 3 Landings"
"12/09/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.7	13	0	0.0	0.0	0	0.0	0.0	0.0	0.5	0.5	0.0	1.2	0.0		"2nd Solo -- 5 Landings, All flap settings"
"12/16/06"	"PA28-140"	"N4998L"	"HVA - NWR"	1.7	14	0	0.0	0.0	0	0.0	0.0	0.0	0.3	0.3	0.0	1.4	0.0		"3rd Solo -- 3 Landings, Short Runway"
"12/28/06"	"PA28-140"	"N4998L"	"HVA - Local"	1.4	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Practice Area Fam. Approach Stalls, Sim Emergency Ldg, S-Turns"
"12/30/06"	"PA28-140"	"N4998L"	"HVA - DTO"	1.7	1	0	0.0	0.0	0	0.0	0.0	0.0	1.7	1.7	0.0	0.0	0.0		"Approach Stalls, S-Turns"
"01/01/07"	"PA28-140"	"N4998L"	"HVA - Local"	1.6	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Approach + Departure Stalls, 720's, Sim Emergency Ldg, S-Turns"
"01/06/07"	"PA28-140"	"N4998L"	"DTO - Local"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	1.1	1.1	0.0	0.0	0.0		"Approach + Departure Stalls, 720's, S-Turns"
"01/26/07"	"PA28-140"	"N4998L"	"HVA - Local"	1.6	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Approach, Departure, Accel Stalls, 720's, Sim Emerg Ldg, S-Turns, TO's, Ldg"
"01/28/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.7	8	0	0.0	0.0	0	0.0	0.0	0.0	1.7	1.7	0.0	0.0	0.0		"Approach, Departure, Accel Stalls, 720's, S-Turns, Short Field TO's, Ldg"
"02/03/07"	"PA28-140"	"N4998L"	"HVA - Local"	1.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Aprch, Dptr, Accel Stalls, 720's, Sim Emr Ldg, S-turns, 8's, Turns About Pt."
"02/17/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.2	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		"Strong X-Wind TO's + Ldg's"
"02/25/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.7	6	0	0.0	0.0	0	0.0	0.0	0.0	1.7	1.7	0.0	0.0	0.0		"Stalls, Steep Turns, S-Turns, Ground Ref Man. TO's Ldg's"
"03/03/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.5	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Sim Emr Ldg, S-turns, 8's, X-wind TO's Ldg's"
"03/11/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.4	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Short Field TO's + LDG's"
"03/18/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.5	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Short Field TO's + LDG's"
"04/03/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.6	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"X-Wind Short field TO's + LDG's"
"04/09/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.6	12	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Short + Soft Field TO's + LDG's"
"04/12/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.6	11	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"X-Wind TO's + LDG's"
"04/19/07"	"PA28-140"	"N4998L"	"DTO - Local"	1.6	4	0	0.0	0.0	0	0.0	0.0	0.0	1.6	1.6	0.0	0.0	0.0		"Stalls, S-Turns, 720's, Turns about pt. TO's + LDG's"
"04/27/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.6	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Short + Soft Field TO's + LDG's"
"04/28/07"	"PA28-140"	"N4998L"	"HVA - AFW"	1.6	9	0	0.0	0.6	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		"Short + Soft Field TO's + LDG's, Basic Act Instru, Full + Part. Panel"
"05/14/07"	"PA28-140"	"N4998L"	"HVA - FTW"	1.5	2	0	0.0	0.5	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Airport Signage Familiarization, Basic Attitude Instruction"
"05/19/07"	"PA28-140"	"N4998L"	"HVA - Bowie"	1.7	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0		"VOR + ADF Familiarization"
"05/20/07"	"PA28-140"	"N4998L"	"HVA - TKI - Rockwall"	1.5	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Airport Hop, Ldg's @ AeroCountry, TKI, Rockwall, Lakeview, HVA"
"05/30/07"	"C172F"	"N7998U"	"IA5 - Local"	1.5	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		"Mountain Flying - Macon Co., Lake Junaluska, Sylva (Jonathan Steen, CFI)"
"07/14/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.0	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		"Take offs, Landings"
"07/15/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.4	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		"Full Review"
"07/21/07"	"PA28-140"	"N4998L"	"HVA - PRX - TYR"	3.2	3	0	0.0	0.0	0	0.0	0.0	3.2	0.0	0.0	0.0	3.2	0.0		"Dual X-C Nav by Pilotage + VOR"
"07/28/07"	"PA28-140"	"N4998L"	"HVA - DTO"	1.5	4	0	0.0	0.0	0	0.0	0.0	0.0	1.5	1.5	0.0	0.0	0.0		"Stalls, Ground Ref Manu. X-wind Ldg."
"07/29/07"	"PA28-140"	"N4998L"	"HVA - PRX"	1.1	1	0	0.0	0.0	0	0.0	0.0	1.1	1.1	1.1	0.0	0.0	0.0		"Solo X-C First Leg, Nav by Pilotage"
