Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Complex	High Perf	Tailwheel	Turbine	Multi Engine	Remarks
"09/19/99"	"PA28-180"	"N44193"	"GSO-GSO"	1.4	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: pre-flight, taxi, runup, effect & use of controls, fundamentals, w/Rob Hess"
"10/03/99"	"PA28-181"	"N75047"	"GSO-MWK-GSO"	1.7	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0						"Private training: review fundamentals, slow flight, s-turns, traffic patterns"
"10/24/99"	"PA28-181"	"N75047"	"GSO-GSO"	1.3	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: steep turns, slow flight, power-off and power-on stalls"
"11/07/99"	"PA28-181"	"N75047"	"GSO-N45-GSO"	1.5	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: ATC comm, turns around point, traffic patterns"
"11/14/99"	"PA28-181"	"N75047"	"GSO-GSO"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0						"Private training: steep turns, s-turns, turns around point, engine emergencies"
"11/21/99"	"PA28-181"	"N75047"	"GSO-N45-GSO"	1.8	5	0	0.3	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0						"Private training: traffic patterns, normal t/o & ldg, Rob shot the ILS back in"
"12/05/99"	"PA28-181"	"N75047"	"GSO-BUY-GSO"	1.4	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: traffic patterns, normal t/o & ldg"
"12/12/99"	"PA28-181"	"N75047"	"GSO-N45-GSO"	1.7	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0						"Private training: normal takeoffs & landings, flare, go-around"
"12/27/99"	"PA28-180"	"N44193"	"GSO-N45-GSO"	1.3	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: crosswind takeoffs & landings"
"01/16/00"	"PA28-181"	"N75047"	"GSO-BUY-GSO"	1.4	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: pattern work, engine out, emergencies"
"02/06/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.6	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	1.0	0.0						"Private training: First solo!"
"02/20/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.5	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: short field ops"
"03/05/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.3	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: short, soft & crosswind t/o & ldg"
"03/31/00"	"PA28-180"	"N44193"	"GSO-78N-GSO"	1.4	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: normal t/o & ldg, patterns, w/Greg Purvis"
"04/20/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.5	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: stalls, slow flight, steep turns, x-wind t/o & ldg"
"04/23/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.5	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: emergency procedures, slips, short field ops"
"05/04/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.7	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	1.1	0.0						"Private training: second supervised solo"
"05/14/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.9	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0						"Private training: First unsupervised solo, parents went out to watch"
"06/09/00"	"PA28-180"	"N44193"	"GSO-78N-GSO"	1.4	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0						"Private training: second unsupervised solo, normal takeoffs & landings"
"06/15/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.4	2	0	0.0	0.8	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: instrument flying, BAI, unusual attitudes"
"06/18/00"	"PA28-181"	"N75047"	"GSO-DAN-GSO"	1.4	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0						"Private training: VOR navigation"
"07/07/00"	"PA28-181"	"N75047"	"GSO-HKY-SVH-GSO"	2.0	3	0	0.0	0.0	0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0						"Private training: cross-country, pilotage, dead reckoning, VOR nav"
"07/17/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.4	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0						"Private training: Third unsupervised solo, landing practice"
"08/07/00"	"PA28-181"	"N75047"	"GSO-IGX-W77-5W8-GSO"	2.3	4	0	0.0	0.0	0	0.0	0.0	2.3	0.0	0.0	0.0	2.3	0.0						"Private training: cross-country, pilotage, dead reckoning, VOR nav, diversion"
"08/14/00"	"PA28-181"	"N75047"	"GSO-HKY-GSO"	2.0	2	0	0.0	0.0	0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0						"Private training: First solo cross-country, class D airspace"
"09/24/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.7	5	0	0.0	0.7	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0						"Private training: pattern entry, x-wind takeoffs & landings, first flight w/Brian Johnson"
"10/07/00"	"PA28-181"	"N75047"	"GSO-RDU-BUY-GSO"	2.8	0	6	0.0	0.0	0	0.0	2.8	2.8	0.0	0.0	0.0	2.8	0.0						"Private training: night emerg, unusual attitudes, go-around, x-wind t/o & ldg"
"10/07/00"	"PA28-181"	"N75047"	"GSO-BUY-GSO"	1.3	0	4	0.0	0.0	0	0.0	1.3	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: night flying procedures, pilotage, takeoffs & landings"
"10/08/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.2	3	0	0.0	0.6	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0						"Private training: instrument navigation, VORs, unusual attitudes, traffic patterns"
"10/29/00"	"PA28-181"	"N75047"	"GSO-BUY-2A5-GSO"	1.5	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: normal & short field ops, ATC procedures, go-around"
"11/22/00"	"PA28-181"	"N75047"	"GSO-78N-GSO"	1.3	4	0	0.0	0.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: normal & soft field ops, navigation, instrument scan"
"11/24/00"	"PA28-181"	"N75047"	"GSO-2A5-3A4-GSO"	1.3	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: short field ops, emerg. procedures, traffic patterns"
"12/13/00"	"PA28-181"	"N75047"	"GSO-W88-GSO"	1.7	4	0	0.0	0.3	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0						"Private training: checkride prep, engine out, steep turn, stalls, short/soft fld ops"
"12/20/00"	"PA28-181"	"N75047"	"GSO-W88-GSO"	1.3	3	0	0.0	0.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0						"Private training: checkride prep, soft field ops, slow flight, engine out, instrument"
"12/21/00"	"PA28-181"	"N75047"	"GSO-2A5-GSO"	1.8	4	0	0.0	0.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0						"Private training: checkride prep, power off stall, steep turns, engine out, instrument"
"12/23/00"	"PA28-181"	"N75047"	"GSO-RWI-MTV-GSO"	3.2	3	0	0.0	0.0	0	0.0	0.0	3.2	0.0	3.2	0.0	0.0	0.0						"Private training: Long solo cross-country"
"12/28/00"	"PA28-181"	"N75047"	"GSO-GSO"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0						"Private training: checkride prep, slow flight, steep turns, ground refs, engine out"
"01/02/01"	"PA28-181"	"N75047"	"GSO-GSO"	1.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0						"Private training: checkride prep, stall series, steep turn, engine failure, turns around a point"
"01/03/01"	"PA28-180"	"N44193"	"GSO-W88-GSO"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0						"Private training: checkride prep, short & soft field ops, class C airspace w/Greg & Brian"
