DATE	TYPE	PLANE	ROUTE	TOTAL	ACTUAL INSTRUMENT	SIMULATED INSTRUMENT	APPROACHES	DAY LANDINGS	NIGHT LANDINGS	DUAL RECEIVED	CROSS COUNTRY	NIGHT	SOLO	PIC	SIC	DUAL GIVEN	REMARKS
5/29/2004	C150	N11358	4I3 - 4I3	0.6				1		0.6							
6/20/2004	C150	N11358	4I3 - 4I3	0.8				1		0.8							
6/26/2004	C150	N11358	4I3 - 4I3	1				1		1							
6/29/2004	C150	N11358	4I3 - 4I3	1.1				1		1.1							
8/17/2004	C150	N11358	4I3 - 4I3	1.4				1		1.4							
8/19/2004	C150	N11358	4I3 - 4I3	0.3				1		0.3							
8/21/2004	C150	N11358	4I3 - 4I3	1.2				6		1.2							
8/24/2004	C150	N11358	4I3 - 4I3	1				5		1							
8/27/2004	C150	N11358	4I3 - 4I3	0.5				2		0.5							
9/5/2004	8KCAB/180	N5036L	6G4 - 6G4	0.6				1		0.6							
9/23/2004	8KCAB/180	N5036L	6G4 - 1OG	0.5				1		0.5							
9/23/2004	C172	N7565G	10G - 10G	1.1				1		1.1							
9/23/2004	8KCAB/180	N5036L	10G - 6G4	0.5				1		0.5							
9/27/2004	8KCAB/180	N5036L	6G4 - 6G4	1				2		1							
9/27/2004	C172	N7565G	10G - 10G	0.9				7		0.9							
9/29/2004	C172	N7565G	10G - 10G	0.8				7		0.8							
9/29/2004	8KCAB/180	N5036L	6G4 - 6G4	1				2		1							
10/5/2004	8KCAB/180	N5036L	6G4 - 6G4	1				2		1							
10/7/2004	8KCAB/180	N5036L	6G4 - 6G4	1				1		1							
11/15/2004	C172	N7565G	6G4 - 6G4	1.8		0.5		5		1.8							
11/23/2004	C172	N7565G	10G - 10G	0.9				5		0.9							
12/2/2004	C172	N7565G	4I3 - 10G	1.4				8		1			0.4	0.4			
12/2/2004	C172	N1773T	10G - 4I3	0.5					1	0.5		0.5					
2/1/2005	C172	N7565G	10G - 10G	1.5				7		1.2			0.3	0.3			
2/2/2005	C172	N7565G	10G - 10G	1.7				6		1.2			0.5	0.5			
3/16/2005	C172	N7565G	10G - 10G	1.1				7		0.6			0.5	0.5			
3/16/2005	C172	N1773T	4I3 - 4I3	1				2		1							
4/15/2005	8KCAB/180	N5036L	4I3 - 10G	0.5				1		0.5							
4/15/2005	C172	N7565G	10G - 10G	1.8				8		1.8							
4/15/2005	8KCAB/180	N5036L	10G - 10G	0.5				1		0.5							
7/13/2005	C150	N66006	GQQ - GQQ	1.3				5		1.3							
7/15/2005	C150	N66006	GQQ - GQQ	1.2		0.8		3		1.2							
7/20/2005	C150	N66006	4I3 - 4I3	2.8				5		2.8	2.8						
7/20/2005	C150	N66006	KMFD - KMFD	0.2				2					0.2	0.2			
7/20/2005	C150	N66006	KMFD - 4I3	0.3		0.3				0.3							
7/21/2005	C150	N66006	4I3 - 4I3	1.9				5		1.9	1.3						
7/22/2005	C150	N66006	GQQ - GQQ	2.7				4			2.7		2.7	2.7			
8/10/2005	C150	N66006	GQQ - GQQ	1.3					8	1.3		1.3					
8/11/2005	C150	N50530	GQQ - GQQ	2		0.8			2	2	2	2					
8/15/2005	C150	N50530	GQQ - GQQ	2.8				4			1		2.8	2.8			
8/16/2005	C150	N50530	GQQ - GQQ	2.4		0.6		3		2.4	2.4						
8/18/2005	C150	N50530	4I3 - 4I3	1.4				5		1.4							
8/18/2005	C150	N50530	4I3 - 4I3	0.6				6					0.6	0.6			
8/22/2005	C150	N66006	GQQ - GQQ	1.9				6			1		1.9	1.9			
8/24/2005	C150	N66006	GQQ - 16G	0.5				1			0.5		0.5	0.5			
8/24/2005	C150	N66006	10G - GQQ	1.8				5						1.8			Private Checkride
9/10/2005	P28A	N780U	UNI - UNI	1.1				2		1.1				1.1			
9/13/2005	P28A	N780U	UNI - UNI	1.3				3		1.3				1.3			
9/15/2005	P28A	N780U	UNI - UNI	0.8				3		0.8				0.8			
9/16/2005	P28A	N72OU	UNI - UNI	1.3		1		3		1.3				1.3			
9/20/2005	P28A	N780U	UNI - UNI	1.3				5					1.3	1.3			
9/21/2005	FRASCA	142	 - 														
9/22/2005	P28A	N72OU	UNI - UNI	1.3				2		1.3				1.3			
9/22/2005	FRASCA	142	 - 														
9/27/2005	P28A	N780U	UNI - UNI	2.8				2		2.8	2.8			2.8			
10/5/2005	C172	N240U	UNI - 4I3	1.2				1			1.2			1.2			
10/5/2005	C172	N240U	4I3 - UNI	1					1		1	1		1			
10/16/2005	C152	N220U	BTL - UNI	2.8				1			2.8			2.8			FT
10/18/2005	P28A	N740U	UNI - UNI	0.8		0.5		1		0.8				0.8			
10/20/2005	P28A	N780U	UNI - UNI	1.1				1		1.1	1.1			1.1			
10/27/2005	P28A	N445DH	UNI - UNI	1.3				2			1.3		1.3	1.3			
11/3/2005	P28A	N780U	UNI - UNI	2				4			2		2	2			
11/8/2005	FRASCA	131	 - 														
11/17/2005	P28A	N730U	UNI - UNI	3.2				2			3.2		3.2	3.2			
11/17/2005	P28A	N730U	UNI - UNI	3					6	3	3	3		3			
11/19/2005	P28A	N780U	UNI - UNI	2.7				2			2.7		2.7	2.7			
11/20/2005	P28A	N740U	UNI - UNI	2.9				2			2.9		2.9	2.9			
1/6/2006	FRASCA	142	 - 														
1/19/2006	P28A	N72OU	UNI - UNI	1.2				3		1.2				1.2			
1/24/2006	P28A	N72OU	UNI - UNI	1.6				3			1.6		1.6	1.6			
1/26/2006	FRASCA	142	 - 														
1/26/2006	P28A	N72OU	UNI - UNI	1.5				2			1.5		1.5	1.5			
1/28/2006	P28A	N72OU	UNI - UNI	0.8				3					0.8	0.8			
2/2/2006	P28A	N740U	UNI - UNI	1.1				1		1.1				1.1			
2/9/2006	P28A	N72OU	UNI - UNI	1.5				2			1.5		1.5	1.5			
2/14/2006	P28A	N72OU	UNI - UNI	1.5				2			1.5		1.5	1.5			
2/19/2006	P28A	N740U	UNI - UNI	3.5				3			3.5		3.5	3.5			
2/23/2006	P28A	N72OU	UNI - UNI	1.5						1.5				1.5			
2/26/2006	P28A	N740U	UNI - UNI	1.6				2			1.6		1.6	1.6			
3/2/2006	FRASCA	142	 - 														
3/4/2006	P28A	N445DH	UNI - UNI	0.9				2					0.9	0.9			
3/5/2006	C152	N1000U	UNI - UNI	0.9				8						0.9			FT
3/7/2006	P28A	N72OU	UNI - UNI	1.2				3		1.2				1.2			
3/15/2006	P28A	N780U	UNI - UNI	2.4					7			2.4	2.4	2.4			
3/27/2006	P28A	N740U	UNI - UNI	1.2				2			1.2		1.2	1.2			
4/2/2006	P28A	N750U	UNI - UNI	1				2		1				1			
4/5/2006	FRASCA	142	 - 														
4/7/2006	FRASCA	131	 - 														
4/9/2006	C172	N230U	UNI - UNI	1.5		1.5		3		1.5				1.5			
4/10/2006	FRASCA	142	 - 				1										
4/15/2006	C172	N230U	UNI - UNI	1.5		1.5	1	1		1.5				1.5			
4/16/2006	P28A	N72OU	UNI - UNI	1.7				2			1.7		1.7	1.7			
4/19/2006	C152	N1000U	UNI - UNI	1.5		1.5		2		1.5				1.5			
4/25/2006	C172	N230U	UNI - UNI	1		1	1	1		1				1			
4/26/2006	P28A	N445DH	UNI - UNI	1.6		1.6	2	1		1.6				1.6			
4/28/2006	P28A-181	N47BN	UNI - UNI	2.3					6			0.7		2.3			
5/3/2006	PA28A	N780U	UNI - UNI	1.2	0.4	0.8	2	1		1.2							
5/4/2006	C152	N1000U	UNI - OSU	1.1							1.1			1.1			FT
5/15/2006	FRASCA	142	 - 				4										
5/17/2006	FRASCA	142	 - 				3										
5/19/2006	FRASCA	142	 - 				4										
5/21/2006	FRASCA	142	 - 				5										
