DATE	MAKE & MODEL	"AIRCRAFT IDENT"	ROUTE OF FLIGHT	DURATION	"LANDINGS DAY"	"LANDINGS NIGHT"	ACTUAL INSTRUMENT	"SIMULATED INSTRUMENT"	"APPROACHES & TYPE"	NIGHT	SIM	X-C	SOLO	PIC	Flight Instruction Recieved
1/20/2007	C-150	N3297J	3OH0-3OH0	1	1										1
3/6/2007	C-150	N3297J	3OH0-3OH0	1.1	1										1.1
3/8/2007	C-150	N3297J	3OH0-3OH0	1.4	2										1.4
3/11/2007	C-150	N3297J	3OH0-3OH0	1.5	2										1.5
3/26/2007	C-150	N3297J	3OH0-3OH0	1.1	1										1.1
3/27/2007	C-150	N3297J	3OH0-3OH0	2.2	7										2.2
5/25/2007	C-150	N3297J	3OH0-3OH0	0.4	1										0.4
7/16/2007	C-150	N3297J	3OH0-3OH0	0.9	2										0.9
7/21/2007	C-150	N3297J	3OH0-I74-3OH0	1.9	6										1.9
8/22/2007	C-150	N3297J	3OH0-I74-3OH0	1.4	6										1.4
8/26/2007	C-150	N3297J	3OH0-3OH0	1	3										1
9/13/2007	C-150	N3297J	3OH0-3OH0	0.8	4										0.8
6/10/2008	C-150	N3297J	3OH0-3OH0	1.4	1										1.4
6/11/2008	C-150	N3297J	3OH0-3OH0	1.6	9										1.6
6/16/2008	C-150	N3297J	3OH0-3OH0	1.3	4										1.3
6/19/2008	C-150	N3297J	3OH0-3OH0	0.9	7										0.9
6/20/2008	C-150	N3297J	3OH0-SGH-3OH0	1.2	5			0.5					0.5	0.5	1.2
7/1/2008	C-150	N3297J	3OH0-3OH0	1.6	4			0.2							1.6
7/9/2008	C-150	N3297J	3OH0-SGH-3OH0	1.4	7										1.4
7/10/2008	C-150	N3297J	3OH0-UNI	1.5	1							1.5			1.5
7/10/2008	C-150	N3297J	UNI-3OH0	1.5	1							1.5			1.5
7/15/2008	C-150	N3297J	3OH0-I74-3OH0	1.4	5										1.4
7/16/2008	C-150	N3297J	3OH0-3OH0	1.2	3								1.2	1.2	
7/17/2008	C-150	N3297J	3OH0-I74-3OH0	1.6	2								1.6	1.6	
7/20/2008	PA-28	N750U	UNI-UNI	1.1	1									1.1	1.1
7/20/2008	FTD	Frasca 142	UNI-UNI						2		1.5				
7/21/2008	PA-28	N750U	UNI-MFD-UNI	2.7	2		1					2.7	2.7	2.7	
7/21/2008	PA-28	N750U	UNI-HTS-UNI	1.8	4		0.3					1.8	1.8	1.8	
7/21/2008	PA-28	N720U	UNI-BKW-UNI	3		6				3		3		3	3
7/23/2008	FTD	Frasca 142	UNI						3		1.5				
7/23/2008	PA-28	N730U	UNI-HTS-UNI	2.5		7				2.5		2.5	2.5	2.5	
7/24/2008	C-150	N3297J	3OH0-3OH0	1.6	4			0.5							1.6
7/24/2008	PA-28	N750U	UNI-ROA-UNI	3.5	2		2					3.5	3.5	3.5	
7/24/2008	PA-28	N750U	UNI-DAY-UNI	2.5	2		0.2					2.5	2.5	2.5	
7/25/2008	C-150	N3297J	3OH0-3OH0	1.2	2								1.2	1.2	
7/27/2008	C-150	N3297J	3OH0-CYO	1.1	1							1.1	1.1	1.1	
7/27/2008	C-150	N3297J	CYO-UNI	0.8	1							0.8	0.8	0.8	
7/27/2008	C-150	N3297J	UNI-3OH0	1.7	1							1.7	1.7	1.7	
7/27/2008	PA-28	N720U	UNI-TDZ-UNI	3.3	2		1.8					3.3	3.3	3.3	
7/28/2008	C-150	N3297J	3OH0-SGH-3OH0	1	4								1	1	
7/29/2008	FTD	Frasca 142	UNI						3		1.5				
8/1/2008	AA5A	N26988	3OH0-DAY-LBO-VBT	6.2	3		3		1			6.2		6.2	
8/2/2008	AA5A	N26988	VBT-VBT	0.4	1									0.4	
8/3/2008	AA5A	N26988	VBT-LXT	1.5	1							1.5		1.5	
8/4/2008	AA5A	N26988	LXT-LXT	0.9	3									0.9	
8/5/2008	AA5A	N26988	LXT-SWO	2	1		0.5					2	2	2	
8/6/2008	AA5A	N26988	SWO-LXT	1.9		1				0.7		1.9	1.9	1.9	
8/7/2008	C-150	N3297J	3OH0-SGH	1	4								1	1	
8/7/2008	C-150	N3297J	SGH-3OH0	0.5	1								0.5	0.5	
8/8/2008	C-150	N3297J	3OH0-5G7	1.2		1				1.2		1.2			1.2
8/8/2008	C-150	N3297J	5G7-3OH0	1.3		1		0.5		1.3		1.3			1.3
8/8/2008	C-150	N3297J	3OH0-SGH-3OH0	0.8		10				0.8					0.8
8/9/2008	AA5A	N26988	LXT-3OH0	4.1	1		0.2					4.1		4.1	
8/11/2008	PA-28	N720U	UNI-RID-UNI	3	2		1					3	3	3	
8/12/2008	C-150	N3297J	3OH0-UYF	0.4	4			0.4				0.4			0.4
8/12/2008	C-150	N3297J	UYF-3OH0	1.6	1			1				1.6			1.6
8/13/2008	PA-28	N780U	UNI-VTA-UNI	1.3	2		0.2					1.3	1.3	1.3	
8/13/2008	PA-28	N780U	UNI-EVV-BMG-UNI	5.9	2	1	1.3			0.3		5.9	5.9	5.9	
8/14/2008	AA5A	N26988	3OH0-ISZ-JAU	2	2							2		2	
8/15/2008	C-150	N3297J	3OH0-5G7	1.1	1							1.1	1.1	1.1	
8/15/2008	C-150	N3297J	5G7-3OH0	1	1							1	1	1	
8/16/2008	AA5A	N26988	JAU-3OH0	2	1							2	2	2	
8/16/2008	AA5A	N26988	3OH0-3OH0	0.2	1									0.2	
8/17/2008	FTD	Frasca 131	UNI						2		1.5				
8/17/2008	PA-28	N445DH	UNI-UNI	1.3	3									1.3	1.3
8/18/2008	C-150	N3297J	3OH0-I74-3OH0	1.2	4								1.2	1.2	
8/18/2008	C-150	N3297J	UNI-UNI	0.3	1								0.3	0.3	
8/19/2008	C-150	N3297J	3OH0-I74-3OH0	1.6	5								1.6	1.6	
8/19/2008	C-150	N3297J	3OH0-UYF-3OH0	1.4	3			0.4				1.4			1.4
8/20/2008	C-150	N3297J	3OH0-5G7	1	1							1	1	1	
8/20/2008	C-150	N3297J	5G7-5G7	1.4	3			0.2						1.4	
8/20/2008	C-150	N3297J	5G7-3OH0	0.7	1							0.7	0.7	0.7	
8/20/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
8/21/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
8/21/2008	PA-28	N750U	UNI-UNI	1	4									1	1
8/22/2008	PA-28	N445DH	UNI-UNI	1.5	5								1.5	1.5	
8/23/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
8/25/2008	PA-28	N730U	UNI-PMH-UNI	1.6	2									1.6	1.6
9/3/2008	C-150	N3297J	3OH0-I74-3OH0	1.3	2									1.3	
9/13/2008	PA-28	N720U	UNI-UNI	0.7	3									0.7	0.7
9/18/2008	PA-28	N750U	UNI-UNI	1.2	1									1.2	1.2
9/20/2008	PA-28	N750U	UNI-UNI	1.2	2			0.5						1.2	1.2
9/23/2008	PA-28	N720U	UNI-UNI	1.4	4			0.5						1.4	1.4
9/25/2008	PA-28	N740U	UNI-UNI	1.1	2								1.1	1.1	
10/3/2008	PA-28	N730U	UNI-UNI	0.7	1								0.7	0.7	
10/7/2008	FTD	Frasca 131	UNI								1				
10/11/2008	PA-28	N730U	UNI-HTS	0.8	1							0.8		0.8	0.8
10/11/2008	PA-28	N730U	HTS-UNI	0.7	1							0.7		0.7	0.7
10/11/2008	FTD	Frasca 142	UNI								1				
10/13/2008	PA-28	N445DH	UNI-DAY	1.1	1							1.1		1.1	1.1
10/13/2008	PA-28	N445DH	DAY-22I-UNI	1.6	2			0.5				1.6		1.6	1.6
10/17/2008	AA5A	N26988	UNI-UNI	0.7	1									0.7	
10/31/2008	PA-28	N720U	UNI-UNI	0.9	1									0.9	0.9
11/4/2008	PA-28	N750U	UNI-22I-UNI	1.3	2									1.3	1.3
11/6/2008	PA-28	N780U	UNI-UNI	1.2	3									1.2	1.2
11/23/2008	AA5A	N26988	3OH0-3OH0	1	4									1	
1/12/2009	PA-28	N445DH	UNI-UNI	0.7	3									0.7	0.7
1/21/2009	PA-28	N740U	UNI-22I-UNI	1	2									1	1
1/23/2009	PA-28	N720U	UNI-HTS-UNI	1.6	2							1.6	1.6	1.6	
1/24/2009	FTD	Frasca 131	UNI								1.5				
1/30/2009	FTD	Frasca 142	UNI						3		1.5				
1/31/2009	PA-28	N760U	UNI-HTS-UNI	1.5	2							1.5	1.5	1.5	
