DATE,AIRCRAFT MAKE & MODEL,AIRCRAFT IDENT,ROUTE OF FLIGHT,DURATION,LANDINGS DAY,INSTRUMENT,SIMULATED INSTRUMENT,NIGHT,SIMULATOR,CROSS COUNTRY,SOLO,PILOT IN COMMAND,DUAL,INSTRUCTOR,FLIGHT COST,EXPENSES,REMARKS
29 May 05,L-23,118BB,3B3,0.4,1,,,,,,,,0.4,,,,Steve Paavola
29 May 05,L-23,118BB,3B3,0.4,1,,,,,,,,0.4,,,,Steve Paavola
11 Jun 05,L-23,373BA,3B3,0.4,1,,,,,,,,0.4,,,,
18 Jun 05,L-23,118BB,3B3,0.2,1,,,,,,,,0.2,,,,
18 Jun 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
10 Jul 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
28 Jul 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
7 Aug 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
7 Aug 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
11 Aug 05,L-23,118BB,3B3,0.1,1,,,,,,,,0.1,,,,
4 Sep 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
4 Sep 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
11 Sep 05,2-33,17899,3B3,0.5,1,,,,,,,,0.5,,,,
11 Sep 05,2-33,17899,3B3,0.3,1,,,,,,,,0.3,,,,
30 Oct 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
6 Nov 05,L-23,118BB,3B3,0.2,1,,,,,,,,0.2,,,,
6 Nov 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
12 Nov 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
12 Nov 05,L-23,118BB,3B3,0.3,1,,,,,,,,0.3,,,,
27 Nov 05,L-23,373BA,3B3,0.2,1,,,,,,,,0.2,,,,Ken Rosenberg
27 Nov 05,L-23,373BA,3B3,0.1,1,,,,,,,,0.1,,,,Ken Rosenberg
28 May 06,L-23,373BA,3B3,0.3,1,,,,,,,,0.3,,,,Steve Paavola
11 Jun 06,L-23,118BB,3B3,0.5,1,,,,,,,,0.5,,,,Gerry Bell
