Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	Multi-engine	ASEL	Day	ASES	Tailwheel	Glider	Glass	Remarks
"09/23/07"	"C172S"	"N775SP"	"ORL-ORL"	1.1	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		1.1	1.1					"Intro flight (A. Veclotch 3070568CFI exp. 5/09)"
"10/05/07"	"C172S"	"N775SP"	"ORL-ORL"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		0.9	0.9					"First lesson, straight and level flight, medium banks, turns to a heading (V. Milushev 3191205CFI exp. 10/08)"
"10/08/07"	"C172S"	"N440FA"	"ORL-ORL"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		1.1	1.1					"straight and level, climbs, descents, turns to a heading (V. Milushev 3191205CFI exp. 10/08)"
"10/15/07"	"C172S"	"N440FA"	"ORL-ORL"	1.1	1	0	0.0	0.5	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		1.1	1.1					"simulated instrument turns, climbs, descents; slow flight and power off stalls (V. Milushev 3191205CFI exp. 10/08)"
"10/16/07"	"C172S"	"N423FT"	"ORL-ORL"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		1.2	1.2					"lesson review, slow flight, stalls, normal landings (V. Milushev 3191205CFI exp. 10/08)"
"10/19/07"	"C172S"	"N826SP"	"ORL-ORL"	0.9	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		0.9	0.9					"S-turns, pattern work (V. Milushev 3191205CFI exp. 10/08)"
"10/25/07"	"C172S"	"N775SP"	"ORL-ORL"	1.5	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		1.5	1.5					"S-turns, turns around a point, slow flight, power off stalls, normal landings (V. Milushev 3191205CFI exp. 10/08)"
"10/26/07"	"C172S"	"N423FT"	"ORL-ORL"	1.2	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		1.2	1.2					"steep turns, power on stalls, emergency procedures, normal landings (V. Milushev 3191205CFI exp. 10/08)"
"11/05/07"	"C172S"	"N775SP"	"ORL-ORL"	1.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		1.5	1.5					"climbs, descents, stalls, slow flight, steep turns, emergency procedures (V. Milushev 3191205CFI exp. 10/08)"
"11/06/07"	"C172S"	"N440FA"	"ORL-ORL"	1.4	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"S-turns, pattern work, normal landings and takeoffs (V. Milushev 3191205CFI exp. 10/08)"
"11/07/07"	"C172S"	"N775SP"	"ORL-ORL"	1.0	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0		1.0	1.0					"traffic pattern work, crosswind takeoffs and landings (V. Milushev 3191205CFI exp. 10/08)"
"11/08/07"	"C172S"	"N777HE"	"ORL-ORL"	1.3	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		1.3	1.3					"traffic pattern work, normal and crosswind landings (V. Milushev 3191205CFI exp. 10/08)"
"11/09/07"	"C172S"	"N775SP"	"ORL-ORL"	1.1	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0		1.1	1.1					"touch and go's and traffic pattern work (V. Milushev 3191205CFI exp. 10/08)"
"11/13/07"	"C172S"	"N775SP"	"ORL-ORL"	1.4	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"traffic pattern work, normal landings and touch n' go's (V. Milushev 3191205CFI exp. 10/08)"
"11/14/07"	"C172S"	"N775SP"	"ORL-ORL"	1.3	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		1.3	1.3					"stalls, slow flight, steep turns, landings (A. Veclotch 3070568CFI exp. 5/09)"
"11/17/07"	"C172S"	"N440FA"	"ORL-ORL"	1.3	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		1.3	1.3					"pattern work and normal landings (V. Milushev 3191205CFI exp. 10/08)"
"11/17/07"	"C172S"	"N777HE"	"ORL-TIX-ORL"	1.4	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"traffic pattern procedures; normal and crosswind landings (V. Milushev 3191205CFI exp. 10/08)"
"11/19/07"	"C172S"	"N440FA"	"ORL-ORL"	1.5	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		1.5	1.5					"steep turns, stalls, emergency procedures, slow flight, normal landings (V. Milushev 3191205CFI exp. 10/08)"
"11/20/07"	"C172P"	"N53065"	"ORL-ORL"	1.5	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		1.5	1.5					"traffic pattern work, normal and soft-field landings (V. Milushev 3191205CFI exp. 10/08)"
"11/21/07"	"C172S"	"N423FT"	"ORL-ORL"	1.6	3	0	0.0	1.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0		1.6	1.6					"secondary stalls, steep turns, slow flight, stalls (all sim instrument) (V. Milushev 3191205CFI exp. 10/08)"
"11/26/07"	"C172S"	"N777HE"	"ORL-ORL"	1.5	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0		1.5	1.5					"steep turns, S-turns, emergency procedures, crosswind landings (V. Milushev 3191205CFI exp. 10/08)"
"11/27/07"	"C172S"	"N423FT"	"ORL-ORL"	1.4	3	0	0.0	0.8	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"VOR tracking and intercepting, climbs, descents (IR), emergency procedures (V. Milushev 3191205CFI exp. 10/08)"
"11/28/07"	"C172S"	"N423FT"	"ORL-ORL"	0.9	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0		0.9	0.9					"crosswind landings, side slip to land, pattern work (V. Milushev 3191205CFI exp. 10/08)"
"11/29/07"	"C172S"	"N423FT"	"ORL-ORL"	0.3	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0		0.3	0.3					"traffic pattern work (V. Milushev 3191205CFI exp. 10/08)"
"11/29/07"	"C172S"	"N423FT"	"ORL-ORL"	0.6	3	0	0.0	0.0	0	0.0	0.0	0.0	0.6	0.6	0.0	0.0	0.0		0.6	0.6					"First solo!!!"
"12/02/07"	"C172S"	"N423FT"	"ORL-ORL"	1.6	0	5	0.0	0.0	0	0.0	1.6	0.0	0.0	0.0	0.0	1.6	0.0		1.6						"intro to night flying, night landings (V. Milushev 3191205CFI exp. 10/08)"
"12/04/07"	"C172S"	"N775SP"	"ORL-ORL"	1.3	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0		1.3	1.3					"crosswind landings, right traffic pattern (runway 25) (V. Milushev 3191205CFI exp. 10/08)"
"12/05/07"	"C172S"	"N423FT"	"ORL-ORL"	0.4	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0		0.4	0.4					"normal touch n' go's and landings (V. Milushev 3191205CFI exp. 10/08)"
"12/05/07"	"C172S"	"N423FT"	"ORL-ORL"	1.0	4	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		1.0	1.0					"Second solo flight, pattern work"
"12/08/07"	"C172S"	"N423FT"	"ORL-ORL"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.9	0.9	0.0	0.0	0.0		0.9	0.9					"Third solo flight, straight and level flight"
"12/09/07"	"C172S"	"N777HE"	"ORL-GNV-ORL"	2.4	4	0	0.0	0.3	0	0.0	0.0	2.4	0.0	0.0	0.0	2.4	0.0		2.4	2.4					"First cross country flight to Gainesville (L. Templeton 3914220CFI exp. 10/09)"
"12/10/07"	"C172S"	"N423FT"	"ORL-ORL"	1.5	0	8	0.0	0.0	0	0.0	1.5	0.0	0.0	0.0	0.0	1.5	0.0		1.5						"night flight, pattern work, night landings (L. Templeton 3914220CFI exp. 10/09)"
"12/18/07"	"C172S"	"N775SP"	"ORL-ORL"	1.4	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"crosswind landings, short and soft field takeoffs and landings (V. Milushev 3191205CFI exp. 10/08)"
"12/19/07"	"C172S"	"N826SP"	"ORL-ORL"	1.4	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0		1.4	1.4					"emergency procedures, slow flight, stalls, shot and soft field landing, traffic pattern (V. Milushev 3191205CFI exp. 10/08)"
"12/23/07"	"C172S"	"N777HE"	"ORL-ORL"	0.8	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0		0.8	0.8					"Right traffic pattern (L. Templeton 3914220CFI exp. 10/09)"
"12/24/07"	"C172S"	"N775SP"	"ORL-OCF-GNV-ORL"	2.6	5	0	0.0	0.0	0	0.0	0.0	2.6	0.0	0.0	0.0	2.6	0.0		2.6	2.6					"dual xc, pilotage and dead reckoning, enroute procedures (V. Milushev 3191205CFI exp. 10/08)"
"12/25/07"	"C172S"	"N775SP"	"ORL-OCF-LEE-ORL"	1.9	5	0	0.0	0.0	0	0.0	0.0	1.9	0.0	0.0	0.0	1.9	0.0		1.9	1.9					"dual cross country (L. Templeton 3914220CFI exp. 10/09)"
"12/29/07"	"C172S"	"N423FT"	"ORL-ORL"	2.3	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.0		2.3	2.3					"traffic pattern, touch and go's, go arounds, takeoffs and landings (J. Triola 2715585CFI exp. 7/09)"
"12/30/07"	"C172S"	"N777HE"	"ORL-ORL"	1.8	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0		1.8	1.8					"traffic pattern, touch and go's, takeoffs/landings, steep turns, G.R.M., go arounds (J. Triola 2715585CFI exp. 7/09)"
"01/02/08"	"C172S"	"N440FA"	"ORL-ORL"	2.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0		2.0	2.0					"touch and go's, gusty wind crosswind landings, slow fight, steep turns, stalls (J. Triola 2715585CFI exp. 7/09)"
"01/05/08"	"C172S"	"N440FA"	"ORL-SGJ-ORL"	2.2	0	2	0.0	0.0	0	0.0	2.2	2.2	0.0	0.0	0.0	2.2	0.0		2.2						"Night cross country (L. Templeton 3194220CFI exp. 10/09)"
"01/06/08"	"C172S"	"N775SP"	"ORL-OCF-GNV-ORL"	3.0	3	0	0.0	0.0	0	0.0	0.0	3.0	3.0	3.0	0.0	0.0	0.0		3.0	3.0					"first solo cross country"
"01/07/08"	"C172S"	"N777HE"	"ORL-ORL"	1.7	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0		1.7	1.7					"short and soft field landings, emergency procedures, steep turns, power on stalls (V. Milushev 3191205CFI exp. 10/08)"
"01/09/08"	"C172S"	"N440FA"	"ORL-ORL"	1.0	4	0	0.0	0.0	0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0		1.0	1.0					"solo traffic pattern, touch and go's, takeoffs and landings"
"01/11/08"	"C172S"	"N423FT"	"ORL-ORL"	1.2	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0		1.2	1.2					"traffic pattern work, soft and short field landings, crosswind landings (V. Milushev 3191205CFI exp. 10/08)"
