date	aircraft	plane	Route	remarks	App.	Land	solo	ASEL	AMEL	Airplane complx	Cross Country	Night	Actual Instrument	Simulated Instrument	Dual Received	PIC	Total Duration of flight
12/5/08	C172 SP	N65795	OEJN-OERB-OEJN			3		2.9			2.9				2.9		2.9
12/13/08	C172 SP	N65795	OEJN-OEJN	 	1	1		2.1							2.1		2.1
12/15/08	C172 SP	N1265E	OERB-OEJN		1	1		1.3			1.3	1.3			1.3		1.3
12/18/08	C172 SP	N65795	OEJN-OERB-OEJN			7		3			3				3		3
12/19/08	C172 SP	N65795	OEJN-OERB-OEJN			1		1			1				1		1
12/28/08	C172 SP	N65795	OEJN-OERB-OEJN			6		2.7			2.7	0.8			2.7		2.7
1/2/09	C172 SP	N65795	OEJN-OERB-OEJN			4		1.3			1.3	0.7			1.3		1.3
1/6/09	C172 SP	N22465	OEJN-OERB-OEJN			6		3.5			3.5				3.5		3.5
1/9/09	C172 SP	N1265E	OEJN-OERB-OEJN			6		2.8			2.8				2.8		2.8
1/16/09	C172 SP	N22465	OEJN-OERB-OEJN			8		2.8			2.8	0.8			2.8		2.8
1/20/09	C172 SP	N22465	OEJN-OEJN			1		1.9							1.9		1.9
1/26/09	C172 SP	N1265E	OEJN-OERB-OEJN		1	9	0.7	3			3	1			2.3	0.7	3
1/27/09	C172 SP	N1130T	OEJN-OEYN-OEJN		2	8		3.8			3.8	3		2	3.8		3.8
2/2/09	C172 SP	N65795	OERB-OEJN		1	8	1.3	2.7			2.7	1.2		1.2	1.4	1.3	2.7
2/4/09	C172 SP	N1265E	OERB-OERB			2	0.6	0.6								0.6	0.6
2/5/09	C172 SP	N1130T	OERB-OERB			2	0.5	0.5								0.5	0.5
2/5/09	C172 SP	N65795	OERB-OERB			1	0.5	0.5								0.5	0.5
2/5/09	C172 SP	N22465	OERB-OEYN-OERB		1	2		2.5			2.5				2.5		2.5
2/6/09	C172 SP	N22465	OERB-OERB			2	1.1	1.1								1.1	1.1
2/13/09	C172 SP	N22465	OEJN-OERB-OEJN			5	2.7	2.7			2.7					2.7	2.7
2/16/09	C172 SP	N22465	OERB-OEYN-OERB		1	2	2.7	2.7			2.7					2.7	2.7
