Date	Aircraft Type	Aircraft Ident	Route of Flight	Time in Flight	Day Landings	Night Landings	Instrument	Simulated Instrument	Approaches	Simulator	Night	Cross Country	Solo	Pilot in Command	Second in Command	Dual	As Instructor	T.W.	Complex	Remarks
"02/26/04"	"C172L"	"N5PT"	"BAF - BAF"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0			"preflight, cockpit, checklist, taxi, runup, 4 fundamentals"
"03/07/04"	"C172L"	"N5PT"	"BAF-BAF"	0.7	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0			"constant a/s, climbs, descents, gliding trns, turns to hdgs"
"03/10/04"	"C172L"	"N5PT"	"BAF-BAF"	0.9	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0			"Intro to pwr off stalls, intro VOR, rectangular course"
"03/11/04"	"C172L"	"N5PT"	"BAF-BAF"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"Rectangular course, teardrops, x-wind t/o, x-wind lgd demo"
"03/18/04"	"C172L"	"N5PT"	"BAF-BAF"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0			"Turns to hdgs, x-wind t/o rwy15, slow flight @ 70-90"
"03/19/04"	"C172L"	"N5PT"	"BAF-BAF"	0.5	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0			"Extend d.wind 02 for 2 mile final, twr visit"
"03/24/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Power on stalls, MCA, review app. to ldg. stalls"
"03/25/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Intro to slips & go-around, steep turns L&R, wind 220@12K"
"04/16/04"	"C172L"	"N5PT"	"BAF-0B5-BAF"	1.9	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0			"touch&goes rwy 33 wind v 8K, x-c pilotage, hood, SEF, Steep 360s, VOR Nav"
"04/22/04"	"C172L"	"N5PT"	"BAF-BAF"	0.8	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0			"t/o rwy 15 wind 160@5, VOR orientation & tracking. Shelby along for ride!!"
"04/29/04"	"C172L"	"N5PT"	"BAF-BAF"	1.2	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"Intro turns around a point, VOR tracking, Wind 200@20K"
"04/30/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	1	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Intro forced landing procedures, wind 200@6, DW take-off"
"05/05/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"Review SEF, MCA app to ldg skill, stop&goes 20 L&R traffic, slips"
"05/16/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	1	0	0.0	0.4	0	0.0	0.0	1.0	0.0	0.0	0.0	1.1	0.0			"TAP L&R, Steep 360 L&R, review MCA app to ldg stalls"
"05/20/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"Forced ldg. procedure, MCA, app to ldg stalls"
"05/27/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"app. to ldg stalls left & right turns, MCA w/distractions"
"06/07/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Departure stalls, app. to ldg stalls, Flight Following, VOR orientation"
"06/12/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"app. to ldg stalls, MCA, Flight Following, T&Gs 02 wind 090 8-10K"
"06/13/04"	"C172L"	"N5PT"	"BAF-BAF"	0.9	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0			"Low Pass option approach, S&Gs 20 wind 180 6K"
"06/14/04"	"C172L"	"N5PT"	"BAF-BAF"	0.7	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0			"Low Pass, wind 200@6, S&Gs 20, Nice!"
"06/17/04"	"C172L"	"N5PT"	"BAF-7B2-BAF"	1.8	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0			"S&Gs 14, right base 33, nice flying!"
"06/24/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	6	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Wind 170-210 15K, TAP, X-wind ldgs 15 (option 20) dicey!"
"06/25/04"	"C172L"	"N5PT"	"BAF-BAF"	0.8	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0			"5 Unassisted T&Gs 20 wind 200 8K Felt good!!"
"07/09/04"	"C172L"	"N5PT"	"BAF-BAF"	0.9	1	0	0.0	0.2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0			"Steep 360s, hood S&L descending turn, VOR tracking, MCA, app to ldg stalls"
"07/16/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Flight Following, Forced Landing review, steep 360s, app. to ldg stalls"
"07/21/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	7	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"touch & goes, 20 thermal activity"
"07/22/04"	"C172L"	"N5PT"	"BAF-BAF"	1.2	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"L&R traffic, slips, SEF, power off ldgs, RW 20 T&Gs, S&Gs"
"07/25/04"	"C172L"	"N5PT"	"BAF-BAF"	1.1	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0			"Go around, Full flap-no flap-short app, T&Gs 02 wind 040 9K"
"07/29/04"	"C172L"	"N5PT"	"BAF-7B2-BAF"	1.7	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0			"no altimeter, no a/s, go around, Dwnd ldg, BAF 20, recovery from bounced ldg"
"07/30/04"	"C172L"	"N5PT"	"BAF-BAF"	0.6	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0			"preparation for solo, wind calm rwy 33, wrong med form (damn!)"
"08/05/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"Downwind ldg 15, go around Rwy 33, OK to solo, S&Gs 02 wind 050@8"
"08/05/04"	"C172L"	"N5PT"	"BAF-BAF"	0.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0			"Left traffic 02, 1st SOLO!! 1st was the best, dropped in the other 2  :-)"
"08/06/04"	"C172L"	"N5PT"	"BAF-BAF"	1.2	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"recovery from bounced landing, S&Gs 02 wind 350v030 8K"
"08/09/04"	"C172L"	"N5PT"	"BAF-DDH-BAF"	1.6	2	0	0.0	0.0	0	0.0	0.0	1.6	0.0	0.0	0.0	1.6	0.0			"Pilotage, lost procedures, DME, x-c procedure traffic ptn entry & exit"
"08/17/04"	"C172L"	"N5PT"	"BAF-BAF"	0.6	4	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0			"Intro to short and soft field t/o. 2nd supervised solo"
"08/17/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			"solo patter left traffic 33, winds calm"
"08/26/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	9	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0			"Downwind ldgs 33, minimum flap, x-wind ldg 15, transition 20"
"09/02/04"	"C172L"	"N5PT"	"BAF-WST-BAF"	2.1	2	0	0.0	0.0	0	0.0	0.0	2.1	0.0	0.0	0.0	2.1	0.0			"Flight Following, VOR tracking, Pilotage, go around, Nice Flight!"
"09/05/04"	"C172L"	"N5PT"	"BAF-BAF"	1.4	3	0	0.0	0.4	0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0			"review practice area, steep 360s, Hood, SEL, UA, Navigation, x-wind ldgs"
"09/06/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"Wind 130v180@5-8K, T&Gs 15 r.trfc, go-around"
"09/13/04"	"C172L"	"N5PT"	"BAF-BAF"	0.4	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0			"No flap landing, short approach, supervised solo, nice job!"
"09/13/04"	"C172L"	"N5PT"	"BAF-BAF"	0.6	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0			"Solo traffic, 02 5 S&Gs, wind var 5-7K, felt solid"
"09/15/04"	"C172L"	"N5PT"	"BAF-BAF"	1.3	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0			"1st solo to practice area, TAP, rav wind, some pattern work"
"09/16/04"	"C172L"	"N5PT"	"BAF-4B9-BAF"	1.8	8	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0			"Simsbury, Flew over home!, 5 BAF, Short field t/o & landings"
"09/19/04"	"C172L"	"N5PT"	"BAF-POU-BAF"	2.0	2	0	0.0	0.0	0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0			"X-wind ldg 33 wind 050 20+K, x-c ops, VOR cross check & tracking"
"09/22/04"	"C172L"	"N5PT"	"BAF-BAF"	1.6	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0			"Pattern work, calm, TAP, steep turns & approach stalls"
"09/23/04"	"C172L"	"N5PT"	"BAF-NY1-BAF"	2.0	7	0	0.0	0.0	0	0.0	0.0	1.2	0.0	0.0	0.0	2.0	0.0			"Soft field t/o & ldg Kline Kill, x-wind 15/33, Nice Flying!"
"09/29/04"	"C172L"	"N5PT"	"BAF-BAF"	0.7	5	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0			"calm winds, rwy 20, T&Gs"
"09/30/04"	"C172L"	"N5PT"	"BAF-BAF"	1.0	2	0	0.0	0.3	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0			"steep 720s, SEF, Hood UA, App to ldg & Dep stalls, slow flight"
"10/03/04"	"C172L"	"N5PT"	"BAF-GFL-BAF"	2.4	2	0	0.0	0.0	0	0.0	0.0	2.4	0.0	2.4	0.0	0.0	0.0			"1st x-c solo, to Glens Falls, calm clear, another day to remember!"
"10/07/04"	"C172L"	"N5PT"	"0B5-VSF-BAF"	1.7	2	0	0.0	0.0	0	0.0	0.0	1.7	0.0	1.7	0.0	0.0	0.0			"Solo XC Turners Falls to Springfield, VT, CAVU"
"10/07/04"	"7ECA"	"N5235X"	"BAF-0B5-BAF"	0.7	10	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0			"Intro to tailwheel, Spin awareness & recovery"
"10/13/04"	"C172L"	"N5PT"	"BAF-LEB-5B2-BAF"	3.4	3	0	0.0	0.0	0	0.0	0.0	3.4	0.0	3.4	0.0	0.0	0.0			"Long x/c, perfectly clear & calm, cruised 6500', Excelleng flight planning. Amazing!"
"10/14/04"	"C172L"	"N5PT"	"BAF-7B9-BAF"	1.2	3	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0			"Flight Following Ellington, Short field operations"
"10/14/04"	"C172L"	"N5PT"	"BAF-BAF"	0.3	2	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0			"2 S&Gs"
