Date	Type	Plane	Route	Day Landings	Night Landings	Approaches	Night	Simulated Instrument	Actual Instrument	Cross Country	Dual Received	Solo	Total
04/02/1993	C-152	5085B	ANE-ANE	1							0.6		0.6
04/10/1993	C-152	24766	ANE-ANE	1							0.9		0.9
08/05/1993	C-152	48972	ANE-ANE	1							1.1		1.1
08/05/1994	C-152	48972	ANE-ANE	3							0.9		0.9
10/21/1994	C-152	48972	ANE-OEO-ANE	2							1.0		1.0
06/08/1997	C-152	9439U	ANE-ANE								0.6		0.6
06/13/2007	C-172	5200H	25D-25D								1.4		1.4
06/20/2007	C-172	5200H	25D-25D								0.7		0.7
07/11/2007	C-172	5200H	25D-25D								1.5		1.5
07/17/2007	C-172	5200H	25D-25D	2							1.8		1.8
07/28/2007	C-172	5200H	25D-25D	7							1.6		1.6
08/02/2007	C-172	5200H	25D-21D-25D	4							1.5		1.5
08/10/2007	C-172	5200H	25D-25D	5							1.1		1.1
08/15/2007	C-172	5200H	25D-OEO-25D	7							1.2		1.2
08/22/2007	C-172	5200H	25D-25D	8							1.3		1.3
08/29/2007	C-172	5200H	25D-ANE-25D	4				0.6			1.6		1.6
09/05/2007	C-172	5200H	25D-21D-25D	4				0.3			1.2		1.2
09/12/2007	C-172	5200H	25D-25D	5	1		0.5	0.9			1.7		1.7
09/15/2007	C-172	5200H	25D-ANE-25D	11							2.0		2.0
09/19/2007	C-172	5200H	25D-25D	3							0.5	0.3	0.8
09/26/2007	C-172	5200H	25D-25D	3								0.4	0.4
09/28/2007	C-172	5200H	25D-25D	6								1.6	1.6
10/13/2007	C-172	5200H	25D-ANE-25D	8							1.1	0.8	1.9
10/23/2007	C-172	5200H	25D-MGG-25D	2							1.5		1.5
10/24/2007	C-172	5200H	25D-ANE-STP-21D-25D		9		2.2				2.2		2.2
11/03/2007	C-172	5200H	25D-LXL-STC-25D	3						2.5	2.5		2.5
11/11/2007	C-172	5200H	25D-ANE-25D	5								1.7	1.7
11/27/2007	C-172	5200H	25D-EAU-SSQ-25D	3						2.5		2.5	2.5
11/27/2007	C-172	5200H	25D-25D		1		1.0					1.0	1.0
12/03/2007	C-172	5200H	25D-RGK-OWA-ANE-25D		4		2.8			2.8	2.8		2.8
12/08/2007	C-172	5200H	25D-STC-25D	2		1		1.9			2.1		2.1
12/12/2007	C-172	5200H	25D-DLH-04W-25D	1	2		2.0			3.0		3.0	3.0
01/04/2008	C-172	5200H	25D-ANE-21D-25D		7		2.0					2.0	2.0
01/08/2008	C-172	5200H	25D-STC-25D		2		1.6					1.6	1.6
01/12/2008	C-172	5200H	25D-CBG-PNM-25D	4								2.2	2.2
01/14/2008	C-172	5200H	25D-25D		1		1.8				1.8		1.8
01/17/2008	C-172	5200H	25D-ANE-25D		2		2.2				2.2		2.2
01/24/2008	C-172	5200H	25D-OEO-25D		3		1.0					1.5	1.5
01/26/2008	C-172	5200H	25D-ANE-25D	2		1			1.0			1.7	1.7
02/07/2008	C-172	5200H	25D-25D		1		0.3					0.3	0.3
02/21/2008	C-172	5200H	25D-CBG-ROS-25D		4		1.5					1.5	1.5
02/22/2008	C-172	5200H	25D-ANE-PNM-25D	4								1.2	1.2
02/22/2008	C-172	5200H	25D-25D		4		0.6				0.6		0.6
03/04/2008	C-172	5200H	25D-RNH-25D		2		1.4				1.6		1.6
03/09/2008	C-172	5200H	25D-MGG-MIC-25D	3								2.0	2.0
03/14/2008	C-172	5200H	25D-RNH-25D	3								1.6	1.6
03/15/2008	PA-28	3015D	ANE-ANE									0.4	0.4
03/16/2008	C-172	5200H	25D-21D-25D	2								1.0	1.0
04/12/2008	Elite	1234	ANE-ANE					1.0			1.0		
04/17/2008	C-172	5200H	25D-25D	1								1.5	1.5
04/27/2008	C-172	5200H	25D-DLH-25D	4						2.3		4.3	4.3
