Date	Type	Plane	Route	Day Landings	Night Landings	Approaches	Night	Simulated Instrument	Actual Instrument	Cross Country	Dual Received	PIC	Total
07/23/2008	BE-36	364BS	OEO-FCM-MLI-OEI		1		1.1			3.8	3.8	3.8	3.8
07/31/2008	RV-7A	137RV	OSH-OSH									0.6	0.6
08/07/2008	C-152	5085B	OEO-OEO	1				0.8			1.0	1.0	1.0
08/11/2008	AA-5A	26086	ANE-ANE									0.6	0.6
08/16/2008	C-152	5085B	OEO-SYN-FCM-25D-OEO	4						2.2		2.2	2.2
08/17/2008	C-152	5085B	OEO-OEO	1		2		0.9			1.1	1.1	1.1
08/21/2008	C-152	5085B	OEO-EAU-OEO	2						1.9		1.9	1.9
08/25/2008	C-172	21956	21D-OEO-RNH-21D	1	2		0.9					1.4	1.4
08/29/2008	PA-28	43044	ANE-ANE									0.2	0.2
09/03/2008	BE-23	6080N	OEO-EAU-OEO	1	1		0.8			1.7		1.7	1.7
09/06/2008	PA-28	43044	ANE-CBG-ANE	1								1.0	1.0
09/17/2008	C-152	5085B	OEO-ANE-25D-OEO		3		0.9					0.9	0.9
09/20/2008	BE-23	6080N	OEO-OEO	1								0.8	0.8
10/04/2008	C-152	5085B	OEO-DLH-4R5-DLH	3						2.9		2.9	2.9
10/05/2008	C-152	5085B	DLH-OEO	1						1.3		1.3	1.3
10/16/2008	C-152	5085B	OEO-DLH-OEO		2		1.3			2.3		2.3	2.3
10/29/2008	PA-28R	57RR	ANE-ANE									1.0	1.0
11/01/2008	C172	6770A	ANE-25D-OEO-25D-ANE	1								0.3	0.3
11/02/2008	BE-23	6080N	OEO-OWA-OEO	2						2.1		2.1	2.1
11/21/2208	BE-23	6080N	OEO-ROS-ANE-DLH-ANE-OEO	3	2		1.8			3.8		3.8	3.8
11/27/2008	BE-23	6080N	OEO-OEO	1								1.0	1.0
11/29/2008	BE-23	364BS	ANE-LSE-ANE	1						1.0		1.0	1.0
12/04/2008	BE-23	6080N	OEO-ANE-OEO		4		0.7					0.7	0.7
12/28/2008	BE-23	6080N	OEO-DLH-OEO	1	1		1.0			2.3		2.3	2.3
01/16/2009	C-172	8508B	RDU-TYS				1.2	2.5				2.5	2.5
01/16/2009	C-172	8508B	TYS-DYR		1		2.8	2.5		2.8		2.8	2.8
01/17/2009	C-172	8508B	XNA-ELK	1				2.5		2.7		2.7	2.7
01/17/2009	C-172	8508B	ELK-TCC	1				1.9		2.1		2.1	2.1
01/18/2009	C-172	8508B	SOW-TRM	1		1		2.7		2.8		2.8	2.8
01/18/2009	C-172	8508B	TRM-MCC	1		2		3.6		3.8		3.8	3.8
02/07/2009	C-152	5085B	OEO-ANE-OEO	3								1.2	1.2
02/08/2009	BE-36	364BS	FCM-BRD-SUW-FCM	2	1	2	1.2			3.1	3.1	3.1	3.1
02/08/2009	C-152	5085B	OEO-FCM-OEO	1	1		0.7					1.5	1.5
02/15/2009	BE-36	364BS	FCM-ANE-FCM	2		3		1.5			2.0	2.0	2.0
02/21/2009	C-152	5085B	OEO-OEO	1								1.3	1.3
03/02/2009	BE-36	364BS	ANE-RST-ANE	1						0.9	0.9	0.9	0.9
03/07/2009	C-152	5085B	OEO-OEO		4		2.1					2.1	2.1
03/14/2009	C-152	5085B	OEO-LSE-ANE-ANE-OEO	2	2		0.9			3.2		4.1	4.1
03/18/2009	BE-23	6080N	OEO-ANE-ANE-OEO	3								2.4	2.4
04/07/2009	C-152	5085B	OEO-25D-ANE-OEO	2	1		0.3					1.3	1.3
04/09/2009	C-152	5085B	OEO-EAU-SSQ-OEO	3						2.3		2.3	2.3
04/11/2009	C-152	5085B	OEO-EAU-OEO	2						1.6		1.6	1.6
04/19/2009	BE-36	364BS	FCM-CPS-FCM	2		1		1.3	3.3	6.1	6.1	6.1	6.1
05/05/2009	C-152	5085B	OEO-04W-OEO	2								1.5	1.5
05/07/2009	C-152	5085B	OEO-OEO	1								1.3	1.3
05/09/2009	C-152	5085B	OEO-OEO		4		1.3					1.3	1.3
05/17/2009	BE-36	364BS	FCM-ANE-GPZ-DLH-ANE-FCM	5		1		3.2		4.1	4.1	4.1	4.1
05/22/2009	C-152	5085B	OEO-ANE-GPZ	2						1.9		1.9	1.9
05/23/2009	C-152	5085B	GPZ-9Y0-GPZ	2								1.1	1.1
05/23/2009	C-152	5085B	GPZ-9Y0-GPZ	2								1.1	1.2
05/24/2009	C-152	5085B	GPZ-OEO	1						1.6		1.6	1.6
06/01/2009	BE-23	6080N	OEO-LVN-LVN-LVN-OEO	4								3.0	3.0
06/02/2009	BE-36	364BS	FCM-FSD-AEL-FCM	2	1	3	0.8	3.3		3.5	3.5	3.5	3.5
06/08/2009	C-152	5085B	OEO-OEO		1	3	0.5	0.5	1.2		2.1	2.1	2.1
06/14/2009	C-152	5085B	OEO-STP-EAU-STP-ANE-OEO	3	1		0.5			2.3		2.3	2.3
06/20/2009	C-23	839KT	ANE-ANE									0.2	0.2
06/26/2009	C-182	956WM	APF-PGD-X14-APF	3								2.1	2.1
06/26/2009	C-182	956WM	APF-EYW-APF	2						2.7		2.7	2.7
07/12/2009	C-152	5085B	OEO-ANE-DLH-TWM-DLH-ANE-OEO	6						4.6		4.6	4.6
08/11/2009	C-172	79567	ANE-ANE	3							1.1	1.1	1.1
