Date	Plane	Type	Route	Total	PIC	Solo	SIC	Dual Received	Dual Given	Actual Instrument	Simulated Instrument	Approaches	Night	Cross Country	Day Landings	Night Landings	Remarks				
07/02/03	9615T	PA-38-112	TPF-TPF	0.5				0.5									"Preflight, certificates, documents, checklists"				
07/10/03	9754T	PA-38-112	TPF-TPF	0.8				0.8							1		"Taxiing, takeoff, level off, cruise, descent turns"				
07/16/03	2316K	PA-38-112	TPF-TPF	0.9				0.9							1		"Slow flight, power off/on stalls"				
07/23/03	9754T	PA-38-112	TPF-TPF	0.9				0.9			0.3				1		"Power off/on stalls, ground ref., steep turns"				
07/28/03	9615T	PA-38-112	TPF-TPF	1				1							1		"Ground reference mnh, turns around a point, s-turns"				
08/16/03	9754T	PA-38-112	TPF-TPF	0.9				0.9							2		"Slips, emergency descents, engine failures"				
08/23/03	9615T	PA-38-112	TPF-TPF	1				1			0.2				6		"Traffic pattern, communications, touch & go's"				
08/30/03	9754T	PA-38-112	TPF-PCM-TPF	1.1				1.1							5		Touch & go's				
09/13/03	2316K	PA-38-112	TPF-LAL-TPF	1.1				1.1							5		"class D comm procedures, VOR nav tracking"				
09/20/03	9754T	PA-38-112	TPF-TPF	1				1							7		touch & go's				
09/27/03	9754T	PA-38-112	TPF-TPF	1.1				1.1							3		Review maneuvers				
10/12/03	9754T	PA-38-112	TPF-VDF-TPF	1				1							8		"Touch and go's, engine failures"				
10/19/03	9754T	PA-38-112	TPF-PIE-SPG-TPF	1.1				1.1							5		"Touch and go's, Class B"				
11/01/03	2316K	PA-38-112	TPF-TPF	1.1	0.3	0.3		0.8							8		"Touch and go's, crosswinds, solo"				
11/08/03	9754T	PA-38-112	TPF-TPF	1.1				1.1							4		"slow flight, stalls, steep turns, review"				
11/16/03	9615T	PA-38-112	TPF-TPF	1.1				1.1							7		short & soft field takeoffs and landings.				
11/22/03	9615T	PA-38-112	TPF-TPF	0.7				0.7							3		x-wind takeoff & landings				
11/30/03	2316K	PA-38-112	TPF-TPF	0.6	0.6	0.6									7		solo touch & go's				
12/13/03	2316K	PA-38-112	TPF-VNC-TPF	1.5				1.5						1.5	2		"x-country procedures, dead-reckoning (Venice)"				
12/20/03	9754T	PA-38-112	TPF-OCF-TPF	2.1				2.1						2.1	2		x-country (Ocala)				
12/24/03	9754T	PA-38-112	TPF-TPF	1.1	1.1	1.1									14		Solo Touch + go's				
12/27/03	9754T	PA-38-112	TPF-ISM-AVO-TPF	2.2				2.2						2.2	4		"x-country (Kissimmee, Avon Park)"				
12/30/03	9754T	PA-38-112	TPF-VDF-TPF	1.2				1.2					1.2			4	"Intro to night operations, mnh at night"				
01/17/04	9754T	PA-38-112	TPF-VNC-TPF	1.9	1.9	1.9								1.9	5		Solo x-country (Venice)				
02/10/04	9754T	PA-38-112	TPF-VDF-TPF	1.2				1.2					1.2			4	Night Operations				
02/21/04	9615T	PA-38-112	TPF-OCF-TPF	2	2	2								2	2		Solo x-country (Ocala)				
03/14/04	9615T	PA-38-112	TPF-ISM-AVO-TPF	3.4	3.4	3.4								3.4	11		"x-country, 3 landings at controlled tower"				
03/28/04	2316K	PA-38-112	TPF-TPF	1	1	1									10		"solo flight, landing practice"				
04/10/04	9754T	PA-38-112	TPF-TPF	0.5				0.5							5		landing practice				
05/01/04	9754T	PA-38-112	TPF-TPF	1.4				1.4			0.5				5		"stalls, steep turns, performance takeoffs"				
05/08/04	9754T	PA-38-112	TPF-TPF	1.7				1.7			1				5		"review all manheuvers, test prep"				
06/07/04	2316K	PA-38-112	TPF-TPF	1.4				1.4			0.5				4		"review all manheuvers, test prep"				
10/19/04	2316K	PA-38-112	TPF-ORL-TPF	1.9				1.9					1.9	1.9		2	night x-country procedures				
10/31/04	2316K	PA-38-112	TPF-TPF	1.1				1.1							3		"private pilot prep: steep turns, slow flight, stalls, ect"				
11/06/04	9615T	PA-38-112	TPF-TPF	1.4				1.4			0.3				4		"private pilot prep: unusual attitudes, goggles"				
11/13/04	2316K	PA-38-112	TPF-TPF	1.1				1.1			0.4				3		private pilot prep: Mock checkride				
12/01/04	2316K	PA-38-112	TPF-TPF	1.2	1.2	1.2									6		Solo private pilot exam prep				
12/04/04	9615T	PA-38-112	TPF-TPF	1.3	1.3						0.3				3		Private Pilot Checkride - Satisfactory				
01/01/05	2316K	PA-38-112	TPF-TPF	0.8	0.8	0.8									3		Area flight				
04/03/05	1009F	C172	TPF-TPF	1.1	1.1			1.1							3		C172 Checkout - Stan Hayes				
05/07/05	738FC	C172	TPF-TPF	0.8	0.8	0.8									1		Area flight				
08/04/05	738NU	C172	TPF-TPF	1.3	1.3	1.3									5		3 FULL STOPS				
09/18/05	2316K	PA-38-112	TPF-TPF	0.5	0.5	0.5									1		Area flight				
10/27/05	925ER	PA-44-180	DAB-DAB	1.3				1.3							1		133M Unit 208 FLT 1				
11/01/05	925ER	PA-44-180	DAB-OMN-DAB	1.7				1.7							3		133M Unit 211 FLT 2				
11/10/05	930ER	PA-44-180	DAB-XFL-DAB	1.4				1.4							3		133M Unit 214 FLT 3				
11/12/05	938ER	PA-44-180	DAB-PIE-DAB	2.2				2.2						2.2	2		133M Unit 216 FLT 4				
11/22/05	939ER	PA-44-180	DAB-XFL-DAB	1.5				1.5			0.1		1.5			2	133M Unit 218 FLT 5				
11/28/05	937ER	PA-44-180	DAB-EVB-DAB	1.8				1.8							3		133M Unit 222 FLT 7				
12/01/05	936ER	PA-44-180	DAB-CHS	2.3				2.3					2.3	2.3		1	133M Unit 220 FLT 6				
12/04/05	936ER	PA-44-180	DAB-DAB	0.8				0.8							1		No Unit - Aircraft problem RTB				
12/06/05	931ER	PA-44-180	DAB-XFL-DAB	2				2							4		133M Unit 224 FLT 8				
12/12/05	931ER	PA-44-180	DAB-OMN-DAB	1.6				1.6			0.1				4		133M Unit 225 FLT 9				
12/16/05	930ER	PA-44-180	DAB-XFL-DAB	1.9	1.9										4		No Unit - Failed checkride				
01/04/06	2316K	PA-38-112	TPF-CDK-TPF	2.4	2.4	2.4								2.4	4		"Cedar Key XC, 3 Full Stop"				
01/10/06	921ER	PA-44-180	DAB-DAB	1	1										1		133M Unit 227 EOF Checkride				
01/20/06	N484ER	C172	DAB-DAB	1.6	1.6			1.6		0.1	1.2		1.6			1	232 U306 FLT 01				
01/27/06	N484ER	C172	DAB-DAB	1.7	1.7			1.7			1.4	1	1.7			1	232 U311 FLT 02				
02/04/06	N430ER	C172	DAB-DAB	1.6	1.6			1.6			1.3		1.6			1	232 U315 FLT 03				
02/08/06	N501ER	C172	DAB-DAB	1.7	1.7			1.7			1.4		1.7			1	232 U319 FLT 04				
02/10/06	N403ER	C172	DAB-MLB-DAB	2.1	2.1			2.1			1.6		2.1	2.1		2	232 U320 FLT 05				
02/27/06	N931ER	PA-44-180	DAB-DAB	2	2			2			1.6	2	2			1	232 U327 FLT 06				
03/05/06	N2316K	PA-38-112	TPF-CHN-BOW-TPF	1.4	1.4	1.4								1.4	3		"Wauchula, Bartow XC, 3 Full Stops"				
03/07/06	N939ER	PA-44-180	DAB-DAB	1.5	1.5			1.5			1.2	2	1.5			1	232 U331 FLT 07				
03/11/06	N925ER	PA-44-180	DAB-DAB	1.8	1.8			1.8			1.4	3			1		232 U334 FLT 08				
04/05/06	N924ER	PA-44-180	DAB-DAB	1.6	1.6			1.6			1.2	3	0.6			1	232 U339 FLT 09				
04/07/06	N934ER	PA-44-180	DAB-CRG-DAB	1.8	1.8			1.8			1.5	2	1.8	1.8		1	232 U341 FLT 11				
04/12/06	N927ER	PA-44-180	DAB-FMY-VRB-DAB	4.3	4.3			4.3		0.7	3.2	3	4.3	4.3		3	232 U340 FLT 10				
04/14/06	N934ER	PA-44-180	DAB-DAB	2.1	2.1			2.1			1.8	2	2.1			1	232 U343 FLT 12				
04/19/06	N929ER	PA-44-180	DAB-DAB	1.4	1.4			1.4			1	2	1.4			1	No Unit				
05/02/06	N928ER	PA-44-180	DAB-DAB	1.7	1.7			1.7			1.4	3			1		232 U346 EOCF 13				
05/19/06	1033A	C172	TPF-TPF	1	1			1							3		Checkout C172 Atlas				
05/19/06	32568	PA-28R-200	TPF-LAL-COI-TPF	2.2	2.2			2.2					1	2.2		3	Night XC to Merrit Island w/ Todd				
05/25/06	2086E	C172	TPF-ZPH-BKV-X39-TPF	1.2	1.2	1.2								1.2	5						
06/15/06	5871L	AA-5	PCM-73J-CRE	4.3	4.3							1		4.3	2		VOR 5 CRE				
06/15/06	5871L	AA-5	CRE-73J-PCM	4.4	4.4	4.4								4.4	2						
06/30/06	32568	PA-28R-200	TPF-LAL-TPF	0.4	0.4			0.4						0.4	1						
06/30/06	1033A	C172	LAL-TPF	0.6	0.6								0.6	0.6		1					
07/04/06	738NU	C172	TPF-TPF	0.6	0.6								0.6			2					
07/06/06	1033A	C172	TPF-TPF	0.9	0.9								0.9			1					
07/20/06	32426	PA-28-180	TPF-LAL	0.5	0.5									0.5	1						
07/23/06	8151Y	SR22	TPF-TPF	0.5	0.5			0.5							1						
07/23/06	1033A	C172	TPF-TPF	0.3	0.3								0.3			3					
08/13/06	1033A	C172	TPF-TPF	0.3	0.3								0.3			4					
08/19/06	564AT	C172	TPF-TPF	0.9	0.9			0.9							2						
08/20/06	32426	PA-28-180	TPF-PCM	0.6	0.6						0.4	2			1		ILS 5 LAL / VOR 28 PCM w/ Safety Pilot				
08/20/06	32426	PA-28-180	PCM-TPF	0.4													As Safety Pilot				
09/08/06	939ER	PA-44-180	DAB-DAB	1.9	1.9			1.9							3						
09/15/06	928ER	PA-44-180	DAB-EVB-DAB	1.6	1.6			1.6							5						
09/22/06	931ER	PA-44-180	DAB-PIE-DAB	2.7	2.7			2.7						2.7	2						
09/28/06	921ER	PA-44-180	DAB-JAX-DAB	3.5	3.5			3.5					3.5	3.5		9					
10/04/06	939ER	PA-44-180	DAM-FMY-MTH-DAB	5.2	5.2			5.2					5.2	5.2		3					
10/13/06	930ER	PA-44-180	DAB-DAB	0.4	0.4			0.4													
10/18/06	928ER	PA-44-180	DAB-XFL-DAB	1.9	1.9			1.9							2						
10/20/06	936ER	PA-44-180	DAB-OMN-DAB	1.6	1.6			1.6							4						
10/25/06	931ER	PA-44-180	DAB-DED-DAB	2	2			2							3						
10/27/06	921ER	PA-44-180	DAB-EVB-DAB	1.7	1.7			1.7							4						
11/08/06	939ER	PA-44-180	DAB-OMN-DAB	1.6	1.6			1.6							3		Commercial TCEF				
11/15/06	429ER	C172	DAB-XFL-DAB	2	2			2							3						
11/17/06	404ER	C172	DAB-EVB-DAB	1.8	1.8			1.8							4						
11/19/06	403ER	C172	DAB-OMN-DAB	1.5	1.5	1.5									3						
11/20/06	422ER	C172	DAB-OMN-DAB	1.8	1.8			1.8							5						
11/24/06	2086E	C172	TPF-TPF	1.3	1.3										10						
11/25/06	406ER	C172	DAB-OMN-DAB	1.8	1.8	1.8									9						
12/01/06	407ER	C172	DAB-XFL-DAB	2.2	2.2			2.2							4						
12/04/06	409ER	C172	DAB-XFL-DAB	2.2	2.2			2.2							3						
12/08/06	428ER	C172	DAB-EVB-DAB	1.6	1.6			1.6							4						
12/14/06	430ER	C172	DAB-EVB-DAB	1.9	1.9										4		Single-Engine Addon TCEF				
12/28/06	2086E	C172	TPF-TPF	1	1								0.5			1					
12/31/06	2086E	C172	TPF-TPF	0.3	0.3	0.3							0.3			2	Full Stop Landings				
12/31/06	2086E	C172	TPF-TPF	1.3	1.3						1.1	3	1.3			1	"ILS 5 LAL, LOC 5 LAL, RNAV 21 TPF-TPF w/ Safety Pilot"				
01/01/07	2086E	C172	TPF-TPF	0.6	0.6												As safety pilot				
01/26/07	464ER	C172	DAB-DAB	1.3	1.3			1.3							2						
01/29/07	6009M	C172	DAB-DAB	1.5	1.5			1.5							1						
02/07/07	249MA	Decathalon	DAB-DAB	1	1			1							1						
02/16/07	24447	C172	DAB-DAB	1.6	1.6			1.6							1						
02/19/07	465ER	C172	DAB-DAB	1.6	1.6			1.6							1						
02/28/07	463ER	C172	DAB-GNV-DAB	2.3	2.3			2.3						2.3	2						
03/09/07	24447	C172	DAB-DAB	1.7	1.7			1.7							1						
03/12/07	470ER	C172	DAB-DAB	1.8	1.8			1.8							1						
03/14/07	1835U	C172	DAB-DAB	1.5	1.5			1.5							1						
04/04/07	454ER	C172	DAB-EVB-DAB	2.1	2.1			2.1					2.1			1					
04/09/07	701ER	PA-28R-200	DAB-EVB-DAB	1.7	1.7			1.7							4						
04/11/07	701ER	PA-28R-200	DAB-DAB	1.5	1.5			1.5							9						
04/16/07	470ER	C172	DAB-DAB	1.4	1.4			1.4							1						
04/18/07	1835U	C172	DAB-DAB	1.7	1.7			1.7							1						
04/22/07	66113	C172	DAB-DAB	1.8	1.8						0.6	2			1		"ILS 7L DAB, VOR A X47"				
04/23/07	962WW	PA-28R-200	DAB-DAB	1.5	1.5			1.5							6						
05/15/07	454ER	C172	DAB-DAB	1.7	1.7										1						
05/20/07	442ER	C172	DAB-EVB-DAB	2	2										5						
05/23/07	446ER	C172	DAB-DAB	1.8	1.8			1.8			0.3				1						
05/24/07	800JA	PA-28R-200	DAB-DAB	1.6	1.6			1.6							5						
05/25/07	1140N	C172	DAB-DAB	2.3	2.3			2.3							1						
05/27/07	684JB	C172	DAB-DAB	1.4	1.4	1.4									1						
06/04/07	435ER	C172	DAB-DAB	1.6	1.6	1.6									1		FA417 Review Solo Flight				
06/04/07	703ER	PA-28R-200	DAB-DAB	1.1	1.1			1.1							4		FA417 Review Flight				
06/05/07	4174B	PA-28R-200	DAB-DAB	0.5	0.5										2		CFI Arrow Checkride (Scott Lavoy)				
06/07/07	452ER	C172	DAB-DAB	1.7	1.7						0.1				1		CFI Cessna Checkride (Carolina Lenz)				
07/08/07	2086E	C172	TPF-TPF	1.1	1.1										5						
07/18/07	453ER	C172	DAB-DAB	1.7	1.7			1.7			1.1		1.7			1					
