"invnum"	"tranid"	"station_code"	"activity_date"	"DATE"	"PLANE"	"TYPE"	"TOTAL"	"PIC"
2015172	826824	"D"	"8/31/2004 13:59:00"	"8/31/2004 16:18:16"	"N245ND"	"PA-28-161"	1.3	
2017823	830085	"D"	"9/7/2004 14:21:00"	"9/7/2004 17:18:04"	"N229ND"	"PA-28-161"	1.7	
2019887	832436	"D"	"9/10/2004 16:17:00"	"9/10/2004 19:08:58"	"N436ND"	"PA-28-161"	1.5	
2022155	835142	"D"	"9/16/2004 18:01:05"	"9/16/2004 18:01:38"	"N272ND"	"PA-28-161"	1.7	
2023911	837244	"D"	"9/21/2004 16:38:28"	"9/21/2004 16:39:33"	"N245ND"	"PA-28-161"	1.8	
2026823	840545	"D"	"9/25/2004 14:10:00"	"9/25/2004 16:43:45"	"N239ND"	"PA-28-161"	1.5	
2028326	842339	"D"	"9/28/2004 14:06:00"	"9/28/2004 16:38:57"	"N266ND"	"PA-28-161"	1.7	
2029378	843587	"D"	"9/30/2004 15:32:13"	"9/30/2004 15:32:30"	"N356ND"	"PA-28-161"	1.3	
2030665	845123	"D"	"10/4/2004 12:56:00"	"10/4/2004 14:45:39"	"N357ND"	"PA-28-161"	1.1	
2031373	845895	"D"	"10/5/2004 08:27:00"	"10/5/2004 11:00:25"	"N244ND"	"PA-28-161"	1.4	
2032207	846876	"D"	"10/6/2004 15:30:31"	"10/6/2004 15:31:36"	"N437ND"	"PA-28-161"	0.7	
2032511	847226	"D"	"10/7/2004 08:05:00"	"10/7/2004 09:56:14"	"N224ND"	"PA-28-161"	0.9	
2034086	849014	"D"	"10/11/2004 09:48:28"	"10/11/2004 09:49:39"	"N358ND"	"PA-28-161"	0.6	
2034088	849017	"D"	"10/11/2004 09:50:01"	"10/11/2004 09:51:35"	"N358ND"	"PA-28-161"	0.5	0.5
2034452	849468	"D"	"10/11/2004 15:01:00"	"10/11/2004 17:02:20"	"N222ND"	"PA-28-161"	1.4	
2034744	849845	"D"	"10/12/2004 11:22:11"	"10/12/2004 11:28:25"	"N271ND"	"PA-28-161"	1.3	
2040620	857031	"D"	"11/1/2004 11:55:00"	"11/1/2004 15:33:08"	"N264ND"	"PA-28-161"	1.6	
2042185	859186	"D"	"11/4/2004 09:32:00"	"11/4/2004 11:38:04"	"N355ND"	"PA-28-161"	1.5	
2043184	860348	"D"	"11/6/2004 12:55:00"	"11/6/2004 12:55:44"	"N355ND"	"PA-28-161"	1.4	
2043295	860472	"D"	"11/6/2004 13:57:00"	"11/6/2004 16:37:57"	"N246ND"	"PA-28-161"	1.5	
2043436	860637	"D"	"11/7/2004 12:51:01"	"11/7/2004 12:51:26"	"N355ND"	"PA-28-161"	1.2	
2043869	861166	"D"	"11/8/2004 15:36:47"	"11/8/2004 15:37:41"	"N356ND"	"PA-28-161"	1.7	
2044175	861528	"D"	"11/9/2004 09:39:00"	"11/9/2004 11:44:08"	"N272ND"	"PA-28-161"	1.4	1.4
2044888	862337	"D"	"11/10/2004 17:41:00"	"11/10/2004 20:12:40"	"N262ND"	"PA-28-161"	1.4	
2045699	863259	"D"	"11/12/2004 17:02:46"	"11/12/2004 17:03:16"	"N262ND"	"PA-28-161"	3.3	
2046606	864346	"D"	"11/15/2004 21:00:09"	"11/15/2004 21:00:23"	"N244ND"	"PA-28-161"	2.9	
