DATE	"AIRCRAFT MAKE & MODEL"	"AIRCRAFT IDENT"	ROUTE OF FLIGHT	DURATION	"LANDINGS DAY"	"LANDINGS NIGHT"	INSTRUMENT	"SIMULATED INSTRUMENT"	"APPROACHES & TYPE"	NIGHT	SIMULATOR	"CROSS COUNTRY"	SOLO	"PILOT IN COMMAND"	DUAL

1/20/2007	C-150	N3297J	3OH0-3OH0	1	1										1
3/6/2007	C-150	N3297J	3OH0-3OH0	1.1	1										1.1
3/8/2007	C-150	N3297J	3OH0-3OH0	1.4	2										1.4
3/11/2007	C-150	N3297J	3OH0-3OH0	1.5	2										1.5
3/26/2007	C-150	N3297J	3OH0-3OH0	1.1	1										1.1
3/27/2007	C-150	N3297J	3OH0-3OH0	2.2	7										2.2
5/25/2007	C-150	N3297J	3OH0-3OH0	0.4	1										0.4
7/16/2007	C-150	N3297J	3OH0-3OH0	0.9	2										0.9
7/21/2007	C-150	N3297J	3OH0-I74-3OH0	1.9	6										1.9
8/22/2007	C-150	N3297J	3OH0-I74-3OH0	1.4	6										1.4
8/26/2007	C-150	N3297J	3OH0-3OH0	1	3										1
9/13/2007	C-150	N3297J	3OH0-3OH0	0.8	4										0.8
6/10/2008	C-150	N3297J	3OH0-3OH0	1.4	1										1.4
6/11/2008	C-150	N3297J	3OH0-3OH0	1.6	9										1.6
6/16/2008	C-150	N3297J	3OH0-3OH0	1.3	4										1.3
6/19/2008	C-150	N3297J	3OH0-3OH0	0.9	7								0.5	0.5	0.9
6/20/2008	C-150	N3297J	3OH0-KSGH-3OH0	1.2	5			0.5							1.2
7/1/2008	C-150	N3297J	3OH0-3OH0	1.6	4			0.2							1.6
7/9/2008	C-150	N3297J	3OH0-KSGH	1.4	7										1.4
7/10/2008	C-150	N3297J	3OH0-KUNI	1.5	1							1.5			1.5
7/10/2008	C-150	N3297J	KUNI-3OH0	1.5	1							1.5			1.5
7/15/2008	C-150	N3297J	3OH0-I74-3OH0	1.4	5										1.4
7/16/2008	C-150	N3297J	3OH0-3OH0	1.2	3								1.2	1.2	
7/17/2008	C-150	N3297J	3OH0-I74-3OH0	1.6	2								1.6	1.6	
7/24/2008	C-150	N3297J	3OH0-3OH0	1.6	4			0.5							1.6
7/25/2008	C-150	N3297J	3OH0-3OH0	1.2	2								1.2	1.2	
7/27/2008	C-150	N3297J	3OH0-KCYO	1.1	1							1.1	1.1	1.1	
7/27/2008	C-150	N3297J	KCYO- KUNI	0.8	1							0.8	0.8	0.8	
7/27/2008	C-150	N3297J	KUNI- 3OH0	1.7	1							1.7	1.7	1.7	
7/28/2008	C-150	N3297J	3OH0-KSGH- 3OH0	1	4								1	1	
8/7/2008	C-150	N3297J	3OH0-KSGH- 3OH0	1.5	5								1.5	1.5	
8/8/2008	C-150	N3297J	3OH0-K5G7	1.2	1		0.5		1.2		1.2			1.2
8/8/2008	C-150	N3297J	K5G7-3OH0	1.3	1				1.3		1.3			1.3
8/8/2008	C-150	N3297J	3OH0-KSGH-3OH0	0.8	10				0.8					0.8
8/12/2008	C-150	N3297J	3OH0-KUYF-3OH0	2	5			1.4				2			2
8/15/2008	C-150	N3297J	3OH0-K5G7-3OH0	2.1	2							2.1	2.1	2.1	
8/18/2008	C-150	N3297J	3OH0-I74-3OH0	1.2	4								1.2	1.2	
8/19/2008	C-150	N3297J	3OH0-I74-3OH0	1.6	5								1.6	1.6	
8/19/2008	C-150	N3297J	3OH0-KUYF-3OH0	1.4	3			0.4				1.4			1.4
8/20/2008	C-150	N3297J	3OH0-K5G7	1	1							1	1	1	
8/20/2008	C-150	N3297J	K5G7-K5G7	1.4	3			0.2						1.4	
8/20/2008	C-150	N3297J	K5G7-3OH0	0.7	1							0.7	0.7	0.7	
8/20/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
8/21/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
8/23/2008	C-150	N3297J	3OH0-I74-3OH0	0.9	2									0.9	
9/3/2008	C-150	N3297J	3OH0-I74-3OH0	1.3	2									1.3	
9/13/2008	PA-28	N720U	KUNI-KUNI	0.7	3									0.7	0.7
9/18/2008	PA-28	N750U	KUNI-KUNI	1.2	1									1.2	1.2
9/20/2008	PA-28	N750U	KUNI-KUNI	1.2	2			0.5						1.2	1.2
9/23/2008	PA-28	N720U	KUNI-KUNI	1.4	4			0.5						1.4	1.4
9/25/2008	PA-28	N740U	KUNI-KUNI	1.1	2								1.1	1.1	
10/3/2008	PA-28	N730U	KUNI-KUNI	0.7	1								0.7	0.7	
10/7/2008	Frasca 131	SIM	KUNI								1				
10/11/2008	PA-28	N730U	KUNI-KHTS-KUNI	1.5	2							1.5		1.5	1.5
10/11/2008	Frasca 142	SIM	KUNI								1				
10/13/2008	PA-28	N445DH	KUNI-KDAY	1.1	1							1.1		1.1	1.1
10/13/2008	PA-28	N445DH	KDAY-K22I-KUNI	1.6	2			0.5				1.6		1.6	1.6
10/17/2008	AA-5A	N26988	KUNI-KUNI	0.7	1									0.7	
10/31/2008	PA-28	N720U	KUNI-KUNI	0.9	1									0.9	0.9
11/4/2008	PA-28	N750U	KUNI-K22I-KUNI	1.3	2									1.3	1.3
11/6/2008	PA-28	N780U	KUNI-KUNI	1.2	3									1.2	1.2
11/23/2008	AA-5A	N26988	3OH0-I74-3OH0	1	4									1	
1/12/2009	PA-28	N445DH	KUNI-KUNI	0.7	3									0.7	0.7
1/21/2009	PA-28	N740U	KUNI-K22I-KUNI	1	2									1	1
1/23/2009	PA-28	N720U	KUNI-KHTS-KUNI	1.6	2							1.6	1.6	1.6	
1/24/2009	Frasca 131	SIM	KUNI								1.5				
1/31/2009	PA-28	N760U	KUNI-KHTS-KUNI	1.5	2							1.5	1.5	1.5	
2/1/2009	PA-28	N760U	KUNI-KDAY	1.6	1							1.6	1.6	1.6	
2/1/2009	PA-28	N760U	KDAY-KUNI	1	1							1	1	1	
2/2/2009	PA-28	N730U	KUNI-KCMH-KUNI	1.2	2							1.2	1.2	1.2	
2/5/2009	PA-28	N445DH	KUNI-KUNI	1	3				1				1	1
2/5/2009	PA-28	N445DH	KUNI-KDAY	1	1				1		1		1	1
2/5/2009	PA-28	N445DH	KDAY-KMGY-KUNI	1		2				1		1		1	1
2/6/2009	PA-28	N720U	KUNI-KDAY-KUNI	2.9	2							2.9	2.9	2.9	
2/8/2009	PA-28	N750U	KUNI-KHTS-KUNI	2.5	6				2.5		2.5	2.5	2.5	
2/9/2009	PA-28	N750U	KUNI-KCRW-KUNI	1.5	2							1.5	1.5	1.5	
2/24/2009	PA-28	N750U	KUNI-KHTS	0.7	1							0.7	0.7	0.7	
2/24/2009	PA-28	N750U	KHTS-KUNI	0.7	1							0.7	0.7	0.7	
2/25/2009	PA-28	N720U	KUNI-KDAY	1.3	1							1.3	1.3	1.3	
2/25/2009	PA-28	N720U	KDAY-KMGY-KUNI	1.6	2							1.6	1.6	1.6	
3/4/2009	PA-28	N730U	KUNI-KHTS-KUNI	1.6	3							1.6	1.6	1.6	
3/9/2009	PA-28	N750U	KUNI-KUNI	1.6	5									1.6	1.6
3/9/2009	PA-28	N750U	KUNI-KUNI	1.1	3									1.1	1.1
3/12/2009	PA-28	N740U	KUNI-KCMH-KUNI	1.5	2							1.5	1.5	1.5	
3/13/2009	PA-28	N720U	KUNI-KMGY	1.4	2							1.4	1.4	1.4	
3/13/2009	PA-28	N720U	KMGY-KUNI	1.4	3							1.4	1.4	1.4	
3/14/2009	PA-28	N445DH	KUNI-KUNI	1.5	3								1.5	1.5	
3/14/2009	PA-28	N750U	KUNI-KUNI	1.5	4									1.5	1.5
3/14/2009	PA-28	N730U	KUNI-KUNI	0.9	3									0.9	0.9
3/20/2009	AA-5A	N26988	3OH0-I74-3OH0	0.6	2									0.6	
3/21/2009	BC-12D	N95282	3OH0-I74-3OH0	2	5										2
3/22/2009	BC-12D	N95282	3OH0-3OH0	1.5	8										1.5
3/23/2009	BC-12D	N95282	3OH0-3OH0	1.3	15									1.3	1.3
4/4/2009	C-150	N3297J	3OH0-KUNI	1.2	1							1.2	1.2	1.2	
4/5/2009	C-152	N1000U	KUNI-KUNI	0.5	3									0.5	
4/8/2009	C-150	N3297J	KUNI-KUNI	0.4	1									0.4	
4/10/2009	C-150	N3297J	KUNI-KUNI	0.6	6									0.6	
4/16/2009	C-150	N3297J	KUNI-KUNI	0.6	6								0.6	0.6	
4/17/2009	C-150	N3297J	KUNI-KUNI	0.6	3								0.4	0.6	
4/19/2009	C-150	N3297J	KUNI-KUNI	0.5	3									0.5	
4/26/2009	C-152	N22OU	KUNI-KUNI	0.7	8								0.7	0.7	
4/27/2009	C-150	N3297J	KUNI-KUNI	0.9	3				0.9				0.9	
5/3/2009	C-152	N1000U	KUNI-KUNI	0.5	4								0.5	0.5	
5/7/2009	PA-28	N730U	KUNI-KBKL-KZZV-KUNI	4	2		2					4			4
5/9/2009	Frasca 142	SIM	KUNI								1				
5/10/2009	C-152	N22OU	KUNI-KUNI	0.4	1									0.4	
5/10/2009	C-150	N3297J	KUNI-KISZ	1.6	1							1.6		1.6	
5/14/2009	PA-28	N720U	KUNI-KGEO-KRSV	3.3	2							3.3		3.3	3.3
5/22/2009	C-152	N22OU	KCPS-KCPS	0.5	1									0.5	
5/24/2009	PA-28	N780U	KBMG-KUNI	2.5	1							2.5		2.5	2.5
6/6/2009	C-150	N3297J	KUNI-KHAO-KUNI	3.4	1	1				1.5		3.4		3.4	
6/6/2009	7-GCAA	N393MA	KHAO-KHAO	1.1	6									1.1	1.1
6/22/2009	C-150	N3297J	KUNI-KUNI	0.6	2									0.6	
6/24/2009	C-150	N3297J	KUNI-KDAY-KUNI	3	2							3	3	3	
7/9/2009	PA-28	N750U	KUNI-KUNI	1.1	1									1.1	1.1
7/10/2009	PA-28	N730U	KUNI-KUNI	1	5								1	1	
7/10/2009	Frasca 142	SIM	KUNI								1				
7/11/2009	PA-28	N720U	KUNI-KCDI-KUNI	2	2							2		2	2
7/20/2009	PA-28	N750U	KUNI-KUNI	1.1	1									1.1	1.1
7/21/2009	PA-28	N750U	KUNI-KMFD-KUNI	2.7	2		1					2.7	2.7	2.7	
7/21/2009	PA-28	N750U	KUNI-KHTS-KUNI	1.8	4		0.3					1.8	1.8	1.8	
7/21/2009	PA-28	N720U	KUNI-KBKW-KUNI	3	6				3		3		3	3
7/23/2009	PA-28	N730U	KUNI-KHTS-KUNI	2.5	7				2.5		2.5	2.5	2.5	
7/24/2009	PA-28	N750U	KUNI-KROA-KUNI	3.5	2		2					3.5	3.5	3.5	
7/24/2009	PA-28	N750U	KUNI-KDAY-KUNI	2.5	2		0.2					2.5	2.5	2.5	
7/27/2009	PA-28	N720U	KUNI-KTDZ-KUNI	3.3	2		1.8					3.3	3.3	3.3	
8/2/2009	AA-5A	N26988	KVBT-KVBT		0.4	1									0.4	
8/3/2009	AA-5A	N26988	KVBT-KLXT	1.5	1							1.5		1.5	
8/4/2009	AA-5A	N26988	KLXT-KLXT	0.9	3									0.9	
8/5/2009	AA-5A	N26988	KLXT-KSWO	2	1		0.5					2	2	2	
8/6/2009	AA-5A	N26988	KSWO-KLXT	1.9	1				0.7		1.9	1.9	1.9	
8/9/2009	AA-5A	N26988	KLXT-3OH0	4.1	1		0.2					4.1		4.1	
8/11/2009	PA-28	N720U	KUNI-KRID-KUNI	3	2		1					3	3	3	
8/13/2009	PA-28	N780U	KUNI-KVTA-KUNI	1.3	2		0.2					1.3	1.3	1.3	
8/13/2009	PA-28	N780U	KUNI-KEVV-KBMG-KUNI	5.9	2	1	1.3			0.3		5.9	5.9	5.9	
8/14/2009	AA-5A	N26988	3OH0-KISZ-KJAU	2	2							2		2	
8/16/2009	AA-5A	N26988	KJAU-3OH0	2	1							2	2	2	
8/16/2009	AA-5A	N26988	3OH0-3OH0	0.2	1									0.2	
