Date	Registration	Type	Route	Total	PIC	Solo	SIC	Night	Dual Received	Dual Given	Cross Country	Actual Instrument	Simulated Instrument	Night Landings	Day Landings	Sim	Approaches	Person	Remarks	Flying
2009-08-21	CRJ2	CRJ-200	KPLN KDTW	0.7	0.7			0.7			0.7	0.7			1		1		http://www.vataware.com/flight.cfm?id=4055784	
2009-08-21	MD82	MD-82	KDTW KSFO	4.5	4.5						4.5	4.5			1		1		http://www.vataware.com/flight.cfm?id=4056549	
2009-08-22	B737	B737-700	KSFO KLAX	0.9	0.9						0.9	0.9			1		1		http://www.vataware.com/flight.cfm?id=4063666	
2009-08-23	A343	A-340-300	KLAX LSZH	11.0	11.0			7.0			11.0	11.0		1			1		http://www.vataware.com/flight.cfm?id=4069250	
2009-08-24	B744	747-400 (Interna	LSZH KIAD	8.3	8.3			5.0			8.3	8.3		1			1		http://www.vataware.com/flight.cfm?id=4075943	
2009-08-25	SF34	34	KIAD KCRW	1.0	1.0						1.0	1.0			1		1		http://www.vataware.com/flight.cfm?id=4081437	
2009-08-26	SF34	34	KCRW KIAD	0.8	0.8			1.0			0.8	0.8		1			1		http://www.vataware.com/flight.cfm?id=4086770	
2009-08-27	CRJ2	CRJ-200	KIAD KDTW	1.2	1.2						1.2	1.2			1		1		http://www.vataware.com/flight.cfm?id=4091410	
2009-08-29	MD11	MD-11	KIAD KSJC	4.4	4.4						4.4	4.4			1		1		http://www.vataware.com/flight.cfm?id=4097585	
2009-08-29	PC12	PC-12	KSJC O86	1.1	1.1						1.1				1				http://www.vataware.com/flight.cfm?id=4102655	
2009-08-29	PC12	PC-12	O86 KRDD	0.3	0.3										1				http://www.vataware.com/flight.cfm?id=4103127	
2009-08-29	MD82	MD-82	KRDD KPLN	3.9	3.9			2.9			3.9	3.9		1			1		http://www.vataware.com/flight.cfm?id=4103543	
2009-08-30	B737	B737-700	KPLN LSZH	7.7	7.7			4.0			7.7	7.7		1			1		http://www.vataware.com/flight.cfm?id=4108825	
2009-09-01	A321	A-321	LSZH UUDD	3.1	3.1			3.1			3.1	3.1		1			1		http://www.vataware.com/flight.cfm?id=4116391	
2009-09-01	A321	A-321	UUDD LSZH	2.9	2.9			2.9			2.9	2.9		1			1		http://www.vataware.com/flight.cfm?id=4120772	
2009-09-03	A319	A-319	LSZH LSGG	0.4	0.4			0.4			0.4	0.4		1			1		http://www.vataware.com/flight.cfm?id=4126260	
2009-09-03	A319	A-319	LSGG LSZH	0.5	0.5			0.5			0.5	0.5		1			1		http://www.vataware.com/flight.cfm?id=4126443	
2009-09-04	PAY2	Cheyenne 2	LSZH LFLJ	0.9	0.9										1				http://www.vataware.com/flight.cfm?id=4131063	
2009-09-05	BE60	60 Duke	LFLJ LSZH	0.9	0.9						0.9				1				http://www.vataware.com/flight.cfm?id=4136458	
2009-09-06	A333	A-330-300	LSZH KJFK	8.4	8.4						8.4	8.4			1		1		http://www.vataware.com/flight.cfm?id=4149956	
2009-09-07	CRJ1	CRJ-100	KJFK KIAD	0.9	0.9						0.9	0.9			1		1		http://www.vataware.com/flight.cfm?id=4154624	
2009-09-07	A319	A-319	KIAD KONT	5.1	5.1						5.1	5.1			1		1		http://www.vataware.com/flight.cfm?id=4155430	
2009-09-08	BE20	200	KONT KLAX	0.3	0.3			0.3				0.3		1			1		http://www.vataware.com/flight.cfm?id=4157188	
2009-09-08	B737	B737-700	KLAX KSFO	1.0	1.0						1.0	1.0			1		1		http://www.vataware.com/flight.cfm?id=4160932	
2009-09-08	B737	B737-700	KSFO KJFK	4.8	4.8						4.8	4.8			1		1		http://www.vataware.com/flight.cfm?id=4161311	
2009-09-09	B763	767-300	KJFK KATL	1.8	1.8			1.8			1.8	1.8		1			1		http://www.vataware.com/flight.cfm?id=4165896	
2009-09-10	B763	767-300	KATL KJFK	1.6	1.6			1.6			1.6	1.6		1			1		http://www.vataware.com/flight.cfm?id=4166496	
2009-09-10	A332	A-330-200	KJFK LSZH	7.4	7.4						7.4	7.4			1		1		http://www.vataware.com/flight.cfm?id=4170077	
2009-09-12	RJ1H	RJ-100	LSZH EDDF	1.0	1.0						1.0	1.0			1		1		http://www.vataware.com/flight.cfm?id=4179358	
2009-09-12	B752	757-200	EDDF KDTW	8.5	8.5						8.5	8.5			1		1		http://www.vataware.com/flight.cfm?id=4180555	
2009-09-13	B737	B737-700	KDTW LSGG	7.8	7.8						7.8	7.8			1		1		http://www.vataware.com/flight.cfm?id=4186981	
